focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
5,3,5,1,552,645,12,9,3,2,7,5
3,6,5,1,705,795,11,8,3,2,9,9
2,6,7,0,174,519,5,6,3,3,8,8
3,5,5,1,711,230,8,11,2,4,7,4
3,5,4,1,314,508,6,7,4,4,4,4
2,4,2,1,748,458,11,11,3,3,3,7
3,6,3,1,72,493,9,9,4,2,6,3
3,6,7,1,236,846,7,13,3,4,4,9
5,6,2,1,86,262,7,8,4,2,3,8
1,2,6,0,292,763,13,12,3,4,3,9
2,4,2,1,657,690,9,10,3,4,5,5
5,2,7,0,671,547,12,6,4,2,8,3
1,3,8,1,715,414,13,7,2,3,9,9
5,6,2,1,294,482,5,10,3,2,8,8
2,3,5,1,110,621,7,7,2,4,7,4
3,2,3,1,498,689,8,10,2,3,4,6
3,6,7,1,605,422,5,10,4,3,7,7
2,3,2,0,238,511,10,5,3,2,8,4
6,5,6,0,675,118,11,5,2,2,9,4
6,1,4,0,514,673,13,9,3,4,6,5
6,2,1,0,661,832,12,7,3,3,5,5
5,2,8,0,352,207,9,9,3,4,7,9
3,2,1,1,714,357,9,10,3,4,7,6
2,2,8,0,684,226,10,5,4,3,6,8
3,4,2,0,144,187,5,9,4,2,9,3
1,2,6,0,309,178,7,11,4,2,7,5
4,4,3,0,80,438,13,13,4,3,7,3
1,5,3,0,486,781,7,7,3,3,6,5
1,2,6,1,144,691,10,9,2,4,6,5
1,4,4,1,92,585,6,5,3,3,3,3
6,2,4,1,694,316,5,7,4,4,3,3
4,3,4,0,303,257,8,8,4,4,9,7
6,5,3,1,396,55,7,5,3,2,4,3
4,1,7,0,216,663,7,8,4,2,5,4
1,4,7,1,98,58,6,9,4,2,6,5
2,6,4,0,166,694,11,10,4,2,3,8
1,3,1,1,426,73,10,9,4,4,7,5
2,3,6,1,364,704,9,10,3,4,7,6
6,5,7,0,466,63,13,10,3,2,6,6
1,4,8,1,728,618,11,7,3,4,8,8
6,2,7,1,82,287,9,13,3,2,8,9
6,5,4,1,645,686,11,8,4,2,9,7
6,1,8,0,741,345,8,12,4,2,6,8
6,3,8,0,451,646,8,6,4,4,9,7
3,5,5,0,211,366,6,11,2,2,4,6
5,2,5,1,746,432,8,11,2,3,9,5
3,6,4,1,266,196,7,8,2,4,9,7
3,4,8,0,129,786,10,12,2,4,9,6
2,2,1,1,284,527,5,10,2,3,4,7
3,3,3,1,655,589,6,7,3,2,7,5
5,3,6,1,244,670,9,9,3,4,5,7
4,2,6,1,357,762,5,7,3,4,8,7
6,3,2,0,273,619,8,13,3,4,8,9
5,6,6,0,113,765,13,10,2,3,5,5
2,2,8,1,407,260,11,13,2,3,9,3
3,5,1,1,79,66,9,13,3,3,5,8
3,1,2,1,371,649,6,12,4,4,4,9
1,3,5,0,488,548,12,9,2,4,6,8
