fish_caught,livebait,camper,persons,child,hours
142,1,0,1,1,47.118139238858824
94,0,1,2,3,34.147086239911296
10,1,0,4,1,43.595359586624575
146,0,0,4,2,31.24654611495454
53,0,0,1,0,43.800871271638485
103,1,0,3,2,36.773768787968066
149,0,0,3,3,56.338757312642144
3,0,1,1,3,46.06896206024098
89,0,0,4,3,20.268860525038583
27,1,1,3,3,28.800481550654446
40,0,1,1,2,47.45379998456051
136,1,0,3,1,30.672343048546807
48,0,1,1,1,52.36669315376274
115,0,0,1,0,30.692749418037003
16,0,1,4,0,44.14110419517323
23,0,1,3,0,27.687718164155957
14,1,0,1,2,41.37466694344177
51,0,0,3,0,39.52847921362769
113,1,0,4,2,46.78795723855716
120,0,1,3,0,39.63333787826819
92,1,0,4,2,35.007610533452684
78,1,1,4,3,34.53759316713607
72,0,1,2,1,37.650777828618125
30,0,0,3,0,26.878285074756953
13,0,1,2,1,48.3281070644744
89,1,1,3,2,44.044351590287604
56,0,1,2,0,25.903729440286043
39,1,1,3,1,43.91407657175165
31,1,1,2,3,40.667081137465956
35,1,1,4,0,43.02115885575765
36,0,0,1,0,42.284115239989994
29,0,0,3,2,34.36830366934967
80,1,0,4,1,36.571502316006104
144,1,1,4,1,25.390445469921843
68,1,0,4,0,45.9468946484875
35,0,0,4,0,44.04781041742808
131,1,0,1,1,27.48331188776128
42,0,1,1,2,35.44316423256463
50,0,1,1,0,49.21044074373114
65,1,1,2,3,33.45749659406621
82,1,1,2,0,40.2232291972212
104,1,1,3,3,48.20347161852528
80,0,1,2,2,30.36450893902967
66,0,1,1,0,28.803103852188634
42,0,1,2,3,22.61952946336264
21,1,1,3,2,16.08468621090849
57,1,1,2,1,5.630630338564437
64,1,1,3,1,26.937605509246985
130,0,1,3,0,16.310484466738142
55,0,1,1,2,48.11694883439258
40,1,0,2,0,33.99782096790769
97,1,1,1,3,30.388036294485374
145,0,1,2,2,17.709111641883702
18,0,0,2,1,31.166620896646023
115,0,0,2,1,34.20945562590353
138,0,1,1,2,26.130525475840447
102,0,1,4,3,24.759615453894614
132,1,0,1,1,32.94377518863686
116,1,1,4,0,27.63747747617421
107,0,1,2,3,39.64442798183254
49,1,0,1,2,39.37241412400969
92,0,0,4,0,24.080501637928833
91,0,1,3,3,36.06429694720209
89,0,0,1,2,31.780624517125933
126,0,0,2,2,19.792415349590822
118,0,0,1,1,43.93212664644134
51,0,1,4,3,27.841603278591105
86,1,0,3,3,26.317173017772504
51,0,0,3,0,47.5723849908663
35,0,0,3,0,42.57816418031139
22,0,0,4,3,28.063701591974635
128,0,1,4,1,36.21873452859827
85,0,1,3,3,38.48505979771415
146,1,0,2,1,38.501466580441615
76,1,0,2,1,45.56061188553015
112,1,1,3,3,20.348737487634303
40,1,1,1,1,31.2161632848817
28,0,0,2,3,33.85750979051659
31,1,0,3,3,38.455435527761125
50,0,1,3,3,37.548999727564905
24,1,0,1,2,43.71487056598275
7,1,1,4,0,12.087138427468187
115,0,0,4,3,29.237431433848826
136,0,0,3,1,27.026827273832605
87,0,1,2,1,33.50659260605277
114,1,0,4,1,36.13358635073624
25,0,0,2,2,19.12029573097025
62,1,1,3,1,31.093684686113786
105,0,1,4,0,21.567574678272322
47,0,1,1,2,37.605480205604536
14,0,1,3,2,28.212475718661562
26,0,0,4,1,24.680458143666378
0,0,0,2,2,33.0448721831948
104,1,0,2,3,37.513435300560566
108,0,1,3,2,36.67596888781154
45,1,0,4,1,33.68228672996796
52,1,1,3,3,34.791718793054024
107,0,1,1,3,30.258059699506877
79,1,1,4,2,52.56254203334761
118,0,0,4,1,55.481027047700834
8,1,1,2,0,24.466634704565784
102,1,1,1,1,48.64458628124468
100,1,0,2,0,36.412766421070685
112,0,1,4,0,42.64291966012159
115,1,0,4,0,49.95094334324845
93,0,1,2,2,33.745953149854074
68,1,0,1,0,33.61225135275443
148,0,0,1,1,29.589655630583174
117,1,1,3,3,44.53048348217363
67,1,0,3,0,34.23135640110464
106,1,0,3,1,35.91755734836611
131,1,0,1,1,34.103136024946956
53,0,0,1,1,24.562220865722722
41,0,0,2,1,24.375568056912947
27,0,0,3,2,33.236276192645555
140,1,1,1,1,36.19676537768708
143,1,1,3,2,38.290786747375776
76,0,0,2,0,23.103916278673545
5,0,1,1,1,42.669374499736946
9,1,1,4,0,27.81271485588247
16,0,0,3,0,28.129099611456247
38,1,0,2,2,30.944784991938995
42,0,0,3,1,36.93883151429664
78,1,1,4,1,33.176203222742885
140,0,0,4,0,54.08673870496703
104,0,1,2,1,43.56581283557944
142,1,1,1,2,37.574865962539135
2,1,1,2,1,35.341217061077586
100,1,1,4,2,41.994926765018796
2,1,0,1,1,20.985982848725097
29,1,0,2,3,32.57604914778173
135,1,1,2,1,14.673927792649899
5,0,1,3,3,37.02455684845298
67,0,0,4,2,45.55727021119437
28,0,0,2,0,50.630153786593674
21,0,0,4,3,43.47878569218525
15,0,0,2,2,42.074580776406044
142,1,1,4,1,34.89936396261472
