ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15
14,2012,Bonnie,4.784118249865841,939,1,2,668,28863.221957198315,3.3455369070023124,MWR,4.12152692476292,95,47217
41,2006,Isaac,5.510303727815222,915,0,3,1376,48051.69534712171,16.444954744171326,MWR,2.209738108213887,145,54083
61,1968,Debra,4.68861545314822,975,0,4,1171,33987.74053565092,54.23070335428312,MWR,2.8162732972805706,103,54622
0,2010,Irene,4.899835021885602,983,1,5,108,41462.56743016131,22.762954988618795,MWR,10.045735906774807,82,19372
23,2005,Emily,9.662985675420213,1002,0,2,1702,37030.81230620896,37.43305609786365,MWR,6.083938637175335,118,61201
20,1994,Cleo,3.2628976703975394,946,1,4,753,29392.2542083454,-4.597643761867033,MWR,7.57190212548447,147,66939
7,1996,Dennis,2.6072951858794324,968,1,4,584,44818.29665894428,27.707888828828658,MWR,3.8749777309255813,188,26002
54,1994,Wilma,8.98935147613441,914,1,4,901,41647.452415585125,28.76266856814539,MWR,1.8670610697052274,127,36546
51,2006,Isabel,7.073123041110682,930,0,1,1410,28423.601505558072,39.1366449724607,MWR,3.756840405871605,185,73967
92,1955,Isabel,7.090255599296387,992,0,4,575,17270.981022647706,48.930289496332946,MWR,3.730247795868701,144,45432
0,1950,Humberto,2.950980609208993,937,1,1,458,13181.012149375863,3.5410532144058244,MWR,6.128631504973447,93,6590
78,1950,Isbell,4.654835671286165,913,0,2,42,15318.39355759239,34.7122348197078,MWR,3.1035349965133334,176,16331
73,2008,Able,1.690688457341345,937,1,3,1487,22525.57604762405,26.539703912469506,MWR,1.72609705684811,175,22855
87,1981,Dora,3.4603388618094826,949,0,2,1820,35743.78742540242,2.139208712631433,MWR,7.919204550088752,87,84746
56,2004,Charley,-0.008327897744170976,937,1,2,1231,42368.49528096197,20.17097222551181,MWR,2.130597875311979,154,65576
70,1966,King,-1.1744505710394648,998,1,5,993,16653.0720391241,16.24713948456524,MWR,-0.11130914059781727,112,4999
85,1999,Humberto,8.0459377284287,949,0,2,1209,45021.50457360984,27.947189920788478,MWR,0.31434823263441247,134,74172
45,1982,Camille,7.006830605492059,921,0,3,465,50811.926523779344,16.190337885557568,MWR,6.313391570653318,177,58121
84,1999,Belle,3.4546477044964523,967,0,2,178,22426.914060540796,20.05008747071762,MWR,6.693275671867477,140,36429
26,1953,King,3.1915731560633596,980,0,2,1518,50437.53352503713,19.68022283767015,MWR,4.1513430908684645,162,6950
56,1970,Bertha,5.23613115121278,930,1,3,5,23322.600947482613,1.4563855533901986,MWR,-0.5812634028376404,93,70059
74,1951,Andrew,0.3020550452925157,975,1,2,72,38611.493565560755,19.940566010318264,MWR,10.277117947136741,183,45065
48,1987,Cleo,0.8765725542150329,981,1,3,662,30976.248199686364,24.707825773532004,MWR,5.035018871875659,108,31918
58,2010,Fern,7.4047064485735055,921,0,3,758,46906.76517358301,32.66735071048874,MWR,3.8810543473026597,158,31493
70,1986,Alex,3.9851181948283796,938,0,2,1793,55721.26797098052,2.8982821747299568,MWR,2.168619502854885,118,11015
3,1966,Jerry,4.595571290625964,928,1,1,738,58509.472210514665,32.34526031022901,MWR,7.060315580707737,137,35085
2,2003,Dora,6.7840026198606385,931,0,5,1605,60519.98409062468,36.194294902677456,MWR,-4.514565206468481,105,37476
29,1984,Dolly,-0.26850489118227916,981,1,2,1249,29103.433454851263,6.894933599005093,MWR,0.7156036990191654,141,20366
91,1994,Gloria,3.0777997548900085,951,0,3,1637,28133.96963364508,47.97308746822921,MWR,6.951223673167297,86,83948
88,1970,Ike,0.9955205430148073,988,1,4,1091,52119.991521307,46.39734291129077,MWR,3.864407676459736,157,37516
51,1958,Bob,4.480698631193962,910,0,5,1614,58871.482040411494,16.212672829147877,MWR,4.482668323102454,165,56939
39,1979,Frederic,4.624688299653608,994,1,3,628,40115.222991449475,44.52149586524139,MWR,4.935083809231898,155,33361
91,1977,Irene,1.338532072933588,996,1,2,606,32623.687241558535,8.302208179121909,MWR,1.9530126192630708,174,16654
81,1950,Andrew,6.037666035780502,992,1,2,1176,30809.880527636116,34.207175962388455,MWR,4.917781615225929,90,71414
26,2008,Ivan,3.6080118013924434,964,1,3,37,20414.293366004837,29.164709564584758,MWR,1.232382471700486,131,88200
84,1957,Debra,8.794109894493321,933,0,1,503,29655.982628091762,36.39336515850332,MWR,9.203966900945865,136,41543
26,1974,Erin,7.062575232819439,910,1,4,867,41403.63967439165,8.428391280904119,MWR,2.4255451934599863,91,45176
83,1987,Erin,7.593637700883054,976,1,4,1056,50306.99235593081,22.983064428009364,MWR,2.4209108014156904,113,74272
92,1973,Danny,3.319006974530615,952,1,1,621,28375.52729279951,47.22691615993074,MWR,7.565004089279853,128,71467
56,1993,Erin,4.566531983569444,989,0,5,1730,31796.286999187723,51.97982000104642,MWR,0.5532412883107329,103,61025
81,2009,Kate,0.8061116725826638,974,0,2,118,44365.1388027721,42.003229386348764,MWR,3.91885588612088,155,28398
16,1988,Florence,1.9561849210556859,976,1,4,819,44345.71019220305,40.19497209262847,MWR,4.890439764742336,100,22556
76,1965,Bertha,6.757693635489709,979,1,3,1104,43417.1625384476,42.727922535792125,MWR,1.7062280321175214,147,33970
71,1978,Able,8.325047616954166,980,0,4,1195,53936.65715731932,36.24326695742724,MWR,2.5765606264360255,95,85693
91,1975,Kate,2.1895578867838226,936,1,2,504,52178.5613950947,69.37454881229905,MWR,0.8020723321925707,177,25531
33,1970,Edna,3.11977789174248,980,1,4,403,43493.405452327956,35.872752289025144,MWR,3.821320909011088,128,12413
62,1984,Cleo,-0.0009119209219994318,936,1,1,681,11093.133603415183,15.740037104433613,MWR,3.7245480094277585,166,68725
52,1999,Lili,4.666016960163471,922,0,2,1812,40050.96283486161,60.05693387814598,MWR,3.645821522762159,178,45675
46,1971,Babe,5.395153600057244,921,1,1,1706,56945.856635060176,23.14294654446651,MWR,3.728329627808223,160,79997
50,1986,Ethel,4.058682141999997,915,0,3,392,27705.27170979667,24.28853514056845,MWR,1.411671314248525,135,26108
56,1986,Barbara,2.3718051246077767,994,1,5,605,56201.39207995341,36.19371421045261,MWR,4.692312944552196,126,87411
