chimpanzee,age,sex,hammer,nuts_opened,seconds,help
21,10,m,G,62,47.881593047136036,N
4,16,m,G,28,92.54141333496058,N
21,6,m,G,37,25.391324440093186,N
6,3,f,G,67,58.99986479846871,N
16,3,m,G,11,56.7708797744531,N
7,11,m,G,76,56.2292429822069,N
16,16,m,G,10,83.09414858231263,N
22,13,m,G,42,62.786994649865505,N
5,11,m,L,48,127.15458974216264,N
1,4,f,wood,73,91.16867411042006,N
11,5,m,G,25,63.4236394532697,y
21,13,m,G,23,51.179669251314195,N
11,4,m,G,8,92.79361812888408,N
16,9,m,wood,20,48.341684092407974,N
18,8,f,G,35,40.907977483309104,N
4,4,m,G,46,66.43600124977424,N
11,16,f,G,7,59.424989918040225,N
7,6,m,G,56,46.559710366053565,N
10,4,m,G,63,41.56203351597454,N
5,4,f,L,55,43.597142556065265,N
16,12,m,G,48,72.36682419181929,N
8,3,m,G,75,105.41056739900792,N
3,15,m,G,14,65.94473975522578,y
2,11,m,G,63,63.143209171187195,N
8,9,m,G,14,33.35919994372845,N
15,4,f,G,5,65.37342909704243,N
1,13,m,G,10,60.946173741115324,N
8,11,m,G,10,39.907328425068464,N
16,11,m,G,5,84.69542609453357,N
20,15,f,G,45,83.15748470461307,N
2,13,f,G,63,71.35401119870326,N
10,13,m,G,11,43.10357820873324,N
2,16,f,G,48,68.58487599999259,N
13,8,m,G,57,92.63154047755343,y
5,13,m,L,38,74.07928722462222,N
7,12,f,G,37,90.29759258652334,N
10,13,f,wood,50,96.40582322221789,N
18,14,m,G,34,71.75756022277959,y
4,16,m,Q,48,94.96772037470937,N
6,3,m,G,48,100.4568250698301,N
12,5,m,G,32,57.8956849705858,N
14,5,f,G,21,76.06803027017015,N
1,16,m,G,31,30.74568606574823,N
13,6,f,G,51,70.68765406422685,y
8,6,m,G,68,68.73359729994411,N
21,7,m,G,53,54.68110379692153,N
2,8,m,G,60,92.36648187305605,N
22,7,m,G,7,85.52272575006764,N
20,16,m,G,32,75.84319052355117,N
19,6,m,G,51,65.7464288297694,N
7,14,m,G,17,60.69999054386847,N
13,16,m,G,31,83.69262254289,N
12,6,m,G,60,81.400839119208,y
19,13,f,wood,67,59.29196669775908,N
10,12,m,G,58,55.66392785308069,N
14,13,m,G,15,63.7791419181701,N
19,3,m,G,26,48.96879045247325,N
14,5,m,G,14,52.25530194377214,N
17,10,m,G,55,62.495186454671924,N
12,8,m,G,13,62.67276878623866,N
18,15,f,G,39,102.21267015655592,y
12,9,m,G,75,42.06192693698715,N
9,15,m,Q,23,60.9162230013699,N
10,10,m,G,4,64.85481746430253,y
19,6,f,G,2,68.87035784648178,y
22,15,m,G,50,55.40119584359577,y
7,15,f,G,31,33.32688212008184,N
13,11,m,G,27,49.15286052839379,N
18,10,m,G,23,73.36681472876538,y
12,16,m,G,29,50.15495746316975,N
13,5,m,G,30,57.66284123473989,N
9,4,f,G,8,33.46074550138072,N
5,4,m,G,26,83.50042906514068,N
22,9,m,G,42,34.26409294088441,N
12,14,m,G,64,92.32913223572874,N
10,16,m,G,74,60.15964647505193,N
16,14,m,G,55,82.33236661226351,N
10,15,f,G,58,70.56682211922191,N
15,4,f,G,28,64.459893416581,N
7,3,m,G,53,58.344131681842335,N
19,4,m,G,45,66.10242603327413,N
12,16,m,G,20,86.80742031082758,N
20,4,m,L,67,71.91024909342605,N
17,4,m,wood,30,106.9424811224273,N
