uuid,page_id,reader_view,running_time,adjusted_running_time,scrolling_time,num_words,correct_rate,img_width,age,device,dyslexia,education,gender,language,retake_trial,dyslexia_bin,english_native,Flesch_Kincaid,speed,player,religiousness,expenditure,school,persons,games,f_other,n_other,deny,occupation
0010d921-1f71-4511-834a-55096185fabb,2-1,0,28152,26435,1717,145,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,8.337,329.1091356,Abel Aguilar,3,6384.911133,Sunol Glen Unified,1,2,9,13,0,7
0010d921-1f71-4511-834a-55096185fabb,1-2,1,60796,43012,17784,383,1.0,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,10.485,534.2695062,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,13,0,6
0010d921-1f71-4511-834a-55096185fabb,3-1,0,40283,22518,17765,106,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,11.081,282.4407141,Franck Tabanou,1,5501.95459,Thermalito Union Elementary,1,1,4,6,0,1
0010d921-1f71-4511-834a-55096185fabb,1-1,0,64213,62798,1415,324,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,9.6,309.5639989,Joel Matip,5,7101.831055,Golden Feather Union Elementary,2,1,7,10,0,6
0010d921-1f71-4511-834a-55096185fabb,3-2,1,23086,10022,13064,120,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,10.697,718.4194772, Pedro León,2,5235.987793,Palermo Union Elementary,1,11,3,5,0,6
0010d921-1f71-4511-834a-55096185fabb,2-2,1,26912,23811,3101,166,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,7.638,418.2940658,Thomas Müller,2,5580.146973,Burrel Union Elementary,4,4,3,5,0,5
001d6664-0e5d-401b-bfd9-c2985739e2ca,1-1,0,102356,40362,61994,324,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,9.6,481.6411476,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,5,0,1
001d6664-0e5d-401b-bfd9-c2985739e2ca,2-1,1,57687,47505,10182,145,0.6666666667,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,8.337,183.138617,Jonathan Schmid,2,4565.746094,Vineland Elementary,4,1,7,10,0,4
001d6664-0e5d-401b-bfd9-c2985739e2ca,1-2,1,97241,40176,57065,383,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,10.485,571.9832736,Gary Caldwell,4,5355.54834,Orange Center Elementary,3,2,4,6,1,1
001d6664-0e5d-401b-bfd9-c2985739e2ca,3-1,1,38521,25074,13447,106,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,11.081,253.6491984,Peniel Mlapa,4,5036.211426,Del Paso Heights Elementary,1,1,3,5,0,4
001d6664-0e5d-401b-bfd9-c2985739e2ca,2-2,0,51351,46107,5244,166,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,7.638,216.0192595,Tobias Steffen,2,4547.692383,Le Grand Union Elementary,4,1,3,5,0,7
001d6664-0e5d-401b-bfd9-c2985739e2ca,3-2,0,40730,14319,26411,120,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,10.697,502.8284098,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,10,0,6
