rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
44,no,44,female,more,1.4391544061382082,1.0016089254402547,upper,yes,yes,218,523,56
84,no,46,male,more,1.298782528899932,2.078906660286227,lower,yes,yes,118,565,79
341,no,70,female,more,1.598767623200736,1.5299334424222395,upper,yes,yes,328,84,85
120,no,69,male,more,1.1596725774597805,1.1627940352377037,lower,yes,yes,174,417,91
150,no,34,female,more,2.30994460759828,1.7496896404607118,upper,yes,yes,99,123,24
282,no,56,male,more,2.245786617768383,1.2892284029774497,upper,yes,yes,167,450,62
450,no,60,female,more,2.491433017185368,2.0925778709747105,upper,yes,no,218,284,70
299,no,44,female,more,0.7126714695285782,1.9743650895098577,upper,yes,no,196,27,87
129,no,43,female,more,1.8017808811437388,2.4108119806474804,upper,yes,yes,239,372,45
265,no,70,female,more,2.454722632321695,2.060688330825558,upper,yes,yes,231,216,29
118,yes,35,male,more,1.7012162816989018,1.4670077419304306,upper,no,yes,92,96,70
239,no,69,male,more,1.7026254667138818,1.2670466393766988,lower,yes,yes,285,271,82
148,no,46,male,more,1.6587722969769418,2.246753296071641,lower,yes,yes,147,441,87
407,no,53,male,more,2.5974143878556406,1.6622326383363797,lower,yes,yes,59,215,9
8,yes,70,male,single,0.6381300248326118,1.6495022495937588,lower,yes,no,336,153,10
287,no,52,male,more,2.572138743975422,0.3332715529280825,upper,yes,yes,10,428,64
104,no,55,male,more,1.1695536819757812,2.0672829607908656,upper,yes,yes,331,104,29
441,no,30,male,more,3.9343154464891303,1.8943495645957604,upper,yes,yes,319,503,35
450,no,58,female,more,1.2083914762371983,1.9264373235478887,upper,yes,yes,225,438,58
196,no,35,male,more,2.9608108396622486,0.8291998695258933,upper,yes,yes,352,30,66
87,no,53,female,more,1.4741845143284966,0.898973728802818,upper,yes,yes,98,43,65
57,yes,55,male,more,1.35375646504799,1.5714736877568374,upper,yes,yes,202,380,12
435,no,67,male,more,0.25153971729227553,2.1423163187720577,lower,no,yes,173,408,91
379,no,65,male,more,1.039777673803985,1.952579843561955,lower,yes,yes,75,497,44
233,no,44,female,more,0.27712480049885135,1.3434601586608979,upper,yes,no,38,39,24
227,no,62,male,more,1.6920406875537062,0.9337845069992102,lower,yes,yes,59,507,71
17,no,36,female,more,1.6790921410088437,1.6371941931583331,upper,yes,no,296,359,39
85,no,65,male,more,0.9335484692941872,0.6724392005735378,lower,yes,yes,343,69,66
340,no,39,male,more,1.044712700842462,1.658743791286483,upper,yes,yes,170,443,44
415,no,71,female,more,1.4856744564808502,-0.05871379830134926,upper,yes,yes,294,476,90
379,no,57,male,more,1.8370017810226595,2.390131780704265,upper,yes,yes,252,566,39
336,no,31,male,more,0.9516031781015625,1.3991325343334557,upper,yes,yes,191,77,51
434,yes,73,female,more,1.7216595502547545,1.9868081459220734,upper,no,yes,374,55,26
442,yes,37,female,more,0.6841136392769533,2.5428047456055247,upper,yes,yes,14,413,16
193,no,30,male,more,1.5074800565058994,1.214372708870791,upper,yes,yes,186,396,35
409,no,44,female,more,1.4346612905657135,1.5951789591965102,upper,yes,yes,233,546,91
381,no,65,female,more,2.2574811814660523,1.443611044026971,lower,yes,no,308,44,29
10,no,61,male,more,0.9717418604229233,1.892407403667307,upper,no,yes,38,104,34
210,no,55,female,more,0.6561826275165379,1.3823813523677657,upper,yes,no,242,402,50
410,no,40,female,more,0.9857756524060722,1.1193093382951016,upper,yes,no,356,395,2
7,no,38,male,more,1.9650937737098193,0.9644473904799111,lower,yes,yes,141,511,57
115,no,64,female,more,2.4629867785516755,1.0227790016259646,upper,yes,no,98,37,62
15,yes,41,female,more,2.3777931424891223,2.6907988184839287,lower,yes,yes,134,521,75
191,no,30,male,more,1.9520741563453248,1.4759546102339862,upper,yes,no,45,112,42
251,yes,56,female,more,2.1400552942443927,1.1701082396635212,lower,yes,yes,166,211,53
383,no,52,female,more,3.638985029972647,2.1177267673941467,upper,yes,yes,273,427,21
74,no,41,male,single,1.3336505429068932,0.9145074407025975,lower,yes,yes,82,317,38
437,no,67,male,more,1.99689716322175,1.5505878142637914,upper,yes,yes,224,571,63
364,yes,66,female,more,1.5218574729414505,1.356940941415566,lower,yes,yes,22,438,53
180,no,31,female,more,2.129064453552166,1.1078831249937968,upper,yes,yes,316,479,92
296,no,35,female,more,2.4716923933614448,1.673129990417551,upper,yes,yes,37,518,51
179,no,45,male,more,2.025481015300959,1.3832771786199272,upper,yes,yes,123,406,81
78,no,47,male,more,1.2606086868973239,0.814526688486134,upper,yes,no,228,510,64
81,no,43,female,more,1.1236388246186324,1.5344863524413859,upper,yes,no,14,496,24
271,no,72,male,more,1.612738175076041,1.3193516405556787,lower,yes,yes,333,142,52
339,no,63,female,more,2.7707443235303115,1.193011044256225,upper,yes,no,203,358,92
96,no,69,male,more,2.3345125603510892,0.7741591514880396,upper,yes,yes,341,125,30
61,no,49,male,more,2.4811756979477484,2.010933576383284,lower,yes,yes,205,245,39
398,yes,70,female,more,1.4196458134756338,1.4129567716609783,lower,yes,yes,71,358,51
425,no,57,male,more,1.810583980399548,1.6108480038571744,upper,yes,yes,264,116,15
252,no,29,male,more,1.3701206181525571,1.3152724529554305,upper,no,yes,30,122,11
38,yes,30,female,more,0.8270078654949954,1.8229267528525628,upper,yes,yes,74,10,13
293,no,29,male,more,2.6601920509447594,1.4579284332422175,upper,yes,yes,319,385,40
190,no,48,female,more,1.5185770655145512,1.832377600000032,upper,yes,yes,246,85,16
300,no,40,female,more,2.4496176247830395,0.5776520134991583,upper,yes,yes,24,486,46
12,no,68,male,more,0.9647703728060919,0.8986878676323968,lower,yes,yes,311,355,61
352,no,42,female,more,-0.14399037719364127,2.3113020235089534,lower,yes,yes,340,345,32
399,no,49,female,more,1.5739728913769508,0.9892944846949414,upper,no,yes,307,318,75
296,no,61,male,more,1.6059090585352835,0.946783328488064,lower,yes,yes,223,402,93
239,no,65,male,more,1.2116634417833982,1.051956881673449,lower,yes,yes,144,176,94
440,no,71,female,more,1.3877787441869316,2.661745988484735,upper,no,yes,282,515,72
61,yes,38,female,more,0.5993402948005322,2.148364987910237,lower,yes,yes,85,136,8
2,no,47,male,more,3.505767266141441,1.3526124723935753,upper,yes,yes,251,115,94
395,no,49,male,more,0.6711910015555755,2.192874355525671,lower,yes,no,81,25,37
29,no,51,male,more,0.874247372452044,1.3117850300628073,upper,yes,yes,297,463,56
388,no,37,male,more,1.7449861218929652,1.4712280936147468,upper,yes,yes,149,371,22
265,no,33,male,single,1.515989492336238,2.0576012508784407,lower,yes,no,127,99,54
1,no,37,male,more,0.8812951202869864,0.5873158987596389,lower,yes,yes,86,161,62
58,no,37,male,more,2.3172818021821544,1.0965411159786809,upper,yes,yes,266,492,24
385,no,49,male,more,1.2385375227785325,0.4477316503906381,upper,yes,yes,370,348,8
377,no,30,male,more,2.205286301367954,1.7770815462588234,lower,yes,yes,209,548,31
434,no,29,male,more,2.6321477578093635,1.346982648652745,upper,yes,yes,12,398,20
174,no,34,male,more,3.193550045695944,0.7787171855233216,lower,yes,yes,169,455,6
6,no,42,female,more,0.7303233659480086,1.1588204665530513,lower,yes,yes,336,535,68
340,no,53,female,more,2.5162532853127946,1.6366881176198345,upper,yes,yes,67,530,1
258,yes,29,male,more,1.9115517613869946,2.015749416292385,upper,yes,yes,262,54,94
415,no,49,female,more,2.0830590392235777,1.951452980372736,upper,yes,yes,365,389,50
416,no,48,female,more,2.414542098267714,1.0730155977023803,upper,yes,no,339,257,70
416,no,70,male,more,2.0187868993041596,1.7473773241981156,upper,yes,yes,380,185,2
368,yes,72,male,more,2.2450606403577473,1.4858507641196745,upper,no,yes,342,123,9
291,no,43,male,more,0.2632447995897629,0.7821942000138314,upper,yes,yes,102,259,51
316,no,54,male,more,0.9101437637138173,1.7892693721874084,lower,yes,yes,224,491,27
13,no,59,male,more,1.4639057236367392,1.1225105071122177,lower,yes,yes,213,436,43
61,yes,46,female,more,2.5409807915347318,1.583657088559227,lower,yes,yes,83,174,93
408,no,64,male,more,1.362473876147463,2.1635879216247744,upper,yes,yes,6,289,62
123,no,55,female,more,2.9050167396373077,1.5276170129816982,upper,yes,no,293,152,37
68,no,52,male,more,0.9831995167701889,2.6468853305251567,upper,yes,yes,114,341,19
371,no,69,male,more,1.7840832299529619,0.4303223243187497,lower,yes,yes,350,442,31
304,no,73,male,more,1.7520354024379592,1.5159588938618491,lower,yes,yes,95,577,65
404,yes,45,female,more,0.29264641366523203,1.460879347307184,upper,no,yes,205,452,55
153,yes,40,male,more,1.230505576524878,0.40299080687549904,upper,no,yes,338,456,91
98,no,36,male,more,1.919886554973982,1.2427326809331778,upper,yes,yes,28,86,36
178,no,51,female,more,2.562425862175239,1.0017721165390259,upper,yes,no,49,276,65
308,no,57,female,more,3.395033852773544,1.531967747376009,upper,yes,no,102,552,10
455,no,57,male,more,2.7157903891752806,2.178900706309263,upper,yes,yes,57,240,40
248,no,40,male,more,1.7092686835419786,1.6807107941082498,upper,yes,yes,108,452,27
200,no,62,male,more,0.27273680386189736,1.5762392186502376,upper,yes,yes,113,333,62
82,no,72,female,more,1.5644985364726152,0.3978620381491986,lower,yes,yes,115,380,85
450,no,59,male,more,0.013618716244899742,1.7998250708116954,lower,yes,yes,219,522,14
372,no,40,female,more,2.9556534040192295,2.175814786317537,upper,yes,yes,160,162,5
463,no,67,female,more,0.9850525983647517,1.1427591407740891,upper,yes,no,149,345,87
21,no,61,male,single,2.2379938730287714,0.8248540021323576,lower,yes,no,108,309,22
417,yes,72,male,more,1.2208796332682255,0.9410558101721952,upper,no,yes,141,272,64
355,no,34,male,more,1.3346125206199884,2.0718280615181035,upper,yes,yes,146,202,61
275,no,68,female,more,1.3926652920999587,1.6840502555447832,upper,yes,no,246,508,8
322,yes,62,male,single,1.3359919885992049,2.5407031183531066,lower,yes,no,231,69,13
406,no,43,male,more,1.4629375339122004,1.1176209605117882,upper,yes,yes,13,196,89
116,no,73,male,more,1.2316326443402317,0.9188513413795271,upper,no,yes,166,358,75
311,no,36,female,more,1.7326459325178865,1.525440427585218,upper,yes,yes,201,173,19
212,no,73,male,more,1.0599444562824019,1.6757751726558743,upper,yes,yes,245,28,38
266,no,71,female,more,2.3652411153090394,1.1282101522690988,upper,yes,no,142,544,36
353,no,65,female,more,1.4485285528371579,0.7857888022996413,upper,yes,yes,40,264,78
266,no,44,female,more,1.5401137414263422,1.5657320445241956,upper,yes,yes,287,440,58
189,no,29,female,more,2.780248380744733,1.0870632905582325,upper,yes,yes,282,337,84
2,no,73,male,more,0.998073746286969,1.5051428278771877,lower,no,yes,242,484,21
168,no,63,female,more,1.5134074203698025,1.2591523731697638,upper,yes,yes,27,19,91
397,no,41,male,more,2.048019649203114,2.028503287734324,upper,yes,no,150,108,87
177,no,41,female,more,2.907240886894,1.2575398500737063,upper,yes,yes,162,573,47
440,no,31,male,more,0.10980325369745558,2.010230593022187,lower,yes,no,249,463,41
451,no,60,male,single,0.9968949761217621,1.1723305184837485,lower,yes,no,333,501,32
9,no,49,male,more,0.5225725846076972,2.13163517276639,lower,yes,yes,134,112,78
330,no,70,male,more,1.4857576372802601,1.2315051566931539,lower,yes,yes,103,309,83
175,no,49,male,more,2.800105954018343,0.8530034796390566,lower,yes,yes,338,400,80
408,no,62,female,more,2.321860261399871,1.1285071496661492,upper,yes,yes,149,88,58
194,yes,42,male,single,0.5461771824014912,0.7903675152431733,lower,yes,no,149,353,48
217,yes,67,male,more,1.6623764411561397,1.1340709683245254,upper,yes,yes,349,324,59
400,no,49,male,more,1.8514478025614989,1.2509488880393582,upper,yes,no,58,289,56
85,no,66,male,more,2.5478333120240886,2.008022523972953,upper,yes,yes,10,572,67
383,no,29,male,more,2.5853426999143325,0.8557474088404188,upper,yes,yes,234,177,88
216,no,42,male,more,1.4095949987631058,1.7214971110836799,upper,yes,no,211,213,30
292,no,52,male,more,1.7234547915028426,1.4595261321006523,upper,yes,yes,255,334,46
341,no,70,male,more,1.712624081746275,2.1154025302463104,upper,yes,yes,349,390,62
253,no,35,male,more,1.0758256128883714,1.3189306831960785,upper,yes,yes,367,26,40
35,no,51,male,more,1.6885064344713576,2.523771818770613,upper,yes,yes,79,399,38
188,no,65,male,more,2.177839251205672,1.411523419152192,lower,yes,yes,140,110,75
441,no,51,female,more,2.5189082474676985,1.2331272268874605,upper,yes,yes,72,162,4
57,no,42,female,more,1.545510516749239,2.228035688684585,upper,yes,yes,124,220,23
105,no,41,male,more,2.106606232348265,1.1880121627266598,upper,yes,yes,139,412,37
58,yes,36,male,more,-0.16317370088309668,2.0442973642031976,upper,no,yes,119,53,43
258,no,50,female,more,1.8859839761531376,2.0396804836466487,upper,yes,no,97,543,74
300,no,35,male,more,2.29170573064262,1.9062834399027295,upper,yes,yes,238,102,1
189,no,39,male,more,2.377221496584518,0.942703051315496,upper,yes,no,167,308,59
282,no,58,male,more,1.4883206733869947,1.0327635675361395,upper,yes,yes,62,255,55
62,no,38,male,more,1.1670530156220025,1.5845907502301704,lower,yes,yes,179,358,45
405,no,33,male,more,2.5011761641374775,1.6004490598345875,upper,yes,yes,263,343,26
20,no,71,female,more,1.8934963274669676,2.1450620296468177,lower,yes,yes,343,538,51
363,no,33,male,more,1.5333540353109838,1.4891510845457203,upper,yes,no,233,475,10
32,no,65,female,more,1.3571959085812875,2.529698082012473,upper,yes,yes,95,573,19
388,no,36,male,more,1.491222912337971,1.521185256261733,lower,yes,no,297,466,46
447,yes,64,female,more,2.7893286747063417,1.2284524657036753,upper,no,yes,117,249,31
323,no,71,female,more,1.177488138987832,1.8265277255522627,upper,yes,yes,239,411,5
59,yes,37,male,more,2.8707109387001624,0.9234267807584287,upper,yes,yes,318,231,11
137,no,30,female,more,0.4334620856971021,1.6445914627365457,upper,yes,yes,273,234,16
51,yes,65,male,more,0.844297089057861,1.7142569447486002,upper,no,yes,84,535,30
292,yes,35,female,more,2.200884850272783,0.8099667806491317,upper,yes,yes,40,335,44
139,no,62,female,more,1.933820184019369,1.6165811065192965,lower,yes,no,124,109,76
307,no,31,male,more,1.5797097666866493,0.9555557128284407,upper,yes,yes,114,146,53
289,no,50,male,more,1.1683923564261103,2.1766869969879643,upper,yes,yes,372,17,26
390,no,60,female,more,2.00707283135425,1.4004526397828267,lower,yes,yes,211,445,30
248,no,51,male,more,2.431167961842864,1.506190964767963,upper,yes,yes,43,434,72
36,no,43,female,more,3.190055766828256,0.7278651641026257,upper,yes,yes,128,529,32
150,no,37,female,more,1.1296644970417766,0.736536295795488,upper,yes,yes,336,19,38
118,no,57,male,more,2.5901451409420937,1.661739072137995,upper,yes,yes,283,400,54
170,yes,66,male,single,0.14461724718479108,1.64514236988516,lower,yes,no,88,170,2
53,yes,72,female,more,1.3920751944070844,1.7431008368837564,upper,no,yes,253,122,82
239,no,61,female,more,1.0099752051782465,1.568430709317035,upper,yes,yes,270,192,10
296,no,32,female,more,2.4389895588157207,0.8777183165877173,upper,yes,yes,337,111,23
143,no,31,female,more,1.4490886700477021,0.40775018311616495,upper,yes,no,120,568,81
190,no,42,male,more,1.5382087016248307,1.3300488881016084,upper,yes,no,262,53,55
83,yes,72,female,more,0.828150180877213,1.3725866215155884,lower,yes,yes,69,186,83
198,no,31,male,more,1.483489324554726,1.8038444389406416,upper,yes,yes,351,511,36
162,yes,51,female,more,1.162952632192865,1.3582317536383663,upper,yes,yes,28,332,53
216,no,54,male,more,3.1297088623784117,1.4612711846134068,lower,yes,yes,251,348,94
313,no,42,male,more,1.7751230939296327,1.3235173260561806,upper,yes,yes,21,368,94
295,no,58,female,more,1.7701785240110515,0.5369560507019165,upper,yes,yes,261,500,74
133,no,37,male,more,0.5500856001425751,1.7677184145040041,upper,yes,no,167,561,3
444,no,49,male,more,1.8843591312660408,2.491937093952882,upper,yes,yes,50,21,60
450,no,57,male,more,1.329312501797164,1.7844401024003416,lower,yes,no,313,365,57
274,no,59,male,more,1.6623768856143268,1.3612078293498664,upper,yes,no,193,530,15
317,no,50,male,more,1.4767379067019428,1.628789929615186,upper,yes,yes,296,22,31
122,yes,55,female,more,0.19969572977592764,1.5198297666431517,upper,yes,yes,10,322,59
447,no,31,male,more,2.1833359936028507,2.2787694678957613,upper,yes,yes,119,63,63
355,no,53,female,more,1.2291959898936158,1.6513465070528346,upper,yes,yes,127,113,17
463,no,70,female,more,0.8162865878890116,1.894895858279706,upper,yes,yes,21,58,11
248,no,33,female,more,2.6419653828088396,1.7858310592140785,upper,yes,no,84,183,37
377,yes,45,female,more,1.4791412434036049,1.3954419514821674,lower,yes,yes,86,510,20
379,no,36,male,more,2.450244508196577,0.6354610223950335,lower,yes,yes,187,104,24
178,no,35,male,more,1.9000987210225768,1.111657750667899,upper,yes,yes,213,347,40
251,no,31,male,more,0.5651010312007896,0.6918557004099457,upper,yes,yes,334,225,3
332,no,66,female,more,1.4374277143086265,1.160304272171142,upper,yes,no,201,170,32
273,no,50,male,more,2.552479843981643,1.69687010265747,lower,yes,yes,256,543,13
409,no,47,male,more,2.851269321826398,2.5718005783251696,upper,yes,yes,172,218,42
152,no,70,male,more,3.9525006910817106,2.7844033283690885,lower,yes,yes,305,182,69
402,no,41,female,more,3.350614693055628,0.893537449833022,upper,yes,yes,115,439,58
82,no,52,male,more,0.9607413830669606,1.1378689573862881,upper,yes,yes,286,225,4
428,no,42,male,more,1.1170927754897981,1.7096846200234412,upper,yes,yes,286,471,8
255,no,62,female,more,-0.6519773958573958,1.2100294516132932,upper,yes,yes,135,215,72
269,no,62,male,more,2.9483804938397142,1.293807273596891,upper,yes,yes,373,109,62
406,no,56,female,more,1.4693503449368166,0.8260497293884798,lower,yes,yes,56,530,25
237,no,42,male,more,1.7190564193974025,1.0977228210973136,upper,yes,yes,318,482,85
223,yes,50,female,more,2.400859326419563,0.4736259748142514,lower,yes,yes,99,352,82
433,no,42,male,more,0.8563088356844334,1.3772817234616666,lower,yes,yes,277,58,12
224,no,46,female,more,0.7244566100057077,0.9311768060186165,upper,yes,yes,160,562,13
409,no,36,female,more,3.565789418676883,0.9280329431784616,upper,yes,yes,292,495,9
45,no,43,male,more,1.7033019284990383,1.3732308728241798,upper,yes,no,13,166,42
313,no,67,female,more,2.6172777960730342,1.7104336125466586,upper,yes,no,182,511,91
146,no,60,male,more,1.6058205796334966,1.2220263351247358,upper,yes,yes,223,356,52
422,no,66,male,more,1.1409345481208755,0.6128031966871537,upper,yes,yes,198,125,16
218,yes,42,male,single,3.4062691716991056,1.9474723505261518,lower,yes,no,24,525,82
357,no,36,male,more,2.11293715231272,0.9256827435907751,upper,yes,yes,39,84,16
396,yes,71,female,more,3.0202675067235023,1.4456839335224176,lower,yes,yes,136,225,51
283,no,72,female,more,2.5023366378711955,0.05003145324549707,upper,yes,yes,303,489,14
373,no,49,male,more,0.6206194618895566,1.0472711002489765,upper,yes,yes,111,515,28
138,yes,65,female,more,0.9404681763832977,1.8679317757224403,upper,no,yes,231,209,12
294,no,50,male,more,0.8046119428815715,1.1515407004107694,upper,yes,yes,157,39,18
298,yes,64,male,more,1.6183364915868368,0.8451765294759931,upper,yes,yes,40,241,74
111,no,57,male,more,1.3084314637978902,1.4370893440175392,upper,yes,yes,241,277,57
238,no,61,female,single,1.6943975149969455,1.0225469406564967,upper,yes,no,279,476,50
364,no,57,male,more,0.6595939889490787,1.3538074369121051,lower,yes,yes,50,67,63
462,no,45,male,more,1.4546862901003177,1.7640078245015531,lower,yes,yes,285,223,64
137,no,51,male,more,1.5589032276918786,1.4628369828833718,upper,yes,no,176,43,32
448,no,64,female,more,1.4144708505132662,0.9963477096627386,upper,yes,yes,75,318,46
212,no,30,male,more,2.982908258635649,1.1931192597116345,upper,yes,yes,299,116,22
332,no,65,male,more,1.551836603329188,1.1207232777359162,upper,yes,yes,221,98,38
433,no,40,male,more,3.0906108648995785,3.260136077496287,upper,yes,yes,275,216,72
97,no,31,male,more,0.002331417951620507,1.9047349954102448,upper,yes,yes,194,407,42
387,no,42,male,more,0.7961778545191172,0.7814481690625047,upper,yes,no,241,465,81
444,no,51,male,more,0.966932081566252,1.9500060416957383,upper,yes,yes,326,447,71
403,yes,40,female,single,1.184475744476091,0.9816630294102908,lower,no,yes,206,178,49
32,no,46,male,more,1.0861029239105917,1.604399751840471,upper,yes,yes,98,295,17
310,yes,55,male,single,1.655836734876942,1.4189914051193968,lower,yes,no,190,545,46
348,no,36,female,more,1.470256160082839,2.160020028231366,upper,yes,yes,146,63,19
85,yes,67,female,more,1.997683184009302,1.8788960425828287,upper,yes,yes,66,230,1
444,no,49,male,more,3.256034843589739,2.4740258076881574,upper,yes,yes,289,181,47
275,no,41,female,more,1.9840975224693116,0.3329985153584474,upper,yes,yes,215,581,34
201,no,40,male,more,1.513564134194891,1.4134557352307902,upper,yes,yes,255,488,86
247,no,40,female,more,1.3072300044756777,0.9630689776166341,upper,yes,yes,260,85,23
204,no,61,male,more,1.3026930029162562,0.6153342810537872,upper,yes,yes,333,64,93
394,no,63,male,more,0.7461784374744329,1.5872058160041373,upper,yes,yes,282,492,16
299,no,35,male,more,3.7246053504473964,1.4074459506156862,upper,yes,yes,201,221,87
145,no,51,female,more,0.4835309448441105,1.340571406440374,upper,yes,no,166,70,28
213,no,34,male,more,1.6915607281521003,1.8664344555343495,lower,yes,yes,371,464,67
72,no,42,male,more,1.208094904226484,0.5685113063591579,lower,yes,yes,129,14,64
258,no,52,male,more,1.5116791007082986,0.43621925170609366,upper,yes,yes,323,430,64
159,no,69,female,more,1.3332723041045016,0.7254371434128896,upper,yes,yes,175,375,44
214,no,73,male,more,2.035115212439609,2.632782603793491,upper,yes,yes,217,115,1
93,no,35,male,more,2.292432536470149,1.3308638863434692,lower,yes,yes,71,425,37
152,no,71,male,single,3.13632887581144,1.881498620697646,lower,yes,no,219,21,24
243,no,43,female,more,1.722831558630434,1.815723367663716,upper,yes,no,159,207,67
246,no,70,male,more,2.637285052311791,1.6317580056260932,upper,yes,yes,200,486,65
412,no,43,male,more,2.0239342657049266,2.3171591825062374,upper,yes,yes,135,556,48
5,no,61,female,more,1.0013296388198198,1.9090380659530335,upper,yes,yes,59,121,82
55,yes,65,male,more,1.0700714427918385,0.7165306296260412,upper,no,yes,188,463,48
194,no,34,female,more,1.0686537986011428,1.192105567580731,lower,yes,yes,5,472,8
281,no,62,female,more,2.341399121069112,1.2796045034309682,upper,yes,yes,114,367,59
356,no,55,male,more,0.5219544616940688,0.814655596170049,upper,yes,yes,66,310,2
90,no,30,male,more,2.766831702992423,1.8739330892809112,upper,yes,yes,104,550,90
287,no,54,male,more,2.2095660438461158,1.2917183576710287,upper,yes,yes,197,347,79
223,no,54,male,more,1.4327286228712506,1.7648609307755856,upper,yes,yes,246,467,43
200,no,37,female,more,-0.4101957761423636,2.0909842104252636,lower,yes,yes,361,43,33
430,no,65,female,more,1.944784453886141,1.4164282663184384,upper,yes,yes,312,29,83
45,no,60,female,more,1.3951238008853526,1.0975006894027146,upper,yes,yes,363,461,80
52,no,67,male,more,2.1160718815978137,1.396360179477776,upper,yes,no,10,558,25
104,yes,43,male,more,0.8279714299422674,1.9636796836624224,upper,no,yes,303,542,33
389,no,70,female,more,0.7810097636340235,1.2909306220192438,upper,yes,yes,74,226,7
387,no,43,female,single,0.9116418389684766,1.7044432924856618,upper,yes,no,205,143,62
345,no,57,male,more,1.9931712943850213,1.4407957214729024,lower,yes,yes,5,197,28
254,yes,70,female,more,-0.22714397261839903,1.2246327432441901,lower,yes,yes,268,516,13
6,no,68,female,more,2.6827481414094083,1.8892119626454322,lower,yes,yes,212,506,35
34,no,63,male,more,-0.953348125312643,2.082377472751508,lower,yes,yes,237,91,15
16,no,67,male,more,1.425187148637867,1.2107771816898905,lower,yes,yes,224,303,12
239,no,47,female,more,1.0783590397029272,0.8498901793230288,upper,yes,yes,113,373,29
141,no,60,female,more,1.6928293684625595,1.6548739609294976,upper,yes,yes,164,92,14
197,no,67,male,more,3.0909647650289056,0.9082017987630877,upper,yes,yes,52,255,2
49,yes,40,female,more,1.1957572566668786,1.1243629814741245,upper,yes,yes,83,278,30
458,no,66,female,more,1.961032858249991,0.8167219196456442,upper,yes,no,219,114,43
19,no,68,female,more,2.37821032280847,1.3236696903282497,upper,yes,no,284,268,47
231,no,67,female,more,1.244568290491052,1.371726206412051,upper,yes,yes,98,354,59
448,yes,59,male,single,3.1115862057386616,1.1613294792623852,lower,yes,no,333,259,42
43,no,40,male,more,0.6727867185503651,1.104731479551232,upper,yes,yes,281,357,60
243,no,51,female,single,-0.24546698423129443,2.3810319502512156,upper,yes,no,40,148,71
159,no,36,female,more,1.1515838679587167,2.124739448771968,lower,yes,no,99,335,13
162,yes,33,female,single,1.7810915917156238,1.0087510166580933,lower,yes,yes,73,347,65
455,yes,52,male,more,2.248060404425679,1.316804184209062,upper,no,yes,84,370,26
288,yes,40,female,more,2.3912393411364126,2.044968393996764,upper,yes,yes,155,158,75
436,no,44,male,more,1.0971409390272278,2.2117720865100576,upper,yes,yes,350,407,34
389,no,38,female,more,2.164563473906381,0.9810221448054859,upper,yes,yes,178,42,27
25,no,40,female,more,1.4854333789069547,1.9282858453827862,upper,yes,no,197,302,28
43,no,34,female,more,1.5437802718005973,1.7853641481793057,upper,yes,yes,172,343,80
361,no,57,female,more,1.2565913960568076,1.8913405180733873,upper,yes,yes,258,576,49
84,yes,44,male,more,0.7443673651378765,1.138892317657274,upper,yes,yes,224,109,39
44,no,44,male,more,0.8372879196856527,0.6468795092033088,upper,yes,no,289,368,89
31,no,52,male,more,2.1018095266921377,1.853695813879941,upper,yes,yes,188,385,10
