rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
5263,4,female,18.353699115181783,-2.1481110962933077,no,2,18,1,4
2898,0,female,9.314616175409702,14.029683170030998,yes,2,15,2,4
3372,11,male,22.586437703318694,10.82688969579557,yes,5,20,6,5
4421,5,male,12.072947858892519,8.111158417787562,yes,5,13,1,3
1015,11,female,24.608440263206674,2.910166570806158,yes,1,17,3,4
218,1,female,14.082567048484897,8.667936233208644,no,1,19,4,3
5070,2,female,27.789000633938244,12.901738584643784,yes,2,9,5,3
746,4,male,1.228998886944165,18.750008295458247,no,4,17,6,2
6333,3,female,26.270806342792874,3.579115566107358,no,5,19,5,2
2924,10,male,9.872103892085187,12.072139963544082,no,2,12,4,5
175,8,female,18.86326525137578,5.538928588456018,no,5,19,6,3
3927,8,female,17.652707205445925,14.669580180286381,no,3,16,1,5
6140,7,male,8.657315597211324,17.415848993187662,yes,1,19,7,5
5692,4,male,4.526222290934985,20.299367103548853,yes,3,13,5,3
7694,2,female,21.84754463184892,15.40325855957169,yes,4,15,3,2
1980,2,male,17.10527552463314,8.401991920119864,yes,5,17,1,1
135,8,female,35.90425279261345,8.972409035190552,yes,5,9,3,4
4391,8,male,25.67534339541156,12.330284900583319,yes,2,14,1,1
232,7,male,16.700428229094545,12.528741318222016,yes,4,20,7,5
1563,3,female,17.380508883684378,12.645007046582272,no,3,20,1,2
317,4,female,19.340395618328294,7.8581130382483275,yes,3,19,2,1
6232,7,male,10.923923430014954,8.382343027115867,yes,2,16,5,4
6548,9,female,15.713907436121493,-2.048619243287993,yes,3,16,2,2
3028,11,male,28.249915727201255,7.532329875469204,yes,5,18,6,4
250,3,male,36.20552457931434,7.23417787572233,yes,1,9,3,1
2230,3,female,8.210404887620227,7.426892285458004,no,5,12,6,1
2758,10,male,13.897930944642855,11.092779382816587,yes,3,10,7,3
6633,2,male,17.77299529583785,2.364848626600038,yes,4,17,5,2
289,9,female,14.694344933130122,15.37029194792908,yes,3,9,3,5
7653,7,female,25.695839251071277,12.135204968609514,no,1,18,7,1
6179,11,male,2.4781026434069346,6.701293017281001,yes,2,17,6,5
2873,1,female,14.527053839224651,-0.07986815588835317,yes,5,11,4,2
3494,2,male,23.829754990614084,6.695133409587937,yes,3,13,3,2
1126,3,female,22.209586556295257,-0.8520456694771319,yes,4,17,2,3
3015,1,female,17.546308656495786,20.571455131579327,yes,2,19,5,3
4212,4,male,21.11672896542374,4.739413150974785,yes,5,18,4,4
479,10,female,21.63207346221965,7.585644558391137,yes,5,11,6,3
6172,3,female,25.592175782814888,4.111404628433952,yes,4,14,5,4
3721,11,female,19.959211435971845,7.9493642472577974,yes,5,16,6,2
415,12,female,-1.0991220744944101,16.929841717620697,no,1,11,7,5
4987,5,female,15.11387589784279,1.05284902031062,yes,3,11,1,3
173,6,male,13.274577420389422,13.83046276094002,yes,3,17,2,2
4673,3,female,14.25821176585939,-3.5877500211288087,no,3,11,7,3
8434,12,female,32.83944051954694,12.021864943911163,yes,1,17,7,2
4718,5,male,17.71312475386746,5.666392863365498,yes,2,14,1,5
1952,1,female,0.947766452975312,10.906851488229425,no,2,12,3,4
5383,1,female,33.84011794079401,-4.749403607428166,yes,4,12,4,4
133,2,male,27.106428701113614,1.9390266232003857,no,5,9,5,5
8290,7,female,26.7465283932421,5.62019499592821,no,2,10,3,4
4878,6,female,7.778498072343597,-0.9563554525005795,yes,4,13,3,5
2690,8,male,15.786953742473159,0.3363814369754694,yes,4,9,6,5
4819,10,female,15.138250456071958,15.21246100006962,yes,4,10,1,2
2910,6,female,34.902566121827476,14.408845846755264,yes,4,17,3,2
51,12,female,8.509176466448759,11.010181760112303,yes,1,17,5,2
132,11,male,13.393589706952607,6.956207214666356,yes,3,20,5,4
3369,11,male,19.426414560883398,11.984578575878892,yes,4,16,2,3
4534,8,female,6.662871399722155,2.299519203791542,no,4,12,5,4
3362,5,male,11.836064096928427,9.227366344777991,yes,3,12,5,3
2970,1,female,12.798291367713537,0.5601115175604647,no,3,20,4,2
3592,11,female,20.593996540430105,7.443381555005782,no,5,9,6,1
3464,5,female,25.119375798235005,-1.098839793015589,no,2,16,7,3
6779,1,female,10.469041294207013,8.7827931268687,yes,5,17,6,4
1793,0,female,25.542418544079123,-4.299493200504244,yes,5,16,5,2
3959,2,male,14.16473753661792,13.25409527168716,yes,1,13,5,2
808,1,female,26.572570923220415,6.236107955503523,yes,1,11,7,5
8773,0,female,23.811580795621676,8.539331039814051,yes,2,12,7,3
1906,12,male,27.38719239660093,11.764487469738473,yes,3,16,7,4
5106,0,female,35.401474690274505,8.781936692948927,yes,5,18,2,5
5143,4,male,20.816501840604328,10.510879580113222,yes,5,18,6,3
209,0,female,22.11500059475425,1.7568785219537757,yes,5,10,5,3
7012,9,male,14.822757980483605,11.120109063697155,yes,4,17,2,2
2591,1,male,25.205552517699104,15.59661824455479,no,4,20,7,4
