tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,5,11,32.0001830641225,14.765272707358607,0.3111016925947263,Homo sapiens,Chucki
Posterior,IPHA.2,5,3,21.779822409998545,15.629933647560403,0.45517483476674,Homo sapiens,Afalou
Anterior,NMNH380466,0,4,48.5836487669222,18.51186672942617,0.9631206521515636,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,12,10,23.76620688469653,9.301286698480158,0.10118154361990389,Homo sapiens,Chucki
Premolar,MH4765,11,12,32.57003826452667,14.343432703691185,0.4679226547368743,Homo sapiens,Australian aboriginie
Premolar,MH22283,1,5,32.798533986632755,11.422642875078868,0.8065475327892867,Homo sapiens,Sami
Posterior,AMNH99.1/99,4,3,36.426163716196235,12.070267027972314,-0.12274118373988663,Homo sapiens,Alaska
Posterior,BRK126107,8,3,31.008044112153904,11.326817596255033,0.031273971168375325,Homo sapiens,Native Californian
Posterior,NMNH344711,1,3,40.29483025606638,15.84946139945766,0.5601332144739684,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,1,11,27.93249293040137,15.087748331001595,0.6979073194872814,Pongo,Borneo
Anterior,AMNH99.1/86-D,6,4,46.101719601173485,10.196584155340773,1.358919945671432,Homo sapiens,Alaska
Anterior,UVS38,10,3,25.486381360384158,14.196461626133651,0.32330515028354023,Homo sapiens,Khoi-San
Anterior,NMNH225028,1,6,18.20935129035601,16.52633832402294,0.44828288467993377,Homo sapiens,Chucki
Anterior,IPHA.29,0,12,47.589210849942944,15.716574539974744,0.27406803107030797,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,8,8,37.80436199342954,9.659324014337406,0.0035666482148857814,Pongo,Borneo
Premolar,UCD2(2)b,0,9,32.94341535349686,18.45903934540948,0.7021610211672629,Homo sapiens,Native Californian
Anterior,HTB2027,2,9,14.96855775024283,13.213855082760114,0.788708032141533,Pan,Ebolwa
Posterior,BM1976.1430,9,8,27.10598838098273,13.59615975513244,0.3992955123908617,Pongo,Borneo
Premolar,UVS62,10,7,36.40395818690533,12.908823598961787,0.8638148277609857,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,9,5,44.132732988234906,18.993591460076612,0.3021165477989115,Pan,West Africa
Posterior,BRK125598,10,13,26.67022898429566,23.578769801373888,-0.1411907540263515,Homo sapiens,Native Californian
Premolar,NMNH329778,2,10,35.72867461269617,20.418719540520218,0.5819914904022641,Homo sapiens,Australian aboriginie
Anterior,MH12328,2,7,31.261443513323933,10.96716874479802,0.4728159019460807,Homo sapiens,Chucki
Anterior,BM1939.1021,9,12,45.87409570396831,11.184914193315048,0.7665601329457836,Papio,West Africa
Posterior,NMNH278710,2,5,35.66235943317666,14.997731008629739,0.45356354852421826,Homo sapiens,Buriat
Anterior,BRK126100,0,2,10.02061122284891,17.417039261410867,-0.14225500510488964,Homo sapiens,Native Californian
Posterior,UCD2(6)b,9,13,33.13771740234898,11.845133322456313,-0.27680581718521,Homo sapiens,Native Californian
Anterior,AMNH99.1/109,0,3,30.12912089349133,15.610242800673129,0.19107305423117193,Homo sapiens,Alaska
Anterior,BM1935.2.14.1,1,2,40.009825811025266,19.600563897805568,0.574679794695528,Papio,East Africa
Premolar,HTB1890,1,4,40.010337361617395,14.531061153601064,0.5962765346073121,Pan,French Cameroons
Anterior,IPHA.15,2,10,32.1402959618487,17.086081403113315,0.7593907640048871,Homo sapiens,Afalou
Anterior,BRK126118,4,8,19.11454774401323,14.228781723751284,0.5759366718173918,Homo sapiens,Native Californian
Posterior,MH4459,0,5,21.72582289393998,16.772874482469888,0.391057403556466,Homo sapiens,Australian aboriginie
Anterior,BRK126259,5,8,16.685557117204763,14.756236284743702,0.5475534147820028,Homo sapiens,Native Californian
Premolar,HTB1726,9,8,31.694434151405446,12.33188330373008,0.23563144316597762,Pan,Ebolwa
Premolar,MH1525,2,13,26.499198865946376,13.309549942138526,0.6768713911118199,Homo sapiens,Australian aboriginie
Anterior,BM1908.8.9.41,6,3,40.856718213985175,9.711466589125536,-0.16431586658737152,Papio,East Africa
Premolar,MH12328,3,14,37.27965444917395,17.529105158695227,0.36454739276523673,Homo sapiens,Chucki
Posterior,HTB1721,9,13,40.20794068424165,10.080749801974841,0.9992716814927074,Pan,Ebolwa
Premolar,MH12328,2,7,32.513098259332395,14.199119646474154,0.5909753708575081,Homo sapiens,Chucki
Anterior,BRK126768,6,14,42.3674613498294,15.786867928812182,0.8567218253011215,Homo sapiens,Native Californian
Anterior,NMNH380431,12,5,35.696990552278166,15.70603246722964,0.21269948730783117,Homo sapiens,Australian aboriginie
Premolar,HTB3538,9,13,30.447846875597858,17.10860931078515,0.02019895354635376,Pan,West Africa
Posterior,NMNH258483,8,13,57.228818960753614,15.576668479047834,0.2244115983372576,Homo sapiens,Australian aboriginie
Anterior,HTB1226,11,14,36.26424565959081,17.96890469533043,0.25005549528947935,Papio,East Africa
