y,gender,age,majority_first,culture,weight,religiousness,ind,calworks,school,yellowCards,birthday,speed,playerShort,minority
1,1,6,0,2,78.0,3,0,0.5102000237,Sunol Glen Unified,1,06.01.1985,269.4409101,abel-aguilar,yes
3,1,8,0,2,90.0,4,1,15.41670036,Manzanita Elementary,0,03.09.1988,480.2307114,jerome-boateng,no
2,2,8,1,2,70.0,1,2,55.03229904,Thermalito Union Elementary,0,30.01.1989,261.8252343,franck-tabanou,no
1,1,6,0,2,89.0,5,3,36.47539902,Golden Feather Union Elementary,0,08.08.1991,291.353806,joel-matip,no
2,1,5,1,2,72.0,2,4,33.10860062,Palermo Union Elementary,3,24.11.1986,437.985806,pedro-leon,no
2,2,7,1,2,74.0,2,5,12.31879997,Burrel Union Elementary,0,13.09.1989,566.9599218,thomas-mueller,no
2,2,6,0,2,77.0,2,6,12.90320015,Holt Union Elementary,0,22.05.1992,190.7389635,robin-knoche,no
1,1,6,1,2,77.0,2,7,18.80629921,Vineland Elementary,0,26.06.1990,318.0,jonathan-schmid,no
3,1,8,0,2,74.0,4,8,32.18999863,Orange Center Elementary,0,12.04.1982,5275.924803,gary-caldwell,no
2,1,5,1,2,89.0,4,9,78.99420166,Del Paso Heights Elementary,0,20.02.1991,114.2548836,peniel-mlapa,no
3,1,9,0,2,67.0,2,10,18.60989952,Le Grand Union Elementary,0,03.06.1992,520.2688055,tobias-steffen,yes
3,1,9,1,2,83.0,4,11,71.71309662,West Fresno Elementary,0,16.06.1980,290.9423605,martin-stranzl,no
3,2,9,0,2,76.0,5,12,22.42989922,Allensworth Elementary,0,25.10.1977,479.9768686,bodipo,no
3,1,8,1,2,77.0,2,13,24.6093998,Sunnyside Union Elementary,0,05.07.1979,265.5865035,stilian-petrov,no
3,2,9,0,2,69.0,4,14,14.63790035,Woodville Elementary,2,29.05.1981,746.7732022,andrey-arshavin,no
1,1,10,1,2,74.0,1,15,24.21419907,Pixley Union Elementary,1,27.12.1991,99.53891743,abdou-dampha,no
2,1,9,0,2,62.0,2,16,11.20160007,Lost Hills Union Elementary,0,14.07.1987,355.1203829,adam-johnson,no
1,2,9,1,2,82.0,3,17,8.551099777,Buttonwillow Union Elementary,0,26.06.1992,225.4822059,gary-gardner,no
2,2,5,1,2,67.0,2,18,21.28240013,Lennox Elementary,1,04.10.1980,200.0240993,tomas-rosicky,no
3,2,7,0,2,78.0,2,19,23.4375,Lamont Elementary,1,15.07.1976,363.2832581,juanfran,no
1,1,6,1,2,83.0,2,20,34.77270126,Westmorland Union Elementary,1,17.08.1982,203.0670121,phil-jagielka,no
3,2,7,1,2,93.0,2,21,21.64949989,Pleasant View Elementary,0,17.05.1990,331.0628258,fabian-giefer,yes
2,2,10,1,2,64.0,4,22,18.91110039,Wasco Union Elementary,0,20.03.1988,106.2106511,bueno,no
1,1,5,1,2,77.0,3,23,43.85589981,Alta Vista Elementary,0,24.02.1987,88045.97701,agirretxe,no
2,2,9,0,2,73.0,2,24,16.8010006,Livingston Union Elementary,0,22.03.1984,283.371948,piotr-trochowski,no
2,1,5,0,2,69.0,2,25,22.40719986,Woodlake Union Elementary,0,07.01.1991,184.388445,eden-hazard,no
2,2,9,0,2,74.0,4,26,17.00149918,Alisal Union Elementary,0,06.11.1990,192.4298811,andre-schuerrle,yes
3,1,8,1,2,79.0,5,27,15.07110023,Arvin Union Elementary,1,20.09.1983,245.9572543,jon-walters,no
2,2,10,1,2,81.0,3,28,16.2928009,Terra Bella Union Elementary,0,10.11.1986,246.3751699,beg-ferati,no
1,2,7,1,2,84.0,3,29,14.49890041,Tipton Elementary,1,12.10.1981,1108.013937,shola-ameobi,no
2,2,5,0,2,83.0,4,30,35.5625,San Ysidro Elementary,2,25.10.1987,2722.60274,darron-gibson,no
3,1,9,0,2,78.0,3,31,15.31989956,Soledad Unified,1,19.10.1992,184.2556706,janek-sternberg,no
2,2,5,1,2,84.0,4,32,29.76390076,Mountain View Elementary,0,28.07.1993,170.43451,niklas-lomb,no
3,1,5,0,2,80.0,5,33,12.69200039,King City Union Elementary,1,05.02.1985,244.4602832,cristiano-ronaldo,yes
2,2,7,1,2,76.0,1,34,17.44260025,Ontario-Montclair Elementary,1,22.04.1979,264.5405445,zoltan-gera,no
2,1,7,0,2,65.0,4,35,19.15169907,Los Nietos Elementary,0,10.06.1983,286.2689612,nelson_4,yes
3,1,8,0,2,68.0,3,36,28.84729958,Winton Elementary,2,28.02.1985,205.8188286,fabien-camus,yes
2,1,8,1,2,65.0,4,37,14.52700043,Raisin City Elementary,0,10.08.1983,289.3152872,wesley-hoolahan,no
2,1,7,0,2,72.0,1,38,19.57169914,Ravenswood City Elementary,0,17.08.1977,334.5425232,william-gallas,no
2,2,7,0,2,73.0,3,39,23.79599953,Richland-Lerdo Union Elementary,0,08.01.1990,249.6628117,ryan-mendes,no
3,2,9,0,2,71.0,5,40,12.50640011,Oxnard Elementary,0,05.06.1990,244.8083741,matthias-ostrzolek,no
2,1,8,1,2,64.0,5,41,22.2826004,El Nido Elementary,0,21.07.1984,827.3925254,liam-ridgewell,no
