rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,player,religiousness,source,name,persons,games,f_other,n_other,allstudents,occupation
1,75119,Sunol Glen Unified,Alameda,KK-08,195,10.89999962,0.5102000237,2.040800095,67,6384.911133,22.69000053,0.0,691.5999756,690.0,Abel Aguilar,4,MWR,Easy,1,2,9,13,69,1
2,61499,Manzanita Elementary,Butte,KK-08,240,11.14999962,15.41670036,47.91669846,101,5099.380859,9.824000359,4.583333492,660.5,661.9000244,Jérôme Boateng,4,MWR,King,1,1,9,13,43,4
3,61549,Thermalito Union Elementary,Butte,KK-08,1550,82.90000153,55.03229904,76.32260132,169,5501.95459,8.977999687,30.00000191,636.2999878,650.9000244,Franck Tabanou,4,MWR,Able,1,1,4,6,17,1
4,61457,Golden Feather Union Elementary,Butte,KK-08,243,14.0,36.47539902,77.04920197,85,7101.831055,8.977999687,0.0,651.9000244,643.5,Joel Matip,3,MWR,Barbara,2,1,7,10,17,6
5,61523,Palermo Union Elementary,Butte,KK-08,1335,71.5,33.10860062,78.42700195,171,5235.987793,9.080332756,13.85767746,641.7999878,639.9000244, Pedro León,4,MWR,Florence,1,11,3,5,17,6
6,62042,Burrel Union Elementary,Fresno,KK-08,137,6.400000095,12.31879997,86.95649719,25,5580.146973,10.41499996,12.40875912,605.7000122,605.4000244,Thomas Müller,3,MWR,Carol,4,4,3,5,68,1
7,68536,Holt Union Elementary,San Joaquin,KK-08,195,10.0,12.90320015,94.623703,28,5253.331055,6.577000141,68.71794891,604.5,609.0,Robin Knoche,2,MWR,Edna,3,2,3,5,14,7
8,63834,Vineland Elementary,Kern,KK-08,888,42.5,18.80629921,100.0,66,4565.746094,8.173999786,46.95946121,605.5,612.5,Jonathan Schmid,4,MWR,Hazel,4,1,7,10,47,5
9,62331,Orange Center Elementary,Fresno,KK-08,379,19.0,32.18999863,93.13980103,35,5355.54834,7.385000229,30.07915688,608.9000244,616.0999756,Gary Caldwell,3,MWR,Connie,3,2,4,6,101,5
10,67306,Del Paso Heights Elementary,Sacramento,KK-06,2247,108.0,78.99420166,87.31639862,0,5036.211426,11.61333275,40.27592087,611.9000244,613.4000244,Peniel Mlapa,5,MWR,Diane,1,1,3,5,13,5
11,65722,Le Grand Union Elementary,Merced,KK-08,446,21.0,18.60989952,85.87439728,86,4547.692383,8.930999756,52.91479874,612.7999878,618.7000122,Tobias Steffen,4,MWR,Ione,4,1,3,5,27,3
12,62174,West Fresno Elementary,Fresno,KK-08,987,47.0,71.71309662,98.60559845,56,5447.345215,7.385000229,54.60993195,616.5999756,616.0,Martin Stranzl,4,MWR,Flossy,3,2,7,10,37,1
13,71795,Allensworth Elementary,Tulare,KK-08,103,5.0,22.42989922,98.13079834,25,6567.149414,5.335000038,42.71844482,612.7999878,619.7999878, Bodipo,2,uri,Audrey,3,1,9,13,68,5
14,72181,Sunnyside Union Elementary,Tulare,KK-08,487,24.34000015,24.6093998,77.14839935,0,4818.612793,8.279000282,20.53388023,610.0,622.5999756,Stilian Petrov,3,MWR,Helene,3,1,4,6,537,3
15,72298,Woodville Elementary,Tulare,KK-08,649,36.0,14.63790035,76.27120209,31,5621.456055,9.630000114,80.1232605,611.9000244,621.0,Andrey Arshavin,3,MWR,Debra,1,4,7,10,23,1
16,72041,Pixley Union Elementary,Tulare,KK-08,852,42.06999969,24.21419907,94.29570007,80,6026.359863,7.453999996,49.41314316,614.7999878,619.9000244,Abdou Dampha,4,MWR,Gracie,1,1,3,5,14,6
17,63594,Lost Hills Union Elementary,Kern,KK-08,491,28.92000008,11.20160007,97.75969696,100,6723.237793,6.21600008,85.53971863,611.7000122,624.4000244,Adam Johnson,4,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,Donna,4,1,3,5,24,6
18,63370,Buttonwillow Union Elementary,Kern,KK-08,421,25.5,8.551099777,77.90969849,50,5589.885254,7.763999939,58.90736389,614.9000244,621.7000122,Gary Gardner,2,MWR,Ethel,3,1,4,6,84,6
19,64709,Lennox Elementary,Los Angeles,KK-08,6880,303.0299988,21.28240013,94.97119904,960,5064.615723,7.021999836,77.0058136,619.0999756,620.5,Tomáš Rosický,3,MWR,Carla,2,3,3,5,27,3
20,63560,Lamont Elementary,Kern,KK-08,2688,135.0,23.4375,93.22920227,139,5433.593262,5.698999882,49.81398773,621.2999878,619.2999878, Juanfran,4,MWR,Cindy,3,1,7,10,43,5
21,63230,Westmorland Union Elementary,Imperial,KK-08,440,24.0,34.77270126,100.0,69,5725.563477,7.940999985,40.68181992,615.5999756,625.4000244,Phil Jagielka,1,MWR,Cleo,4,22,3,5,527,1
22,72058,Pleasant View Elementary,Tulare,KK-08,475,21.0,21.64949989,91.54640198,53,4542.10498,9.630000114,16.21052551,619.9000244,622.9000244,Fabian Giefer,4,MWR,Dora,4,1,9,13,21,4
23,63842,Wasco Union Elementary,Kern,KK-08,2538,130.5,18.91110039,70.8167038,169,5107.086426,7.40500021,45.07486343,622.9000244,620.5999756, Bueno,5,MWR,Hilda,2,1,3,5,26,6
24,71811,Alta Vista Elementary,Tulare,KK-08,476,19.0,43.85589981,100.0,0,4659.661621,9.630000114,39.07563019,620.7000122,623.4000244, Agirretxe,2,MWR,Isbell,2,10,7,10,11,5
25,65748,Livingston Union Elementary,Merced,KK-08,2357,114.0,16.8010006,90.623703,216,4555.464355,8.019000053,76.66525269,619.5,625.7000122,Piotr Trochowski,1,MWR,Betsy,3,1,7,10,17,1
26,72272,Woodlake Union Elementary,Tulare,KK-08,1588,85.0,22.40719986,85.14720154,198,5415.152832,8.522999763,40.49118423,625.0,621.2000122,Eden Hazard,2,MWR,Alma,2,2,4,6,69,4
27,65961,Alisal Union Elementary,Monterey,KK-06,7306,319.7999878,17.00149918,88.03489685,742,4997.871582,7.983181477,73.7202301,620.4000244,626.0,André Schürrle,2,MWR,Inez,4,1,9,13,111,5
28,63313,Arvin Union Elementary,Kern,KK-08,2601,135.0,15.07110023,92.19529724,269,5223.912109,7.304999828,70.01153564,616.5,630.4000244,Jon Walters,3,MWR,Beulah,2,14,7,10,140,5
