rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
42,69129,Brittan Elementary,Sutter,KK-08,17533,1008.546075113829,44.43338372375334,-6.613487037590026,3147,2120.6347114389782,35.25070527920039,44.54630764941311,35.83931133385832,31.861862158242857
78,74111,Placer Hills Union Elementary,Placer,KK-08,8348,896.0674762062947,34.00629340353842,131.27297592030328,2576,2132.3270101480994,28.237969291121008,34.78674705912777,43.92853877729399,40.64048644028418
377,67960,Susanville Elementary,Lassen,KK-08,19093,758.853522790771,26.59708602195159,53.841027797143134,135,2054.5651546719937,28.996330719538406,31.504687511511804,71.27849930652492,67.60415307231462
79,61402,Palmdale Elementary,Los Angeles,KK-08,17661,640.8711746196863,31.888484888273844,70.07538086337776,1190,1981.0780315566653,13.058345509073499,25.58636140879115,41.517824310483725,53.01956914295591
24,69794,Keppel Union Elementary,Los Angeles,KK-08,13424,496.82532900147794,42.228132435074755,-8.784053127434902,1972,1561.8445583568773,30.007460240952042,55.095138773636506,9.85212456150127,50.435287154923884
249,71425,Magnolia Union Elementary,Imperial,KK-08,4300,645.0202615376777,35.863222605766374,49.507978589216535,2176,1447.769797209322,28.789108820511892,58.94493568288155,18.98192092946387,30.219439051747905
9,66911,Westmorland Union Elementary,Imperial,KK-08,26504,486.3514437355475,14.799934859631353,81.87200896193052,1261,2300.394372996171,36.34555056267815,49.3533917129865,29.842638464275563,52.89243450961747
102,72746,Brittan Elementary,Sutter,KK-08,5736,409.7383226102196,36.111343887295824,-11.776142325589902,835,2000.1294250673893,12.825316384896267,62.50215612572839,55.8936738599014,54.89473504795697
341,72302,Exeter Union Elementary,Tulare,KK-08,9614,565.1462310719387,48.24913035438688,73.78550470682079,1990,2145.4229140654993,20.10083750362161,31.48270843792032,36.73620373273924,65.62289140467236
233,71293,Nuestro Elementary,Sutter,KK-08,9625,545.259358296146,25.69251618028705,24.97835658579427,3275,1707.301156355802,31.76435915497197,45.14607990929983,33.150676720064766,36.20967544981792
291,69967,Lowell Joint Elementary,Los Angeles,KK-08,16433,921.9874932723766,46.338483208453134,55.04582740836328,1238,2289.2587776170326,21.77913833692273,31.026240602363167,33.07428398714504,59.73477765065135
161,69621,El Monte City Elementary,Los Angeles,KK-08,11389,704.897894327173,34.64638600786378,97.3484106493324,2403,2126.066736511923,31.36866821256325,46.477331665505915,88.27196809392794,74.7725900102863
185,68634,Nevada City Elementary,Nevada,KK-08,8067,699.9532568733936,39.57561978627979,23.980991055742827,472,3877.1037546117104,24.150201651657834,62.12082177524431,41.76841599740181,66.3160117488423
313,64818,Little Lake City Elementary,Los Angeles,KK-08,21887,700.545472585726,28.366301048462574,42.14652366288154,1249,2718.7787677970455,38.75447119341077,51.541152701612106,52.52099492620297,42.430958967650355
85,62371,Rescue Union Elementary,El Dorado,KK-08,243,441.5799343318638,50.050283965128955,55.79367990142334,3227,1486.9406874661722,35.389961692246814,78.29381202113626,60.590571315592165,75.30944206037508
159,66135,New Jerusalem Elementary,San Joaquin,KK-08,16696,476.5612954675979,35.463844984791656,40.36086849086716,227,1068.2143787861146,25.153298966347023,80.76568358010616,50.08322357990033,55.41130750757492
34,61906,Big Springs Union Elementary,Siskiyou,KK-08,1677,693.4466769665283,5.571831011585303,-4.981240063080001,2221,2255.539499910179,32.75346286674074,49.9576451490275,26.99126591572738,40.7418144519898
69,74874,Reeds Creek Elementary,Tehama,KK-08,3686,831.9776198503974,55.11645434536893,65.68448288950049,1604,995.4815534131047,21.353735068321527,5.4847142219451825,62.938625353321584,90.50812590061705
28,72003,Gravenstein Union Elementary,Sonoma,KK-08,19374,893.3680855808757,12.082773352978489,79.55192760727493,2109,1915.2308599766377,27.347338178829215,44.36337733499963,61.38755075846507,42.619528890554804
156,69513,Sundale Union Elementary,Tulare,KK-08,23293,567.7416959168786,24.62409044005287,59.00422309010669,611,1180.8060251075083,27.106108963254595,10.081214595208337,63.98830754987844,39.26546648902297
316,71274,Rocklin Unified,Placer,KK-08,25396,877.8540957560912,41.90302219249024,40.40162051400153,1148,2783.354626983204,34.79662034501596,32.42501887315296,51.26204473242972,57.75675774109127
177,70575,Portola Valley Elementary,San Mateo,KK-08,7982,644.7533999780894,45.7612580508759,37.27435334158019,415,1693.506440866755,23.21459689659392,43.78608965389443,33.18395069109204,56.464557101426585
216,67646,Foresthill Union Elementary,Placer,KK-08,6415,1075.3274633142578,37.450326159966814,16.899498500968228,1866,1447.5278121388178,28.581945397580927,33.426926368735636,28.667723462420792,79.64669747002999
270,73251,Knights Ferry Elementary,Stanislaus,KK-08,21455,885.0227774938242,37.996492201958354,71.63160931485231,703,1640.3994017677023,16.887088903904637,53.015234951970754,30.647164843921495,17.697253216130818
88,63895,Cinnabar Elementary,Sonoma,KK-06,597,863.0628623692908,52.99159012692503,56.79080330778821,2175,787.4924856920179,10.959628825196067,47.21832476951298,42.27572072743962,59.10567070892602
4,61556,Forestville Union Elementary,Sonoma,KK-08,12580,854.8929705297146,50.85362906770101,69.39507395722357,2166,1739.5670590068414,23.566290444877296,16.580455944958814,40.166658142007016,31.36179594543073
188,65783,Black Butte Union Elementary,Shasta,KK-08,18105,852.1879726599204,53.18706442506818,64.49266549183552,1120,1866.6749407764378,38.96978662422552,47.15033487566984,49.12735581420384,75.66223488909844
90,69336,Pleasant Valley Elementary,Ventura,KK-08,987,840.9537492211984,42.498291374553226,70.48334634703487,1983,2628.023296313219,30.4628340722308,61.5401835265569,58.23511272609417,24.875069042824197
74,61401,Pleasant View Elementary,Tulare,KK-08,3462,801.9906769434579,34.17818843265165,70.33309114431174,3317,583.5111438916999,18.74234140195075,7.036112061701438,48.71034168539351,36.21794979846839
391,63949,Buellton Union Elementary,Santa Barbara,KK-08,20323,698.7909195648749,48.82561596462477,51.27858935185661,2171,2427.158559645047,16.583961073145502,61.29525861706653,28.746790521817275,32.97772109003015
24,69687,Campbell Union Elementary,Santa Clara,KK-08,16831,834.3073804179321,31.21713469252093,63.697603299704454,3244,2118.3389231900182,36.0642232931242,52.94261990224098,77.62645740074,-16.433335630478922
399,72006,Gold Trail Union Elementary,El Dorado,KK-08,11630,161.2149117113703,21.99616953447869,24.55719707725324,96,1200.9588575781518,23.994956065488353,55.44818869013622,6.78274269571321,93.96585249674965
83,67609,Bakersfield City Elementary,Kern,KK-08,13206,721.0537667467261,30.982344807720715,55.81199924321562,536,1755.8265685293643,29.192711412786167,68.04066311909011,52.95843661137512,42.21763562811374
126,61760,Santa Rita Union Elementary,Monterey,KK-08,12529,576.9378693213436,42.54132003606716,104.81132916170495,689,2199.3013310243464,34.84122214504437,27.26336507987927,62.40354096929686,70.54803594701097
342,71577,Savanna Elementary,Orange,KK-06,12141,629.6417761135342,52.8569949194646,72.24651833377317,2095,1731.017656884443,11.230656481373344,40.388858890249665,62.21380120864171,52.85357914801977
225,70235,Janesville Union Elementary,Lassen,KK-08,15878,551.6324246115927,32.845572361186,45.20443561080737,334,1989.4035372242374,39.63344977414643,54.375193007232276,28.46315246555934,21.59093482928282
19,68985,Susanville Elementary,Lassen,KK-08,14666,831.2802303914863,35.43400436507566,-12.347355167243514,1888,2430.7167702486454,26.78476155520673,49.65540671096707,81.17466004691823,34.29386631948641
419,69517,Shaffer Union Elementary,Lassen,KK-08,18355,490.87107728792444,37.532179643621554,22.74777742375919,2960,2091.9076062753256,9.409623925339336,69.93901448404753,1.6129738569543903,62.40804100694656
308,70561,Weed Union Elementary,Siskiyou,KK-08,21401,822.4106341764086,32.26453178215802,87.75745744745285,1836,2671.597765561467,22.71434097706807,35.481919515328514,45.66747693970731,71.76024059106591
68,73162,Hawthorne Elementary,Los Angeles,KK-08,15396,724.875418819657,16.80227727065427,38.87022213462983,2774,775.1076334283209,25.616651476725384,68.14868313395982,100.21545024165452,56.18537660891204
76,73324,Union Hill Elementary,Nevada,KK-08,22218,541.1102569768307,38.84205602409085,-22.665628455300492,1827,2265.9665901956037,35.786310822575295,67.50500202458335,18.855105893200086,67.19055017298808
79,70868,Whittier City Elementary,Los Angeles,KK-08,10055,967.7567165904549,30.31679430919648,23.154145404513564,1436,1606.9500767038987,26.982681806453854,19.510221253942035,43.07922886154958,72.54426749619375
304,68187,Etiwanda Elementary,San Bernardino,KK-08,14026,907.301008163318,30.35300410245528,59.11051294035337,618,1055.214581674486,37.13287378945164,31.89377521983583,31.813918618506108,49.39949452152007
368,63036,Freshwater Elementary,Humboldt,KK-06,10495,745.0316841983646,38.7062170639994,20.934538783317997,554,1964.1842099829123,23.642692767225395,56.14942000372591,10.327481301512108,41.17106242287337
18,62864,Big Springs Union Elementary,Siskiyou,KK-08,6780,632.0940413641637,48.85393075301664,41.14392796859299,3233,2552.8737300496887,32.69159200185603,35.252142263457884,80.17464969135004,65.62966871626772
137,74542,Soquel Elementary,Santa Cruz,KK-08,18996,547.0818059662616,37.68478266390807,123.49730583215866,3289,2804.9573111870786,20.613742421587293,73.27814646192722,84.37882362884281,62.33578872784995
200,68438,Redwood City Elementary,San Mateo,KK-08,4837,964.2438314055335,28.291779112325017,23.878513095475782,2181,2340.6509980609117,26.81992829725047,64.40467097028701,45.515406783288356,71.14476135405484
42,69015,Westmorland Union Elementary,Imperial,KK-08,5377,676.16864179754,37.59585114020953,36.41351753256288,176,3025.7982503365743,29.836670716517276,31.704306373466814,47.53460648003192,70.68914705003118
291,63820,Bonsall Union Elementary,San Diego,KK-08,10374,719.482661952488,34.89690368301409,4.82098227140262,1898,1475.2944453956263,19.72146513606753,42.46561829869596,70.71335083102223,40.15852830971608
334,74456,Marcum-Illinois Union Elementary,Sutter,KK-08,10550,209.5122991430402,33.75122428940936,-14.42737150001048,597,1679.0363935652863,19.28826192598701,48.23090996189237,43.60178647408055,47.14077439765105
74,66714,Hughes-Elizabeth Lakes Union Elementary,Los Angeles,KK-08,17244,754.7135137507895,29.539784586852655,55.21659691878006,364,1400.1189137611998,38.3675639575046,49.04745321562201,59.55660001160035,44.58075130251869
258,63423,Ballard Elementary,Santa Barbara,KK-06,9344,805.0180088097939,56.01802811636702,51.48323478224418,2432,2566.5813533572627,29.209525411905826,-2.627182616692039,33.610956904528706,56.08470480807935
416,64168,Greenfield Union Elementary,Kern,KK-08,7140,529.3472921039402,50.500029922083726,56.513272716646064,64,1853.5169302335808,26.686664941725738,44.08300867711772,47.238839125791074,31.16927534393154
384,61674,Fort Jones Union Elementary,Siskiyou,KK-06,3094,783.4077878553954,52.16014818522659,71.17145986820636,210,1752.9652705684434,27.401678751363505,56.64341936159535,31.70615489532941,43.06937754111313
327,65051,Sunnyside Union Elementary,Tulare,KK-08,15376,891.4915641171203,25.97433911893519,53.594197275569236,2736,1850.8400513606782,15.773985201618876,61.89381279956738,28.05791151204486,77.98426553251943
378,61771,Antelope Elementary,Tehama,KK-08,3923,673.1952024027944,48.38345970917,63.30564649768078,2062,2427.0354396400758,20.2221523244691,-0.9874413786046858,50.0737964857424,47.25877139814362
66,74707,Harmony Union Elementary,Sonoma,KK-08,9368,651.2797440603977,15.805076746759738,92.72684048712955,88,1744.3751727468332,20.43062491836244,18.2185653122407,52.912581946863355,50.47959672569963
333,64198,Hydesville Elementary,Humboldt,KK-08,5043,730.3871099901222,38.64830557150691,76.59460586111605,2365,2200.286960277011,30.731768045736523,16.759171077752647,18.11303207508087,59.679652933024656
290,71010,Salinas City Elementary,Monterey,KK-06,1184,1147.279144749598,40.39817163022906,50.70280708322223,460,1767.3241441018451,30.000311746171977,57.52185868031773,63.98268447513144,70.80407684603341
112,71853,Knights Ferry Elementary,Stanislaus,KK-08,4788,738.2972947431258,47.23057942440936,63.65380266225068,1014,1628.45797205697,33.315572889393934,82.16423299745463,13.243665729329976,37.59575397323357
13,73367,Union Elementary,Santa Clara,KK-08,5134,523.1334950723211,17.69165416023954,17.346947149237806,1920,2867.665351187728,20.606295435956426,69.00777828296413,24.830021545186707,43.14787422281763
285,69916,Lucerne Elementary,Lake,KK-08,14064,903.8221776094374,20.92856264028244,88.22699502056342,228,2999.562311111161,21.181745408461545,71.24132067394403,22.123801855764576,19.285539206099678
381,69783,Douglas City Elementary,Trinity,KK-08,20954,494.31711179459853,28.861081820311576,18.955243859600152,1786,1884.935078860789,13.210651606843083,69.27555329276521,-11.131073987520402,74.07922913626928
146,68523,Evergreen Elementary,Santa Clara,KK-08,25767,702.0612934376844,33.62269573332172,19.83945690859898,1014,1541.2823916506027,26.809743296146735,48.139722519170654,49.722007659453304,52.33901390489294
295,73899,Ontario-Montclair Elementary,San Bernardino,KK-08,26907,863.4804493799697,24.142588782137775,7.908300943386848,2269,2296.745239761152,22.98501831736059,48.32284964623572,37.4631887145692,74.46523968576373
220,66038,Loleta Union Elementary,Humboldt,KK-08,7115,667.5864397266627,29.941357608864347,87.9760379856346,2361,1694.4647052232735,25.816592484274853,31.058707878544833,62.0337394799496,71.81944822784746
414,73631,Santa Paula Elementary,Ventura,KK-08,18087,860.2209015619813,43.81822313830103,75.3698395129247,270,3357.813468425504,26.316914235632225,33.319442795617384,38.87730383965583,34.87598578330453
92,69542,Wheatland Elementary,Yuba,KK-08,12490,1047.4070747336993,49.255773815270494,73.85997942654001,1085,1616.8789027040227,35.180328348375404,34.301892880542646,50.385496885388214,64.94672795430846
286,68077,Franklin-McKinley Elementary,Santa Clara,KK-08,24781,956.9106770808778,65.41661426805943,45.34102269687292,2460,2005.1508880592924,23.646665659051504,54.632353088882184,68.51843493951779,54.47797335978303
150,71426,Rescue Union Elementary,El Dorado,KK-08,20734,781.4376444499369,33.75722385070601,60.55201518372938,1533,1756.372343697391,20.18147552281468,16.181560278396354,72.70691263541295,38.49150470510444
291,69680,Ballard Elementary,Santa Barbara,KK-06,25071,799.984775092939,44.83155453942647,48.72441886232749,1894,1970.0804365992067,30.145651204991715,48.53123198199779,38.71473889516504,37.71318912629271
387,66023,Manzanita Elementary,Butte,KK-08,3817,765.1107166130348,30.40221786456109,31.845092639440086,1234,1672.4792504997126,23.690318383113386,51.03317923430394,89.99880525711636,13.689372231345466
352,66523,Ross Valley Elementary,Marin,KK-08,4143,576.3889710705124,59.2147170856465,30.63918742734515,873,197.15747682013898,30.769139947216747,57.902183649027855,56.29553972317914,57.35091295245827
170,62925,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,26208,832.1851590585319,57.57274850683488,66.63961250825811,502,2806.1547270865594,17.737844064297004,32.21671249845565,85.36782259242985,62.76922080559383
257,65961,Hollister School District,San Benito,KK-08,1184,731.8759352169093,56.653137082988394,34.596171471832406,694,3908.4226331915906,27.860601761886628,63.90379480676211,86.03557763360615,54.29714137290172
343,62980,Columbia Union Elementary,Tuolumne,KK-08,12143,701.3271263771579,44.32587359217438,61.16304645744424,212,1839.5163478776215,20.677150225846272,47.77762456737666,17.94728842414096,22.04276099896959
29,63625,Pleasant Valley Elementary,Nevada,KK-08,5175,694.2601323312163,51.22344515398848,60.5170222809317,1757,2435.8106818553106,24.70606618369186,37.40621159412821,52.61447234888994,43.564976746406785
359,64473,Fullerton Elementary,Orange,KK-08,18267,842.9222746066009,40.47580329825617,71.71747132181392,814,1781.3965043931335,46.435807802513224,67.69727609091622,36.39060630119873,12.337956429684354
45,73374,Montecito Union Elementary,Santa Barbara,KK-06,21876,1144.2289235004314,34.51023415307662,81.62757407241557,960,1410.734205270978,18.00691254300678,63.75594670569065,65.73702974408076,10.671411929162893
256,70676,Etna Union Elementary,Siskiyou,KK-06,6083,875.7211334974905,37.44243963513282,47.071729887988184,3310,1479.239166705247,26.5313593192723,42.686368781540025,55.461271815777515,25.3429346088772
3,72345,Delano Union Elementary,Kern,KK-08,7960,697.7348898259734,56.44077064280414,41.2862286328819,2371,2774.4027998054407,26.63129914662894,18.712499164617345,64.09526050973699,58.73449714086273
317,61608,McSwain Union Elementary,Merced,KK-08,363,891.1123583088062,18.117269330277125,65.6500223768595,2585,2170.1169277867507,24.433183753598833,61.26388738881545,53.011171987230526,32.30278055371592
153,64818,Whisman Elementary,Santa Clara,KK-08,411,1010.8157623268439,13.464756177738224,75.541308896178,3237,2247.686140231758,37.08268706967847,39.92466036153363,27.081997423789964,24.100689858776214
75,72952,Gratton Elementary,Stanislaus,KK-08,2053,433.11541867738254,28.250100277279536,37.65578859733759,159,2016.9500972427263,27.615733925148906,39.28371567026348,41.96239197386244,69.43041967017245
203,74008,San Carlos Elementary,San Mateo,KK-08,25790,714.5256337581285,42.01668646829465,65.09400134856723,3093,2574.5113790096284,19.484446680025492,21.298592490155247,-4.763983142743669,70.0292375513805
391,74539,La Mesa-Spring Valley,San Diego,KK-08,6738,750.3445889616376,40.490127310453076,95.51326035570534,1679,1456.2565563937465,25.920222675826523,31.276988591069134,39.55957935996973,60.273990652485885
233,68633,Susanville Elementary,Lassen,KK-08,4768,984.0241941601093,42.96778354477393,61.879195479711264,1295,1669.0653441972727,29.52795934018111,50.04785764319731,91.1807807202602,63.338007546995556
247,74624,Nuestro Elementary,Sutter,KK-08,22257,667.2513143800792,33.563767985355064,56.70574884834351,1197,2392.4804940102517,17.04684434918363,42.945160186121655,62.48112243818259,36.87046942954454
367,73566,Bishop Union Elementary,Inyo,KK-08,1415,622.8231114503477,41.07385566757891,71.20044326833658,658,2548.679612741559,24.119283913176382,27.362914195577623,49.358211149612565,33.598557802334454
414,73295,Shaffer Union Elementary,Lassen,KK-08,11766,796.7356006853082,41.204081411313254,12.20762628414758,2322,896.9023094858392,13.016517399030633,44.67376537778522,49.25969051539074,89.06032086576306
346,63067,Ocean View Elementary,Orange,KK-08,25577,500.2256781304758,52.95399089378967,47.6459343430698,1280,2208.2987845835987,23.832403863168988,28.58138236400526,51.661410249798806,36.85097863365434
374,71236,Southside Elementary,San Benito,KK-08,2527,862.5369103062942,39.658014621125005,50.44871514514218,2755,2278.544849224214,29.19379211301875,29.423786342891205,61.64541336119033,51.27748459698885
77,68041,Rosemead Elementary,Los Angeles,KK-08,19294,703.8424947552926,23.654934637421924,46.710023951724416,2255,757.7075074689999,40.79146426325911,36.30220215001572,44.31021930113829,47.80434426907368
145,73692,Browns Elementary,Sutter,KK-08,4482,912.1918992981405,51.80273645933875,72.81418910777325,3077,1207.062955673796,22.00331578737805,46.63297973406309,45.39119463096717,37.776836864059355
186,64113,Cottonwood Union Elementary,Shasta,KK-08,1257,870.3338455132875,72.9670254960827,61.37368792778831,2551,1826.5519517559326,21.586572370943447,29.30050435654222,45.73508373817365,61.59143137758733
331,75141,Douglas City Elementary,Trinity,KK-08,15017,602.2527324257197,36.22614427421615,-4.5540076905082785,3178,1507.919993689493,20.443047296130857,30.657266256737014,71.25248174391722,42.9784989939824
304,69230,Salinas City Elementary,Monterey,KK-06,3754,852.726404679799,25.56936642593059,-9.05412842780568,3036,1407.4296544657268,30.060150454493986,58.498746106820136,32.48171622384929,84.12797404799002
275,65317,Colfax Elementary,Placer,KK-08,12151,569.8913733269748,16.780101506310185,56.01304373698381,276,1401.7303887475132,16.051219151238442,34.26417843394705,35.00770804926714,31.203498120430726
147,65541,Moraga Elementary,Contra Costa,KK-08,9323,603.0845883755624,43.06882739637768,59.38636267178346,1246,611.3380360990427,26.9066106204338,28.39120500991872,56.502920901835935,57.674291188678595
218,73689,Oakley Union Elementary,Contra Costa,KK-08,21155,605.4294491021351,51.728053440686125,30.34835747918801,1492,1470.0879956503275,26.34066021297252,45.54518830517014,42.769338882664265,41.29638326291082
373,62141,Bishop Union Elementary,Inyo,KK-08,18422,600.2933288800548,25.97350361026864,51.58021478840737,180,1465.2608394178246,37.80590889021645,29.354541587137838,54.534026379800245,81.8453693482459
293,71133,Janesville Union Elementary,Lassen,KK-08,6046,565.3079002255597,33.59190971235082,31.313619503483977,192,1742.3598930263795,19.977226222585223,23.40001264639576,43.81365891926277,53.320069874626405
400,69499,Rincon Valley Union Elementary,Sonoma,KK-06,12473,622.5109975395922,27.093373457800503,56.69801735348544,1982,457.295667675648,12.57705599186071,40.053286301713406,31.814346105528745,64.44146289516532
232,62184,Oxnard Elementary,Ventura,KK-08,4576,881.0426291158528,41.37866922394609,49.57033208151795,1075,1590.8934316315579,25.3003692447894,23.550650841282785,17.36029001822039,29.91945810252604
380,66486,Westminster Elementary,Orange,KK-08,542,930.2272659541715,27.467301801291292,30.552873701821927,1599,1761.8317781720887,25.804516847800247,20.616383847855897,49.7483929364317,45.02497181572455
269,65783,Woodville Elementary,Tulare,KK-08,14202,943.5798650858584,35.7626337852092,63.04986604604567,1871,3226.166243009632,35.41205510379707,35.75382977850931,20.837124321228654,74.78623305463029
27,69654,Petaluma City Elementary,Sonoma,KK-06,2283,770.0745142165132,23.223195797778793,6.167691427199195,2598,1263.8698896780297,32.720028858346595,47.86828988167461,53.69388056799312,62.55137694050593
153,62457,Armona Union Elementary,Kings,KK-08,18358,755.4277632617158,32.74862384778492,72.8929733487487,877,717.6713772268677,18.995442916107123,66.71159089088904,91.51169930541872,40.94409559304253
294,71831,Gold Trail Union Elementary,El Dorado,KK-08,10263,594.0572780291725,34.75419548998197,90.267556927975,2073,1660.3216203400639,23.717299116344684,30.100180770907563,83.15810942050956,70.9243945689791
222,69327,Cardiff Elementary,San Diego,KK-06,21247,667.1031211723895,27.22739657980521,40.256755024763756,3233,2596.9604704741396,24.101245930176606,19.57478355196905,54.484500914522116,46.763309877636935
363,72902,Orange Center Elementary,Fresno,KK-08,12244,190.9812836544105,38.9676173884917,65.19910592569433,1506,2318.3572365001282,30.406373468121487,2.7504904524609586,21.377908296297395,34.14460781645857
337,70463,Rocklin Unified,Placer,KK-08,1846,601.2444914019746,21.47119565282481,52.15175353244888,2131,1907.1093475686757,41.830312302727826,60.85225988826133,78.58566587648015,53.75422025571851
92,75011,Corning Union Elementary,Tehama,KK-08,7289,795.5066014243727,26.096001283655724,78.46483681015987,1380,2757.580966863352,22.60239605517839,52.70476467316038,60.31571703274122,36.42976246208053
79,71052,Camino Union Elementary,El Dorado,KK-08,20074,508.40195167833167,20.405263982435073,79.94633125727164,922,2874.2593174988065,23.279144028803923,34.95183391858452,56.716071839416166,17.59116695833812
