focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other,yellowCards,religiousness,alldeaths,math,computer,refCountry,defeats,help,position,native
2,1,1,0,538,577,5,13,2,4,3,9,1,4,15,643.4000244,601,7,2,N,Defensive Midfielder,yes
2,1,1,0,749,462,5,13,2,4,3,9,0,4,37,674.0999756,37,40,0,N,Center Back,yes
2,5,5,1,403,449,5,6,2,2,3,4,0,4,13,646.5,59,51,0,N,Left Midfielder,yes
2,6,6,0,241,805,5,10,2,3,3,7,0,3,2,673.2000122,50,8,1,N,Defensive Midfielder,yes
6,2,6,0,256,616,10,5,3,2,7,3,3,4,2,709.5,721,3,5,N,Right Midfielder,yes
6,2,6,1,441,538,10,5,3,2,7,3,0,3,3,636.2000122,1248,44,1,N,Attacking Midfielder,yes
6,2,6,0,185,617,10,5,3,2,7,3,0,2,1,641.7000122,1004,8,0,N,,yes
2,6,6,0,411,539,5,10,2,3,3,7,0,4,3,645.7000122,4,8,1,N,Right Midfielder,yes
2,5,5,1,426,189,5,6,2,2,3,4,0,3,7,628.7000122,569,7,2,N,Center Back,yes
5,2,5,0,256,197,6,5,2,2,4,3,0,5,3,633.5999756,94,64,0,N,Center Forward,yes
6,2,6,0,411,434,10,5,3,2,7,3,0,4,1833,636.5999756,13,8,0,N,Center Forward,no
1,6,3,1,299,511,13,10,4,3,9,7,0,4,1,642.7000122,71,3,0,N,Center Back,yes
6,1,3,1,461,378,10,13,3,4,7,9,0,2,84,679.9000244,42,3,1,N,Center Forward,yes
2,5,5,1,410,175,5,6,2,2,3,4,0,3,9,636.2000122,27,101,0,N,Center Midfielder,yes
1,6,3,1,228,506,13,10,4,3,9,7,2,3,416,668.5,145,52,1,N,Center Forward,yes
1,2,1,1,257,853,13,5,4,2,9,3,1,4,0,703.5999756,22,32,0,N,Attacking Midfielder,yes
1,2,1,1,516,191,13,5,4,2,9,3,0,4,46,613.4000244,0,44,1,N,Left Midfielder,yes
2,5,5,0,511,489,5,6,2,2,3,4,0,2,3,656.2999878,32,44,0,N,,no
1,2,1,1,500,721,13,5,4,2,9,3,1,3,12,651.9000244,75,8,1,N,Attacking Midfielder,no
2,6,6,0,616,306,5,10,2,3,3,7,1,4,10,651.9000244,50,40,0,N,Left Fullback,yes
4,2,4,1,229,55,10,5,3,2,7,3,1,1,22,653.7000122,634,44,6,N,Center Back,yes
2,1,1,1,181,526,5,13,2,4,3,9,0,4,1,650.9000244,30,8,1,N,Goalkeeper,yes
4,2,4,1,185,155,10,5,3,2,7,3,0,5,8,670.7000122,231,44,1,N,Center Forward,yes
2,4,4,1,207,209,5,10,2,3,3,7,0,2,22,655.2000122,20,3,4,y,Center Forward,yes
2,4,4,1,126,211,5,10,2,3,3,7,0,1,0,630.5,202,57,1,N,Attacking Midfielder,yes
4,5,8,1,501,90,10,6,3,2,7,4,0,2,15,670.0999756,42,64,1,N,Right Winger,yes
4,1,2,0,404,576,10,13,3,4,7,9,0,2,3,633.0,480,8,0,N,Left Winger,yes
2,4,4,1,186,224,5,10,2,3,3,7,1,3,0,664.0,1150,44,9,N,,yes
2,5,5,1,528,175,5,6,2,2,3,4,0,2,0,661.7000122,95,32,0,N,Center Back,yes
3,6,7,1,469,474,10,10,3,3,7,7,1,4,7,636.5999756,31,21,0,N,,yes
5,2,5,0,264,388,6,5,2,2,4,3,2,1,200,672.4000244,586,44,3,N,Attacking Midfielder,yes
2,5,5,1,324,264,5,6,2,2,3,4,1,5,56,643.5999756,1338,8,0,N,Center Back,yes
4,5,8,1,205,548,10,6,3,2,7,4,0,2,60,650.5999756,268,8,0,N,Goalkeeper,yes
4,2,4,1,174,239,10,5,3,2,7,3,1,2,2,644.5,41,44,1,N,Left Winger,yes
5,2,5,1,258,469,6,5,2,2,4,3,1,4,4,670.7000122,116,80,0,N,Left Winger,yes
4,2,4,0,72,248,10,5,3,2,7,3,0,5,50,655.9000244,50,3,2,N,Right Fullback,yes
5,2,5,0,497,264,6,5,2,2,4,3,2,2,0,649.5999756,96,58,2,N,Left Midfielder,yes
4,5,8,1,239,334,10,6,3,2,7,4,0,4,117,627.0999756,275,44,1,N,,yes
2,5,5,1,290,363,5,6,2,2,3,4,0,3,20,652.7999878,1295,58,0,N,Center Back,yes
6,3,7,0,584,159,10,10,3,3,7,7,0,2,5,660.9000244,302,7,0,N,,yes
2,4,4,0,262,82,5,10,2,3,3,7,0,4,15,632.0999756,259,8,0,y,Left Fullback,yes
2,4,4,0,303,105,5,10,2,3,3,7,0,3,3,633.5,8,44,0,N,Center Back,no
1,6,3,1,343,471,13,10,4,3,9,7,0,4,10,707.7000122,195,49,0,N,Left Fullback,yes
2,5,5,1,591,295,5,6,2,2,3,4,0,2,6,625.5999756,202,45,2,y,Left Winger,yes
1,2,1,0,579,327,13,5,4,2,9,3,0,2,0,643.0,499,19,0,N,Center Forward,yes
5,2,5,1,242,425,6,5,2,2,4,3,0,3,1,678.5999756,701,57,0,N,Left Fullback,yes
2,4,4,1,335,166,5,10,2,3,3,7,3,3,75,646.0,116,44,8,N,Right Midfielder,yes
2,4,4,0,308,177,5,10,2,3,3,7,0,4,1,663.9000244,206,24,0,N,Defensive Midfielder,yes
1,6,3,0,390,467,13,10,4,3,9,7,0,2,0,679.2999878,318,44,1,N,Center Midfielder,yes
4,2,4,1,88,208,10,5,3,2,7,3,0,2,0,619.9000244,80,32,0,N,Center Forward,yes
5,2,5,0,373,374,6,5,2,2,4,3,1,3,0,630.0,32,3,1,N,,yes
1,6,3,0,328,457,13,10,4,3,9,7,0,3,3,666.5999756,307,45,0,N,Attacking Midfielder,yes
2,5,5,1,259,193,5,6,2,2,3,4,0,2,20,690.0,67,44,0,y,Defensive Midfielder,yes
1,6,3,1,259,454,13,10,4,3,9,7,0,5,52,619.2999878,139,7,1,N,Attacking Midfielder,yes
6,3,7,0,388,417,10,10,3,3,7,7,0,2,21,681.2999878,21,44,0,N,,yes
2,4,4,0,252,234,5,10,2,3,3,7,0,3,1,663.0,78,44,0,N,,yes
6,3,7,0,578,416,10,10,3,3,7,7,1,4,21,657.5,105,44,3,y,Center Midfielder,yes
6,3,7,0,535,300,10,10,3,3,7,7,0,4,159,667.0,335,7,0,N,,yes
