focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
5,3,4,0,281,209,12,11,2,2,6,3
6,2,8,0,252,771,7,13,4,3,9,9
6,1,4,1,624,691,10,12,2,4,3,8
1,1,1,0,374,409,6,8,3,3,5,9
5,5,5,0,635,474,13,7,2,3,8,5
4,1,4,0,394,464,13,13,3,2,8,5
3,4,4,1,612,536,5,11,3,2,5,5
6,3,5,0,707,153,11,5,2,4,5,8
2,3,5,0,441,527,13,13,4,4,5,5
4,5,6,0,321,333,12,8,2,4,3,3
1,3,7,1,706,629,10,12,3,4,3,5
1,6,6,0,337,105,7,6,3,4,8,4
5,3,4,1,346,189,11,6,3,4,5,7
4,6,6,0,74,60,7,12,2,4,9,9
2,6,4,0,749,824,7,12,3,2,8,7
1,4,6,0,697,641,9,13,2,4,7,5
3,5,7,1,310,527,11,11,2,3,5,8
1,6,1,1,423,284,5,10,3,2,7,6
4,6,6,0,93,737,8,11,4,4,6,7
6,4,2,0,358,440,13,12,2,2,4,7
4,1,7,1,122,481,6,6,4,2,4,6
5,2,8,0,705,507,5,12,2,2,6,6
2,3,5,0,260,181,6,6,4,4,4,5
1,6,8,0,518,338,9,7,4,2,7,7
5,4,3,0,186,132,6,8,2,2,9,5
5,4,5,1,321,303,5,9,4,4,8,5
3,1,2,0,319,534,12,13,4,2,9,5
4,5,1,0,514,751,12,12,2,4,7,6
1,2,7,0,139,440,6,6,3,4,7,9
2,2,2,1,300,308,6,7,4,4,8,5
3,1,1,1,209,103,7,6,2,4,3,3
1,4,6,0,618,104,7,12,2,4,6,3
5,2,7,0,440,57,9,8,4,4,4,8
5,1,5,1,686,246,13,6,3,4,7,5
6,5,1,1,660,428,7,8,2,3,9,6
6,3,5,1,281,570,12,10,2,4,6,3
2,3,1,1,526,196,6,13,3,2,7,3
5,3,8,0,608,514,8,9,3,2,8,7
6,5,2,0,549,89,7,12,3,4,7,3
1,4,4,0,309,763,12,9,3,4,6,3
3,4,5,1,382,775,12,8,2,4,5,6
1,5,3,0,371,169,12,6,4,3,4,6
3,6,2,1,657,118,12,7,2,4,9,8
5,1,6,0,597,364,13,6,3,2,8,9
3,5,1,0,309,430,7,5,4,2,8,5
6,5,6,0,657,684,8,13,4,4,4,3
6,3,8,1,335,515,5,6,4,2,8,3
1,5,1,1,424,81,9,9,2,3,9,9
4,5,2,1,284,525,5,13,2,2,7,5
4,1,6,1,698,790,12,6,4,3,8,5
1,4,1,1,717,415,5,7,4,3,5,4
4,2,8,0,80,806,5,6,3,3,3,8
2,1,2,1,619,296,6,8,4,3,8,3
6,1,2,0,483,58,9,7,3,2,6,9
5,4,3,1,397,620,11,8,2,3,6,3
4,2,1,1,620,635,11,10,4,3,9,7
2,1,2,0,545,762,11,7,3,3,9,5
5,2,7,0,575,690,13,12,4,4,5,8
