focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
1,4,6,1,352,241,10,8,4,4,7,9
5,4,6,0,461,625,8,13,2,4,3,5
1,6,2,1,217,61,9,9,2,4,9,7
6,3,4,1,386,672,9,10,3,2,3,3
5,1,6,0,507,558,5,5,4,3,7,7
2,5,3,0,231,245,13,8,4,4,9,3
6,5,7,0,102,782,13,6,2,2,6,6
4,4,6,0,458,795,13,5,4,3,7,5
1,4,1,0,534,424,8,12,2,3,4,4
1,6,8,0,404,157,8,5,2,2,9,6
5,2,7,0,411,834,12,13,3,4,9,8
1,6,2,1,656,207,6,5,2,3,6,3
3,2,6,1,349,256,9,8,2,3,9,7
4,6,8,1,131,787,10,12,3,2,3,5
3,4,8,1,697,671,6,7,4,2,3,5
2,1,4,0,478,309,13,10,4,3,7,7
2,2,4,0,607,726,13,11,4,3,3,3
1,6,1,0,319,188,8,5,4,2,4,4
5,4,6,0,600,639,8,9,2,3,5,8
3,2,5,1,122,250,11,9,2,4,6,4
3,4,4,0,109,271,13,13,3,3,3,8
5,6,7,0,555,282,13,12,4,4,7,5
3,2,6,1,704,509,11,13,4,3,4,9
5,5,2,0,521,412,6,6,2,4,8,5
1,4,7,0,570,170,6,5,3,3,5,8
5,6,1,0,229,702,9,9,3,3,3,9
5,6,7,0,205,64,5,5,4,2,4,3
5,2,3,1,694,321,12,6,4,3,5,9
4,3,3,1,148,609,7,6,4,2,5,5
3,6,7,1,145,427,6,6,3,4,5,5
6,4,7,1,153,440,6,12,2,2,6,8
2,6,4,1,331,208,9,7,4,3,4,4
1,4,5,1,669,149,8,13,2,3,7,8
6,2,4,0,144,250,12,10,4,2,6,6
3,2,6,1,388,68,13,8,3,2,6,5
4,4,2,0,408,77,5,7,4,4,6,8
3,4,1,0,227,803,13,10,4,2,7,8
2,1,2,1,383,317,6,11,3,4,4,9
1,2,6,1,218,368,11,8,2,4,4,5
4,5,2,0,572,578,12,8,3,4,7,8
5,3,7,1,333,363,12,9,2,4,8,9
4,5,5,0,462,77,7,11,2,2,4,8
6,3,6,1,143,187,12,6,3,2,7,6
4,4,7,0,266,120,13,9,2,4,3,4
4,2,1,0,701,313,11,6,3,2,4,9
3,2,1,1,739,828,7,10,2,4,6,8
4,5,8,1,474,677,10,8,3,2,4,4
6,2,6,0,484,313,8,6,2,4,3,5
6,1,5,1,642,735,12,11,4,3,6,8
3,4,3,0,581,278,11,8,4,2,6,4
2,3,4,1,205,492,8,13,2,2,4,7
2,6,1,0,619,88,6,5,3,2,8,6
4,1,7,0,705,781,5,5,3,2,4,4
2,4,5,0,480,115,6,8,3,4,3,8
4,6,5,1,116,59,9,9,4,3,3,4
5,3,7,1,160,241,9,6,2,2,6,6
6,6,1,1,429,596,10,13,4,2,6,9
4,3,6,0,246,304,13,5,4,2,6,5
