ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15,player,religiousness,expenditure,school,persons,games,f_other,n_other,students,occupation
0,1950,Easy,6.777778,958,1,3,2,1590.0,63.0,MWR,5.40625,120,1870,Abel Aguilar,4,5124.836426,Lemon Grove Elementary,3,2,9,13,24,1
1,1950,King,1.388889,955,0,3,4,5350.0,63.0,MWR,1.59375,130,6030,Jérôme Boateng,4,4357.826172,Richfield Elementary,3,1,9,13,28,4
2,1952,Able,3.833333,985,0,1,3,150.0,61.0,MWR,2.96875,85,170,Franck Tabanou,4,5504.025391,South Bay Union Elementary,4,1,4,6,15,1
3,1953,Barbara,9.833333,987,1,1,1,58.0,60.0,MWR,8.625,85,65,Joel Matip,3,4392.679688,Mesa Union Elementary,2,1,7,10,13,6
4,1953,Florence,8.333333,985,1,1,0,15.0,60.0,MWR,7.875,85,18, Pedro León,4,5741.462891,Los Altos Elementary,1,11,3,5,16,6
5,1954,Carol,8.111111,960,1,3,60,19321.0,59.0,MWR,8.53125,120,21375,Thomas Müller,3,5742.73291,Merced City Elementary,2,4,3,5,51,1
6,1954,Edna,8.555556,954,1,3,20,3230.0,59.0,MWR,7.625,120,3520,Robin Knoche,2,4954.019531,Turlock Joint Elementary,3,2,3,5,10,7
7,1954,Hazel,9.444444,938,1,4,20,24260.0,59.0,MWR,8.21875,145,28500,Jonathan Schmid,4,4692.566895,Banta Elementary,3,1,7,10,36,5
8,1955,Connie,8.5,962,1,3,0,2030.0,58.0,MWR,8.0,120,2270,Gary Caldwell,3,5342.233398,San Ysidro Elementary,1,2,4,6,76,5
9,1955,Diane,9.888889,987,1,1,200,14730.0,58.0,MWR,8.875,85,17250,Peniel Mlapa,5,5367.090332,Lakeside Union Elementary,2,1,3,5,10,5
10,1955,Ione,5.944444,960,0,3,7,6200.0,58.0,MWR,6.21875,120,6990,Tobias Steffen,4,4845.680176,Di Giorgio Elementary,2,1,3,5,24,3
11,1956,Flossy,7.0,975,1,2,15,1540.0,57.0,MWR,7.21875,105,1730,Martin Stranzl,4,4993.867676,Bayshore Elementary,4,2,7,10,30,1
12,1957,Audrey,8.59375,945,1,4,416,,,uri,8.59375,145,4290, Bodipo,2,4854.038086,Newcastle Elementary,2,1,9,13,33,5
13,1958,Helene,9.888889,946,1,3,1,540.0,55.0,MWR,8.8125,120,610,Stilian Petrov,3,5349.367676,Elverta Joint Elementary,2,1,4,6,343,3
14,1959,Debra,9.888889,984,1,1,0,430.0,54.0,MWR,8.4375,85,500,Andrey Arshavin,3,5191.834473,Cardiff Elementary,3,4,7,10,18,1
15,1959,Gracie,9.777778,950,1,3,22,510.0,54.0,MWR,9.53125,120,580,Abdou Dampha,4,6500.449707,Cold Spring Elementary,2,1,3,5,14,6
16,1960,Donna,9.277778,930,1,4,50,53270.0,53.0,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,8.875,145,62030,Adam Johnson,4,5036.211426,Del Paso Heights Elementary,2,1,3,5,17,6
17,1960,Ethel,8.722222,981,1,1,0,35.0,53.0,MWR,7.0625,85,39,Gary Gardner,2,4862.790527,Pleasant Valley Joint Union Elementary,1,1,4,6,48,6
18,1961,Carla,9.5,931,1,4,46,15850.0,52.0,MWR,8.625,145,18130,Tomáš Rosický,3,5247.018066,South Fork Union Elementary,1,3,3,5,23,3
19,1963,Cindy,9.944444,996,1,1,3,300.0,50.0,MWR,8.9375,85,340, Juanfran,4,5097.343262,Happy Valley Union Elementary,3,1,7,10,24,5
20,1964,Cleo,7.944444,968,1,2,3,6450.0,49.0,MWR,7.125,105,7270,Phil Jagielka,1,5215.943848,Santa Barbara Elementary,2,22,3,5,322,1
21,1964,Dora,9.333333,966,1,2,5,16260.0,49.0,MWR,8.28125,105,18540,Fabian Giefer,4,5774.970215,Guerneville Elementary,3,1,9,13,16,4
22,1964,Hilda,8.833333,950,1,3,37,2770.0,49.0,MWR,7.65625,120,3070, Bueno,5,4632.068359,Loomis Union Elementary,3,1,3,5,22,6
23,1964,Isbell,9.444444,974,1,2,3,800.0,49.0,MWR,8.3125,105,910, Agirretxe,2,5635.786133,Chicago Park Elementary,1,10,7,10,5,5
24,1965,Betsy,8.333333,948,1,3,75,20000.0,48.0,MWR,9.0,120,20640,Piotr Trochowski,1,4838.175293,Eastside Union Elementary,2,1,7,10,15,1
25,1966,Alma,8.777778,982,1,2,6,730.0,47.0,MWR,7.15625,105,870,Eden Hazard,2,5254.631836,Cayucos Elementary,1,2,4,6,60,4
26,1966,Inez,8.277778,983,1,1,3,99.0,47.0,MWR,6.46875,85,110,André Schürrle,2,5367.988281,Lawndale Elementary,1,1,9,13,65,5
27,1967,Beulah,7.277778,950,1,3,15,5060.0,46.0,MWR,6.34375,120,5760,Jon Walters,3,5374.050293,San Mateo-Foster City Elementary,4,14,7,10,113,5
28,1968,Gladys,8.944444,977,1,2,3,800.0,45.0,MWR,7.65625,105,930,Beg Ferati,2,5201.515625,Bella Vista Elementary,1,5,4,6,25,6
29,1969,Camille,9.055556,909,1,5,256,23040.0,44.0,MWR,8.875,190,25070,Shola Ameobi,4,6653.030762,McCloud Union Elementary,2,1,7,10,16,5
30,1970,Celia,9.444444,945,1,3,22,6870.0,43.0,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),9.21875,120,7660,Darron Gibson,1,4922.939941,Cypress Elementary,2,7,3,5,21,2
31,1971,Edith,8.5,978,1,2,0,300.0,42.0,MWR,7.65625,105,330,Janek Sternberg,5,5252.810547,El Centro Elementary,4,2,4,6,19,5
32,1971,Fern,7.388889,979,1,1,2,500.0,42.0,MWR,6.71875,85,570,Niklas Lomb,2,5532.582031,Grass Valley Elementary,2,2,4,6,44,3
33,1971,Ginger,10.0,995,1,1,0,200.0,42.0,MWR,8.65625,85,230, Cristiano Ronaldo,2,4145.835938,Pleasant Grove Joint Union Elementary,4,10,3,5,154,6
34,1972,Agnes,8.666667,980,1,1,117,20430.0,41.0,MWR,7.03125,85,22650,Zoltán Gera,4,5090.587891,Cottonwood Union Elementary,2,1,3,5,13,5
35,1974,Carmen,8.722222,952,1,3,1,1180.0,39.0,MWR,7.78125,120,1310, Nélson,5,4276.115234,Rockford  Elementary,2,3,3,5,13,6
36,1975,Eloise,8.944444,955,1,3,21,6190.0,38.0,MWR,8.4375,120,7020,Fabien Camus,2,4797.503418,Jefferson Elementary,2,9,3,5,85,6
37,1976,Belle,10.444445,980,1,1,5,570.0,37.0,MWR,9.78125,85,620,Wesley Hoolahan,4,5119.158203,Richland-Lerdo Union Elementary,1,3,4,6,61,1
38,1977,Babe,6.888889,995,1,1,0,66.0,36.0,MWR,7.90625,85,74,William Gallas,3,4948.868164,Victor Elementary,3,1,4,6,18,3
39,1979,Bob,1.666667,986,0,1,1,70.0,34.0,MWR,1.71875,85,78, Ryan Mendes,2,4890.986816,Millbrae Elementary,4,2,7,10,9,5
40,1979,David,1.722222,970,0,2,15,2700.0,34.0,MWR,1.5625,105,3100,Matthias Ostrzolek,4,5267.831055,Cucamonga Elementary,3,1,7,10,41,5
