chimpanzee,age,sex,hammer,nuts_opened,seconds,help
9,3,m,G,39,86.21002369311151,N
17,5,m,G,41,25.005856643772127,N
6,10,m,G,41,48.83786292015964,N
14,13,f,G,66,77.07966590986977,N
21,14,m,G,30,63.38365377175371,N
15,15,m,G,12,38.24446613642161,N
9,11,m,G,18,42.874571043943064,N
11,5,m,G,44,100.9400306788488,N
19,14,m,L,61,58.28637051039208,N
21,13,f,wood,41,52.56179356013021,N
5,6,m,G,68,82.18109568322708,y
6,13,m,G,66,49.04585356733719,N
3,13,m,G,33,80.93482472813348,N
3,7,m,wood,9,52.55280973139129,N
14,3,f,G,24,53.70037891575036,N
20,9,m,G,48,89.98709690038574,N
20,10,f,G,16,79.68519579396857,N
15,12,m,G,74,19.097591614734185,N
16,3,m,G,76,50.24002889286072,N
19,12,f,L,72,44.2115317207365,N
12,12,m,G,62,73.72099539432901,N
20,4,m,G,32,54.018925634489705,N
14,4,m,G,10,50.49463938123918,y
18,10,m,G,4,49.06857196200217,N
3,5,m,G,11,121.37392444592996,N
11,13,f,G,18,34.91118655413365,N
6,13,m,G,28,99.43394091878221,N
10,14,m,G,43,35.61583447545301,N
7,8,m,G,0,83.70925903930143,N
11,5,f,G,55,48.5114500282524,N
16,6,f,G,18,69.80778000948077,N
5,13,m,G,14,55.96089549112644,N
16,9,f,G,31,91.92862550928137,N
2,3,m,G,47,71.64398437008269,y
22,7,m,L,38,65.04315096079169,N
11,5,f,G,29,74.54940044559424,N
10,11,f,wood,48,83.37535677463842,N
14,11,m,G,60,29.72821492500357,y
8,5,m,Q,49,47.26357638084568,N
22,9,m,G,21,96.11021789069889,N
20,7,m,G,25,37.80246065689231,N
9,10,f,G,35,53.58231872952332,N
4,14,m,G,28,89.05088997536507,N
3,15,f,G,31,58.534768364203615,y
6,13,m,G,33,58.4884225801664,N
17,3,m,G,57,61.05449643735243,N
15,9,m,G,7,92.7215554271784,N
15,10,m,G,19,31.64224177002668,N
18,8,m,G,11,74.8795723030091,N
22,15,m,G,12,50.297575946286955,N
4,4,m,G,25,86.61589739689974,N
6,15,m,G,48,86.30392153150477,N
13,9,m,G,0,54.167026745524836,y
7,13,f,wood,10,58.97304124231978,N
10,12,m,G,72,42.47752059919083,N
11,16,m,G,8,72.17787173018459,N
1,15,m,G,42,67.26288083720009,N
14,6,m,G,76,112.48708897037321,N
5,5,m,G,4,70.56780425928491,N
8,8,m,G,54,78.63038465358635,N
20,12,f,G,4,69.62386625215395,y
21,12,m,G,21,64.9551506535177,N
13,7,m,Q,54,98.22780022146921,N
20,6,m,G,22,62.96044064300257,y
15,14,f,G,66,42.66306320204521,y
20,3,m,G,71,57.49453720592628,y
7,6,f,G,33,38.638174097027196,N
21,16,m,G,74,51.46370744847102,N
10,4,m,G,58,66.20747825845436,y
10,8,m,G,21,72.57737206224955,N
5,5,m,G,41,74.93890562525158,N
14,16,f,G,48,48.23546489761782,N
7,14,m,G,27,63.27305506192605,N
1,10,m,G,18,85.13244333272463,N
5,13,m,G,62,81.71178931518315,N
21,16,m,G,66,40.854465512345726,N
22,11,m,G,74,31.276434091519747,N
8,6,f,G,19,53.857835955098444,N
5,15,f,G,75,61.37991523153771,N
9,13,m,G,70,40.35681734331588,N
3,8,m,G,2,32.16548289985587,N
22,10,m,G,47,85.77906592381136,N
8,13,m,L,77,69.84235389241816,N
15,9,m,wood,34,74.86150899716654,N
