rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,player,religiousness,expenditure,school,persons,games,f_other,n_other,deny,occupation
1,yes,36,female,more,0.2899157,4.3,upper,yes,yes,24,43,1,Abel Aguilar,4,6384.911133,Sunol Glen Unified,1,2,9,13,0,1
2,no,59,male,more,-0.7377322,4.5,upper,yes,yes,17,20,2,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,13,0,4
3,no,51,male,more,-0.5719836,3.7,upper,yes,yes,55,55,3,Franck Tabanou,4,5501.95459,Thermalito Union Elementary,1,1,4,6,0,1
4,no,40,female,more,-0.6779634,4.3,upper,yes,yes,40,46,4,Joel Matip,3,7101.831055,Golden Feather Union Elementary,2,1,7,10,0,6
5,no,31,female,more,1.509794,4.4,upper,yes,yes,42,48,5, Pedro León,4,5235.987793,Palermo Union Elementary,1,11,3,5,0,6
6,no,62,male,more,0.5885687,4.2,upper,yes,yes,182,282,6,Thomas Müller,3,5580.146973,Burrel Union Elementary,4,4,3,5,1,1
7,no,33,female,more,-0.126001,4.0,upper,yes,yes,33,41,7,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,5,0,7
8,no,51,female,more,-0.2581899,3.4,upper,yes,yes,25,41,8,Jonathan Schmid,4,4565.746094,Vineland Elementary,4,1,7,10,0,5
9,no,33,female,more,0.1496926,4.5,upper,yes,yes,48,60,9,Gary Caldwell,3,5355.54834,Orange Center Elementary,3,2,4,6,0,5
10,no,47,male,more,0.540917,3.9,upper,yes,no,16,19,10,Peniel Mlapa,5,5036.211426,Del Paso Heights Elementary,1,1,3,5,0,5
11,yes,35,male,more,0.2316134,3.1,upper,no,yes,18,25,11,Tobias Steffen,4,4547.692383,Le Grand Union Elementary,4,1,3,5,0,3
12,no,37,male,more,-0.0666737,4.0,upper,yes,no,30,34,12,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,10,1,1
13,no,42,male,more,0.2168924,3.8,upper,yes,yes,28,40,13, Bodipo,2,6567.149414,Allensworth Elementary,3,1,9,13,0,5
14,no,49,male,more,-0.2586962,3.4,upper,no,yes,30,36,14,Stilian Petrov,3,4818.612793,Sunnyside Union Elementary,3,1,4,6,0,3
15,no,37,female,more,0.5502878,2.9,upper,yes,yes,23,28,15,Andrey Arshavin,3,5621.456055,Woodville Elementary,1,4,7,10,0,1
16,no,45,male,more,-0.0620358,4.5,upper,yes,yes,23,33,16,Abdou Dampha,4,6026.359863,Pixley Union Elementary,1,1,3,5,0,6
17,no,56,female,more,-0.9823852,4.0,upper,yes,no,27,41,17,Adam Johnson,4,6723.237793,Lost Hills Union Elementary,4,1,3,5,0,6
18,no,48,male,more,-0.054344,3.8,lower,yes,no,100,135,18,Gary Gardner,2,5589.885254,Buttonwillow Union Elementary,3,1,4,6,0,6
19,no,46,female,more,-0.0680143,4.3,upper,yes,yes,25,31,19,Tomáš Rosický,3,5064.615723,Lennox Elementary,2,3,3,5,1,3
20,no,57,female,more,0.0294137,3.4,upper,yes,no,17,28,20, Juanfran,4,5433.593262,Lamont Elementary,3,1,7,10,0,5
21,no,52,female,more,0.2394859,3.4,upper,yes,no,19,22,21,Phil Jagielka,1,5725.563477,Westmorland Union Elementary,4,22,3,5,1,1
22,yes,29,female,more,-0.8487269,3.3,upper,no,yes,19,26,22,Fabian Giefer,4,4542.10498,Pleasant View Elementary,4,1,9,13,0,4
23,no,62,male,more,-0.7330914,4.3,upper,yes,yes,30,39,23, Bueno,5,5107.086426,Wasco Union Elementary,2,1,3,5,0,6
24,no,64,male,more,-0.1111221,4.4,upper,yes,yes,15,24,24, Agirretxe,2,4659.661621,Alta Vista Elementary,2,10,7,10,1,5
25,no,34,female,more,1.775517,4.6,upper,yes,yes,20,26,25,Piotr Trochowski,1,4555.464355,Livingston Union Elementary,3,1,7,10,0,1
26,no,58,male,more,-0.3218485,4.2,upper,yes,yes,84,159,26,Eden Hazard,2,5415.152832,Woodlake Union Elementary,2,2,4,6,0,4
27,yes,52,male,more,0.2116939,4.0,upper,no,yes,13,16,27,André Schürrle,2,4997.871582,Alisal Union Elementary,4,1,9,13,0,5
28,no,73,male,more,-0.717645,3.3,upper,yes,yes,12,17,28,Jon Walters,3,5223.912109,Arvin Union Elementary,2,14,7,10,0,5
29,no,70,male,more,-0.7326927,4.4,upper,yes,yes,47,134,29,Beg Ferati,2,5139.164551,Terra Bella Union Elementary,1,5,4,6,0,6
30,no,41,female,more,0.4081676,2.3,upper,yes,yes,10,12,30,Shola Ameobi,4,4614.251953,Tipton Elementary,4,1,7,10,0,5
31,no,63,male,more,-0.0102077,3.5,upper,yes,no,28,43,31,Darron Gibson,1,5342.233398,San Ysidro Elementary,1,7,3,5,0,2
32,no,47,male,more,-0.923957,4.7,upper,yes,yes,10,15,32,Janek Sternberg,5,5347.458496,Soledad Unified,3,2,4,6,0,5
33,no,39,male,more,0.5766805,3.9,lower,yes,yes,86,246,33,Niklas Lomb,2,5036.458984,Mountain View Elementary,4,2,4,6,0,3
34,yes,47,female,more,-0.0836015,4.0,lower,yes,yes,21,21,34, Cristiano Ronaldo,2,5117.141602,King City Union Elementary,4,10,3,5,0,6
35,no,54,male,more,-1.079558,4.3,upper,yes,yes,15,15,35,Zoltán Gera,4,5117.039551,Ontario-Montclair Elementary,1,1,3,5,1,5
36,yes,44,female,more,1.040902,3.8,upper,yes,yes,30,55,36, Nélson,5,5272.191895,Los Nietos Elementary,2,3,3,5,1,6
37,yes,47,male,more,-1.052108,3.8,upper,yes,yes,20,27,37,Fabien Camus,2,5225.719238,Winton Elementary,2,9,3,5,0,6
38,no,62,male,more,-0.7277681,4.0,upper,yes,yes,12,13,38,Wesley Hoolahan,4,6516.533203,Raisin City Elementary,4,3,4,6,0,1
39,no,60,male,more,-0.3953965,4.6,upper,yes,yes,25,34,39,William Gallas,3,4559.176758,Ravenswood City Elementary,3,1,4,6,0,3
40,no,37,male,more,0.9333959,3.5,upper,yes,yes,15,17,40, Ryan Mendes,2,5119.158203,Richland-Lerdo Union Elementary,4,2,7,10,0,5
41,no,42,male,more,-0.2377786,4.7,upper,yes,yes,13,14,41,Matthias Ostrzolek,4,5338.185547,Oxnard Elementary,1,1,7,10,0,5
42,no,35,male,more,0.274908,4.2,upper,yes,yes,42,51,42,Liam Ridgewell,3,5090.044922,El Nido Elementary,4,3,7,10,0,5
43,no,39,female,more,1.970023,3.4,lower,yes,no,22,24,43,Javier Pinola,4,5485.496094,Fairfax Elementary,3,1,7,10,0,1
44,no,49,male,more,1.05095,3.9,upper,yes,yes,28,45,44,Florent Malouda,2,4793.370117,Delano Union Elementary,4,3,4,6,0,3
45,no,61,male,more,0.2418185,4.5,lower,yes,yes,22,27,45,Claudio Pizarro,2,5092.91748,Perris Elementary,4,1,3,5,0,6
46,no,33,male,more,1.349395,4.7,upper,yes,yes,30,31,46,Vegar Hedenstad,3,4359.520996,Valle Lindo Elementary,1,1,3,5,0,5
47,no,58,female,more,0.1115635,3.5,upper,yes,yes,26,34,47,Sebastian Larsson,3,5645.495605,Alum Rock Union Elementary,2,21,7,10,0,5
48,no,56,female,more,-0.2577254,3.7,upper,yes,yes,12,19,48,Hajime Hosogai,4,4518.016113,Edison Elementary,1,1,7,10,0,6
49,no,50,female,more,-0.6562689,4.0,lower,yes,no,22,27,49,David Fox,2,5864.366211,Bakersfield City Elementary,2,1,7,10,0,4
