rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
97,no,71,female,more,-0.048114464694299475,1.5460400192323815,upper,yes,yes,93,286,66
334,no,72,male,more,1.2832503586144253,1.0850331026520244,lower,yes,yes,355,330,74
410,no,44,female,more,1.3639864473342236,1.855188285323165,upper,yes,yes,297,384,71
97,no,46,male,more,1.9749232184639574,1.5620059862651188,lower,yes,yes,340,536,57
176,no,68,female,more,1.9865978103044664,0.7876326163568661,upper,yes,yes,328,508,17
96,no,41,male,more,3.370340028081908,1.349299603763326,upper,yes,yes,230,560,63
18,no,46,female,more,1.9060402345837417,1.1142699025660352,upper,yes,no,129,10,71
125,no,41,female,more,0.27876057946691857,0.8004340542660038,upper,yes,no,295,569,65
92,no,59,female,more,1.753231679456962,1.033378058032151,upper,yes,yes,99,541,13
296,no,41,female,more,1.8839876189978066,0.3817057896490905,upper,yes,yes,204,549,9
193,yes,33,male,more,0.60286679098983,1.7174091734827135,upper,no,yes,125,423,48
344,no,44,male,more,2.4543857877631856,0.840697560922534,lower,yes,yes,33,510,13
424,no,31,male,more,2.2784098177869363,2.365046792200714,lower,yes,yes,136,332,85
106,no,69,male,more,2.4490883743098264,1.1483910073425885,lower,yes,yes,122,455,21
110,yes,71,male,single,0.5436093907490209,1.7241991131411316,lower,yes,no,61,220,2
325,no,33,male,more,1.6603483241029318,0.012086934003726846,upper,yes,yes,360,514,31
193,no,42,male,more,2.0698934912450597,1.1322955296121497,upper,yes,yes,231,226,53
289,no,37,male,more,2.2376135516767834,1.3799813581215574,upper,yes,yes,306,114,44
53,no,30,female,more,1.3020402289122461,0.7322868420415422,upper,yes,yes,156,241,69
355,no,37,male,more,3.0290857056196017,2.1651317574465483,upper,yes,yes,300,552,55
196,no,61,female,more,2.3651434044586077,2.099572858679716,upper,yes,yes,262,382,28
212,yes,56,male,more,3.0656266396279888,0.8402083396187646,upper,yes,yes,138,393,94
306,no,49,male,more,1.8625948550982494,1.9665152935599035,lower,no,yes,149,478,39
170,no,63,male,more,0.622403177691409,1.4245944823367558,lower,yes,yes,369,119,10
205,no,57,female,more,0.5332598280739145,1.0235103545943232,upper,yes,no,129,44,17
124,no,73,male,more,1.8600373406825104,0.09681764308483354,lower,yes,yes,101,170,42
90,no,58,female,more,2.2708885428237773,1.3482968852808521,upper,yes,no,342,101,70
98,no,60,male,more,1.4921626968358308,1.564132623941724,lower,yes,yes,34,303,46
233,no,40,male,more,1.8250394379233592,0.9918071333223828,upper,yes,yes,96,26,8
359,no,50,female,more,1.313230085813942,1.7428351864856961,upper,yes,yes,25,563,43
128,no,60,male,more,1.1011172520356307,0.287264710299618,upper,yes,yes,24,457,5
370,no,61,male,more,1.8559645787556658,1.2190402480056357,upper,yes,yes,109,187,64
278,yes,33,female,more,1.4667197413180557,0.9771394805173077,upper,no,yes,81,342,76
138,yes,49,female,more,1.0778515020928379,1.9152186835464868,upper,yes,yes,323,278,18
303,no,61,male,more,3.0496796062413063,2.0495236218598936,upper,yes,yes,185,480,81
301,no,38,female,more,2.1868688086891437,0.9771959089400158,upper,yes,yes,179,387,38
92,no,39,female,more,2.814996460722449,2.047666440476485,lower,yes,no,225,427,87
193,no,50,male,more,0.9367544257413187,1.9091154559836438,upper,no,yes,80,319,17
347,no,70,female,more,0.6998794731474414,0.8444686785453496,upper,yes,no,99,290,86
401,no,52,female,more,1.925585035192149,1.4681055288102365,upper,yes,no,128,392,34
423,no,66,male,more,1.444075299658008,2.2601340066696682,lower,yes,yes,167,136,21
128,no,73,female,more,1.8614687454020582,1.3676129566757822,upper,yes,no,103,534,61
138,yes,72,female,more,1.9064322701445013,1.146362655434017,lower,yes,yes,183,377,67
46,no,53,male,more,1.1555013357143484,2.07265429999454,upper,yes,no,208,579,83
59,yes,70,female,more,1.9953152735097937,0.9862033219435845,lower,yes,yes,234,494,55
117,no,47,female,more,2.0035323869723602,2.4896651595708272,upper,yes,yes,166,174,30
261,no,72,male,single,1.0691043569784044,1.9335816746323888,lower,yes,yes,228,121,78
72,no,44,male,more,1.2552135279769714,1.5917746609964576,upper,yes,yes,286,268,43
354,yes,40,female,more,2.0490596797355307,1.5682586290274607,lower,yes,yes,161,213,92
197,no,48,female,more,0.44704644293490414,1.7978687249399692,upper,yes,yes,228,442,69
160,no,32,female,more,4.205533506377409,2.068397491955784,upper,yes,yes,63,118,71
406,no,43,male,more,2.618992436607933,0.9727931010063964,upper,yes,yes,135,21,23
148,no,63,male,more,0.6772060091722254,2.0903436328482865,upper,yes,no,308,124,42
129,no,54,female,more,0.5835562105048255,1.0573137229873741,upper,yes,no,256,263,5
44,no,60,male,more,1.2447215664903348,1.173775735222829,lower,yes,yes,88,569,42
307,no,50,female,more,0.9048545776261415,2.590676762862409,upper,yes,no,40,94,22
413,no,64,male,more,2.655006258688841,1.3830234877662273,upper,yes,yes,356,208,43
34,no,36,male,more,3.192079698414819,1.6460851034121047,lower,yes,yes,358,476,18
351,yes,56,female,more,2.7374089518212323,2.0024910127408,lower,yes,yes,14,62,13
378,no,39,male,more,1.3642772159183316,1.7898543534380342,upper,yes,yes,174,102,10
261,no,31,male,more,2.4907336940615927,1.0419094472123998,upper,no,yes,327,207,39
317,yes,60,female,more,1.1962544788022023,1.5534337241289116,upper,yes,yes,134,421,84
128,no,63,male,more,1.8288944795017694,1.15912849313053,upper,yes,yes,74,258,67
441,no,72,female,more,1.0417590676914368,2.7867866128216443,upper,yes,yes,10,119,88
221,no,72,female,more,1.2726572872329607,0.9826184883942466,upper,yes,yes,292,269,54
231,no,69,male,more,1.5804626408429354,1.9544717587928209,lower,yes,yes,275,369,53
348,no,34,female,more,1.1614395978374912,0.9559012496107402,lower,yes,yes,191,433,44
412,no,43,female,more,1.0313491397388352,1.7348318427138014,upper,no,yes,143,472,37
453,no,38,male,more,2.0608994076907434,0.7158040507537937,lower,yes,yes,89,126,47
454,no,57,male,more,1.12275655398293,1.1537023971293074,lower,yes,yes,358,231,12
314,no,44,female,more,1.058163202635575,1.7173281291942004,upper,no,yes,86,116,94
79,yes,40,female,more,2.730252149110894,1.4218661081268944,lower,yes,yes,368,472,46
354,no,29,male,more,0.7886583078622357,2.398768134573797,upper,yes,yes,376,506,43
341,no,59,male,more,2.358279942103443,1.834522310244999,lower,yes,no,34,477,38
285,no,37,male,more,0.9345939087576696,2.069106201510563,upper,yes,yes,207,22,11
156,no,34,male,more,1.901643422657166,1.8425400325527432,upper,yes,yes,134,61,23
187,no,56,male,single,2.0874019937544808,1.6230566210540371,lower,yes,no,334,94,84
172,no,37,male,more,1.9010061176717115,1.4141312243283686,lower,yes,yes,203,517,85
414,no,65,male,more,1.9667534103767499,1.260322108613279,upper,yes,yes,162,514,39
256,no,36,male,more,0.9204903085157158,1.7634016057729656,upper,yes,yes,250,498,37
66,no,71,male,more,1.9433341129605817,1.2454010653474805,lower,yes,yes,374,526,91
391,no,38,male,more,1.086023758938329,2.326805179783483,upper,yes,yes,354,394,87
311,no,38,male,more,2.4664224514043114,1.3393752891582749,lower,yes,yes,21,429,74
246,no,56,female,more,1.6217733828547172,1.5139548387837038,lower,yes,yes,104,275,21
399,no,60,female,more,1.7790905712074676,1.68160061973383,upper,yes,yes,86,368,6
79,yes,40,male,more,1.3469014518526206,1.198404061090876,upper,yes,yes,107,27,7
79,no,67,female,more,3.124270108129945,1.6784158513214513,upper,yes,yes,11,349,10
71,no,39,female,more,1.8011219730718582,1.3393762936328655,upper,yes,no,126,357,10
67,no,69,male,more,1.7729233318094262,1.7860077609090874,upper,yes,yes,251,578,1
453,yes,31,male,more,1.1157634658554167,2.199196507896251,upper,no,yes,263,324,53
