rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
927,6,female,18.594236861774384,9.428310112786995,no,4,18,5,1
4268,11,female,0.5969822373976363,1.106959368472281,yes,2,14,7,4
3407,10,male,32.60555898161033,14.96768933728163,yes,3,15,3,4
5830,7,male,16.212867838817537,7.152595851532678,yes,5,18,4,4
6814,0,female,19.33615307258984,11.368851419572085,yes,1,10,5,4
5938,1,female,27.797430890377015,10.881936482284143,no,2,13,7,2
8420,4,female,18.792961281284736,4.802633478507781,yes,5,17,5,1
2436,0,male,4.812593557271304,-1.1207485598888454,no,5,10,3,4
8779,2,female,24.461288873199887,9.505753383054465,no,2,9,7,4
5400,2,male,51.24834822437445,14.814545867409452,no,3,16,2,4
5751,11,female,30.34671039890964,10.061966018888159,no,3,19,2,5
7592,12,female,14.607689423903963,5.998094241649095,no,2,19,3,2
6205,5,male,21.197869947309606,14.30494879555609,yes,2,13,4,3
5458,5,male,11.56298546737296,2.19042195316168,yes,3,9,3,1
1075,8,female,12.588902330604608,6.861406768426329,yes,1,18,2,3
781,6,male,24.40358012046343,1.6976550308259526,yes,2,15,1,3
8992,2,female,13.430192062863355,11.103720108678003,yes,3,16,2,1
5284,12,male,7.562519799082228,5.737472419036743,yes,1,15,5,5
1485,4,male,-1.6929377814265472,3.4722633773751905,yes,1,13,7,1
6091,12,female,23.604587220864822,19.419303690640895,no,3,17,6,2
4986,10,female,17.82146510532106,11.825570482908159,yes,2,10,1,5
3058,1,male,17.791638094385206,8.627579735010906,yes,4,16,1,3
8082,8,female,7.589470234723665,10.895898052532019,yes,3,13,3,2
8460,11,male,1.6684069452579244,5.535026336721545,yes,1,14,4,1
4800,9,male,20.01787308640841,5.374753170626418,yes,1,14,5,5
4101,9,female,15.141653962261135,12.019057729628614,no,5,9,4,4
6724,5,male,18.670428394919075,19.525911074602554,yes,4,9,2,2
5474,6,male,19.091336156186827,10.9750916970545,yes,2,18,5,3
370,6,female,13.920182955459977,7.555879509694592,yes,4,19,5,3
4647,9,female,6.231077272962052,2.9891906344622914,no,5,11,5,3
4621,10,male,29.01514260836646,11.236324765153352,yes,1,9,5,3
4488,11,female,15.824005885205294,-6.8948639614064895,yes,4,12,4,3
1611,6,male,35.01120451780645,3.4538310642532153,yes,5,16,1,1
8338,1,female,20.795749307253057,17.741276276398178,yes,1,9,7,2
768,10,female,33.71630871155279,6.367619721142802,yes,2,19,6,4
4126,3,male,24.469519357559733,2.349192102239427,yes,1,11,4,4
3437,11,female,28.768154345089304,-0.18867148249509125,yes,5,19,3,1
5690,0,female,8.62891311703907,4.437676531636502,yes,2,18,4,3
4562,8,female,-2.5253299739816235,6.487625404019373,yes,4,12,2,3
5168,2,female,16.310181896800422,11.57375235197597,no,5,9,1,2
4106,6,female,18.08269168896743,0.2971304933239809,yes,2,19,4,1
8717,5,male,30.99974016232356,-0.6006070407983319,yes,1,17,2,1
8275,0,female,27.215935609845758,2.367988513993966,no,3,11,2,3
857,3,female,10.584372768580565,7.1992935114928445,yes,4,14,3,4
8013,6,male,36.84557546203658,7.783345531523464,yes,2,19,3,3
3635,7,female,15.967285762932258,-2.6160046536356756,no,3,16,2,4
1705,12,female,19.38927249769877,7.899395833361683,yes,4,19,7,3
356,3,male,10.453092492659398,3.3117588784208447,no,1,13,1,3
1297,5,female,36.634970620958676,14.745490306429543,no,1,18,2,3
5342,8,female,16.454094518762755,12.704085607567109,yes,1,19,1,5
8063,11,male,5.825824591005524,1.2125407217669304,yes,3,18,3,5
6928,3,female,27.85677890868854,-2.711557036678151,yes,5,19,2,4
5214,7,female,20.17650034619931,13.448621030724421,yes,5,20,3,1
4064,7,female,6.745813347626537,1.8202867863587615,yes,2,10,5,3
6829,0,male,20.43497979297284,1.5729286472971964,yes,2,9,6,2
8293,11,male,29.260866916519873,14.664892293199628,yes,1,16,7,5
1046,6,female,20.294714709534976,14.21620048449542,no,1,18,4,5
5253,4,male,27.88769195588639,7.470112484836347,yes,1,20,2,4
8266,7,female,22.10569558556656,4.936607870777232,no,5,15,7,4
5706,8,female,38.36008815552808,11.721794295073138,no,1,20,4,4
4194,6,female,8.347748723338304,13.58296560494469,no,5,19,3,1
383,12,female,29.84200997332037,4.732466690035579,yes,5,17,2,4
6376,5,female,15.633582941487003,5.309161929713657,yes,3,15,5,3
2572,0,male,4.329286403720749,5.6814675484023605,yes,3,15,3,4
504,7,female,53.87420964858826,6.588285656553436,yes,1,12,4,4
8076,3,female,38.96953950424397,4.990350524508429,yes,3,20,2,5
1995,6,male,28.430551082025808,5.830180692901582,yes,5,15,5,1
7011,4,female,17.00082090665396,11.41685469159069,yes,2,10,7,4
5056,10,male,17.352798025490955,11.327753472718353,yes,5,17,1,5
7212,0,female,5.943770184006937,5.810634043921163,yes,1,15,7,5
5673,4,male,22.578636327762627,17.866404222916895,yes,3,14,2,3
3920,1,male,25.675822399979868,0.7622758463338295,no,3,20,6,4
4604,12,female,24.363577545497243,14.53153257104171,yes,1,17,3,1
1404,11,male,15.249238363810857,13.224822629820256,yes,1,11,5,4
8709,7,male,9.587575218434607,1.2408007989099437,no,5,19,5,4
984,6,female,14.916490901842092,6.180776049703702,yes,3,14,1,5
3628,5,male,9.540111797209372,0.9568711387006719,yes,1,20,4,4
1983,0,male,24.893863017290265,13.61427227115297,no,1,17,6,4
637,1,male,40.15344867759191,3.8960069206981047,yes,2,20,6,5
6675,0,female,22.628858212021644,7.011767496138801,yes,2,14,1,4
1946,1,female,11.738906564531058,6.033075205774396,no,2,16,3,1
5374,10,male,13.288121669696348,2.456853881859292,yes,4,10,5,1
8107,5,female,12.956239685035586,1.9669016257360319,yes,1,20,6,1
7406,11,female,29.770242821339085,13.749042901746918,no,5,18,5,1
3941,3,male,15.013243629111921,11.626009932875263,no,2,10,7,2
6517,1,female,33.17859448116636,8.061466846800645,yes,3,16,2,4
4460,7,female,17.237679967075067,9.282554244549049,yes,5,13,1,3
7150,3,male,31.0991076279404,9.444868371036605,no,2,9,3,5
6436,3,female,21.591036657650378,9.85819464482835,yes,1,16,6,3
3827,6,female,25.220979009210964,7.072232575356429,no,1,9,4,5
3561,12,male,10.000572989434012,3.6973384013862307,yes,2,10,1,4
1371,5,female,5.129329275209717,10.817640229347994,yes,3,20,6,2
3419,5,female,2.4347579272145197,-5.8023114140806555,yes,3,12,3,3
5303,11,male,20.85402396423263,11.430542084111837,yes,5,17,1,4
709,10,female,-3.2464538086941026,10.99094655893522,yes,1,14,2,4
764,10,female,23.057679185023677,10.725818791543308,yes,2,15,2,1
1395,2,female,37.34973479709903,4.844352307567693,no,1,17,1,2
4874,4,female,-1.701978223780916,11.682954245988991,yes,4,11,4,1
3886,0,female,19.86654680835558,0.6068647136976342,yes,5,20,6,2
3438,2,male,13.162637979146439,0.04492994595949984,yes,5,13,4,4
8455,5,male,29.813870569399356,1.6864677463319628,yes,5,19,4,4
3575,10,female,12.001050545191333,13.517893164341363,yes,4,18,5,5
4711,11,male,20.908726556196406,-5.3166698152867955,yes,4,20,5,4
4415,12,male,10.744133536368217,0.500511301736287,no,2,15,2,2
7895,10,female,16.846195599044318,5.150475577641435,yes,1,9,5,3
4921,5,male,37.973067583522194,0.12536064086743082,yes,3,15,3,1
2031,1,male,34.69580222469591,10.127255885629399,yes,1,11,1,3
4886,10,female,30.688524311735513,16.583860394278645,no,5,9,6,1
8175,1,male,25.73950351460647,5.770920202776194,yes,1,10,7,1
