tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,10,14,22.81412143568276,14.302664801834993,0.38014958074910554,Homo sapiens,Chucki
Posterior,IPHA.2,1,8,26.229597170295104,10.284029518903878,0.17491916753367304,Homo sapiens,Afalou
Anterior,NMNH380466,3,12,20.778770484014252,11.137018793090462,-0.05317575943166275,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,9,11,24.557371527230206,19.274843646750362,0.2811684229589585,Homo sapiens,Chucki
Premolar,MH4765,11,6,19.865621042937086,11.855309419518125,0.6980892468175418,Homo sapiens,Australian aboriginie
Premolar,MH22283,2,3,25.230255629608962,4.337749119216898,0.7204301031964191,Homo sapiens,Sami
Posterior,AMNH99.1/99,4,7,35.79585374916849,16.1288523519353,0.9608511396916044,Homo sapiens,Alaska
Posterior,BRK126107,1,7,57.774763178342496,18.741913874674722,0.28130062060431343,Homo sapiens,Native Californian
Posterior,NMNH344711,4,4,15.143098378595333,14.978794309498388,0.4154741159806113,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,1,13,51.24704160371225,19.262030742224688,0.4078085199999688,Pongo,Borneo
Anterior,AMNH99.1/86-D,2,4,32.95177204411298,15.870753966976356,0.6181532709073929,Homo sapiens,Alaska
Anterior,UVS38,12,3,41.117777919029805,13.71119300714379,0.5244559273506705,Homo sapiens,Khoi-San
Anterior,NMNH225028,11,5,31.044990589088393,10.525644725449775,-0.061173002952161104,Homo sapiens,Chucki
Anterior,IPHA.29,8,14,31.91670434625938,13.22946736840818,-0.1955901178173357,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,1,6,38.5114630607627,21.239135054942388,0.16664746410615205,Pongo,Borneo
Premolar,UCD2(2)b,6,10,30.35712650168954,10.531029773762029,0.005916005882005526,Homo sapiens,Native Californian
Anterior,HTB2027,6,4,29.44908333819857,17.27304341737973,0.2589875774102829,Pan,Ebolwa
Posterior,BM1976.1430,12,2,34.44031275582056,16.97563766374357,0.8116042562049031,Pongo,Borneo
Premolar,UVS62,10,7,12.90895875793317,17.851609207189373,0.6543998743660081,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,2,8,29.67371957090977,19.530454319781057,0.47249647944311407,Pan,West Africa
Posterior,BRK125598,8,11,29.941536286171882,22.805181180397128,0.32032908308688596,Homo sapiens,Native Californian
Premolar,NMNH329778,9,14,30.150982608199666,11.925609481239192,0.7746219872754305,Homo sapiens,Australian aboriginie
Anterior,MH12328,11,12,15.767923753997875,20.235600959694438,0.7310196540099186,Homo sapiens,Chucki
Anterior,BM1939.1021,2,7,23.350670864789564,17.277414157535002,0.7206133323340203,Papio,West Africa
Posterior,NMNH278710,7,13,37.191859013225226,11.210368293224173,0.5563834485152963,Homo sapiens,Buriat
Anterior,BRK126100,9,8,27.326976210871024,14.430428802786706,1.2025750403640223,Homo sapiens,Native Californian
Posterior,UCD2(6)b,2,12,13.677227747137952,18.962931567300195,0.42251109350849336,Homo sapiens,Native Californian
Anterior,AMNH99.1/109,12,8,30.34524767936534,21.926143293757153,0.6814270442791808,Homo sapiens,Alaska
Anterior,BM1935.2.14.1,5,10,10.82155276765489,12.815084244725767,0.06831607005061818,Papio,East Africa
Premolar,HTB1890,8,9,21.521900230255433,13.934396714892944,0.6114430242936857,Pan,French Cameroons
Anterior,IPHA.15,1,10,47.700001775985314,16.804312383101433,0.8449133092437833,Homo sapiens,Afalou
Anterior,BRK126118,0,9,25.917223702549485,19.5628219027267,0.6208483015973938,Homo sapiens,Native Californian
Posterior,MH4459,10,13,1.074512149606452,12.701753360447562,0.0384305497561383,Homo sapiens,Australian aboriginie
Anterior,BRK126259,12,7,19.98004068899712,11.415886150531371,0.40035817629014964,Homo sapiens,Native Californian
Premolar,HTB1726,3,3,44.01955588720791,14.893636788925269,0.3289617163173859,Pan,Ebolwa
Premolar,MH1525,4,14,16.471041285957234,9.535874806621768,0.6101609559799094,Homo sapiens,Australian aboriginie
Anterior,BM1908.8.9.41,10,2,28.640215796237555,12.432548029550848,0.3623535075533586,Papio,East Africa
Premolar,MH12328,8,6,52.718146981666806,18.0447468937655,0.6571585475965895,Homo sapiens,Chucki
Posterior,HTB1721,5,9,16.672566296703287,11.865569376085876,0.4461032453365019,Pan,Ebolwa
Premolar,MH12328,11,9,40.71048062926285,15.172957767396952,0.5325152019042827,Homo sapiens,Chucki
Anterior,BRK126768,1,11,27.23471061950489,17.102923416647116,0.4360481901301947,Homo sapiens,Native Californian
Anterior,NMNH380431,1,3,54.630920442983935,13.367841106010598,1.176256518393638,Homo sapiens,Australian aboriginie
Premolar,HTB3538,7,13,27.286245275156773,19.23608319489784,0.7464581906661475,Pan,West Africa
Posterior,NMNH258483,3,8,18.63896346908313,11.090619242304207,0.36728347773375025,Homo sapiens,Australian aboriginie
Anterior,HTB1226,2,5,21.178520362660983,11.044844835832883,0.578844917691096,Papio,East Africa
Premolar,AMNH99.1/107,6,5,30.96881477209269,18.35398752466342,0.6746031174766933,Homo sapiens,Alaska
Premolar,HTB3552,0,7,29.924942740157157,10.104024761298195,0.4432542008612442,Pan,West Africa
Posterior,BM1902.9.9.3,6,5,23.697903554016058,6.183606524838126,0.36884169105574,Papio,East Africa
Anterior,PMN1389,2,11,42.725312125400976,12.678921205937467,0.11942964001942458,Homo sapiens,Australian aboriginie
Anterior,BRK125610,6,7,27.813685562995516,13.035934349900137,0.6741825154541303,Homo sapiens,Native Californian
Premolar,HTB1151,0,5,30.990445618045953,16.97663967534998,0.07991157917223579,Papio,East Africa
Anterior,BM1976.1421,11,10,19.16125824522628,19.12853631366514,0.7990089797536128,Pongo,Borneo
Posterior,AMNH99.1/104,3,2,9.360709641514937,12.11936055460401,0.21732193308832537,Homo sapiens,Alaska
Posterior,BM1931.4.1.1,12,11,30.533039111367298,16.337067533626545,0.5301191344075606,Papio,East Africa
Posterior,HTB2033,7,12,31.380607108411603,17.111702634147495,0.246677031976547,Pan,Ebolwa
Anterior,UVS125,3,10,39.04781094313009,16.657344949832105,0.638802016763417,Homo sapiens,Khoi-San
Premolar,BRK126768,6,8,31.83683999116708,14.819641208543956,0.11017254963915529,Homo sapiens,Native Californian
Premolar,IPHA.48,2,14,32.35030486667375,8.94368027271323,0.5637657213609266,Homo sapiens,Afalou
Anterior,UVS119,12,8,23.82205634159984,12.238897811550093,0.4961756029048283,Homo sapiens,Khoi-San
Posterior,AMNH99.1/87,12,9,20.36487703989514,12.401402045977377,0.5793020600362113,Homo sapiens,Alaska
Anterior,UVS3,1,2,16.98700505267663,12.637521052883718,0.9083221128481266,Homo sapiens,Khoi-San
Anterior,MH12328,8,2,28.192888918741385,16.67461823609964,1.179157346723532,Homo sapiens,Chucki
Posterior,BRK126256,6,11,40.7634810158498,17.496757527723915,0.49728376195565027,Homo sapiens,Native Californian
Anterior,HTB2033,2,14,44.55659990519692,17.305509738973203,0.24933193691204325,Pan,Ebolwa
Posterior,AMNH99.1/160,12,11,28.522790672565904,15.974328270551812,0.7666952238634412,Homo sapiens,Alaska
Posterior,BM1913.10.18.2,2,5,25.744605416569946,11.703087172324382,0.531037563098813,Papio,East Africa
Premolar,MH5327,0,8,29.128078785060538,12.474130032776166,0.39692082477707913,Homo sapiens,Australian aboriginie
Anterior,UVS49,5,13,23.018338142953667,16.120713130964734,1.0660486826569064,Homo sapiens,Khoi-San or bushman half-caste
Posterior,MH20914,9,6,44.73194023044206,14.876524041802691,0.14621477939824395,Homo sapiens,Yaghan
Anterior,MH20913,4,13,34.92914352401925,13.601682049097942,0.16484749007104993,Homo sapiens,Yaghan
Premolar,UVS49,10,2,30.171064742090426,16.61041145637208,0.7145908085238613,Homo sapiens,Khoi-San or bushman half-caste
Anterior,BRK126773,6,3,19.686941739694042,14.543113076020683,0.20848576083900022,Homo sapiens,Native Californian
Anterior,NMNH225032,6,5,30.051893896338257,6.086353873673485,0.40759286939366735,Homo sapiens,Chucki
Premolar,HTB1735,4,3,26.917722341858855,16.011930042955342,0.13781180333395965,Pan,Ebolwa
Premolar,BRK125670,7,5,19.82529672655086,13.6573050539386,0.1510162390823746,Homo sapiens,Native Californian
Premolar,HTB1768,10,7,23.515193393954355,17.280907123054554,0.6104201943730938,Pan,Ebolwa
Premolar,BM1902.11.22.1,3,10,18.51049404518826,11.638902306368811,0.7161559438154149,Papio,Arabia
Anterior,BM1911.12.1.1,2,13,43.91788773447926,13.00543526123709,0.2977164796519258,Papio,East Africa
