tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,8,2,27.984581231519233,18.153558977590297,0.34313819626286957,Homo sapiens,Chucki
Posterior,IPHA.2,12,12,35.70513191778516,18.428809363529666,0.1288210483457744,Homo sapiens,Afalou
Anterior,NMNH380466,11,9,25.336121539970662,11.912295570180904,1.1316631476048273,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,11,10,31.793723234317422,13.299131803930788,0.7698274542183718,Homo sapiens,Chucki
Premolar,MH4765,5,2,41.29509287024867,13.89952409610982,0.5331449148225879,Homo sapiens,Australian aboriginie
Premolar,MH22283,7,4,11.167960996872374,17.279866360343334,0.5457152743944281,Homo sapiens,Sami
Posterior,AMNH99.1/99,6,11,21.82459018831615,19.229452611584666,1.116670437456479,Homo sapiens,Alaska
Posterior,BRK126107,4,13,41.31888902222174,14.588810277073504,0.017288579054288933,Homo sapiens,Native Californian
Posterior,NMNH344711,5,10,-2.850316263211692,14.503025620803793,0.5436249582627063,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,9,11,19.628283412563565,13.154362187721487,0.07857886424785776,Pongo,Borneo
Anterior,AMNH99.1/86-D,11,14,37.58881450833702,17.756461425288176,0.379583805435995,Homo sapiens,Alaska
Anterior,UVS38,11,14,32.27955135057998,15.805285342318658,0.376585368317882,Homo sapiens,Khoi-San
Anterior,NMNH225028,8,5,48.726202272792236,12.322480304700038,0.3497958799493366,Homo sapiens,Chucki
Anterior,IPHA.29,1,7,21.559037453162162,16.7323004807305,0.2939690159909141,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,9,14,33.81526250550698,22.019569596919613,0.41480564574812345,Pongo,Borneo
Premolar,UCD2(2)b,11,13,49.91859801696423,11.858149390476122,0.09874657777267909,Homo sapiens,Native Californian
Anterior,HTB2027,9,13,29.264568783068245,15.358865555204895,0.1910336027238007,Pan,Ebolwa
Posterior,BM1976.1430,5,11,22.422379479586084,18.514632365154085,0.3143191976180729,Pongo,Borneo
Premolar,UVS62,2,6,26.94860611051088,15.102127658512684,0.5432009447436391,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,9,13,19.335354101926136,13.922018200297245,1.0638774499631198,Pan,West Africa
Posterior,BRK125598,9,9,20.592566336612155,15.639835754003311,0.5420547832789994,Homo sapiens,Native Californian
Premolar,NMNH329778,6,11,19.936868495970128,15.379529656134434,0.6059025891071057,Homo sapiens,Australian aboriginie
Anterior,MH12328,12,13,46.19923380458272,8.149672076064377,0.8559573536809466,Homo sapiens,Chucki
Anterior,BM1939.1021,11,12,30.669169981828826,15.511689248897651,0.5808870303972477,Papio,West Africa
