rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
211,71894,Brittan Elementary,Sutter,KK-08,17763,455.29660752626575,37.25942783010154,74.0964386921875,1396,2161.843290086225,33.707811398172375,38.878179137490655,49.111924138013244,62.20292224110415
59,72093,Placer Hills Union Elementary,Placer,KK-08,19378,670.6265931896656,23.880642233753,39.619667937564955,1711,1779.048733853652,18.084404168048493,59.532808390790805,51.48799458544242,34.98209476653011
205,66295,Susanville Elementary,Lassen,KK-08,13395,1038.5698249065954,31.126209808585646,58.4846060547007,2848,1550.5757360015384,16.476405720577937,-1.6476843591377914,55.63596282779142,58.6810081814093
88,68753,Palmdale Elementary,Los Angeles,KK-08,17470,874.8574471357254,31.973454601498396,90.979193060161,882,3196.0856591899724,35.00005863178927,14.103782095110649,68.71737743972297,60.39357612119031
148,62330,Keppel Union Elementary,Los Angeles,KK-08,23295,978.188688889765,42.367351346495916,18.144506170379238,3216,445.65139795691084,15.974395337809147,72.98188045220355,53.725648729107206,34.69978295269064
263,67363,Magnolia Union Elementary,Imperial,KK-08,20435,616.9673052179105,36.59598963577445,41.3242954941387,353,1661.2617530303708,26.46026368627242,67.44925964185771,7.27134627305513,46.0914376390563
38,67656,Westmorland Union Elementary,Imperial,KK-08,17417,691.8122201314294,41.05638781704524,54.69450127179514,993,1893.9409055871047,27.431216910554717,43.939658542858155,51.51971899036449,80.02882979358026
218,64646,Brittan Elementary,Sutter,KK-08,3921,741.6512155060599,12.483031066621663,38.53247394324977,2736,1828.7943933720655,32.491407544279404,33.26603593638824,41.530432838315676,53.761951399649114
77,64494,Exeter Union Elementary,Tulare,KK-08,5339,546.8615991860963,31.167460824571364,63.344795591175696,651,1910.333588535574,31.68128540197597,67.68613140790498,62.40411177142674,71.25674720272585
283,72814,Nuestro Elementary,Sutter,KK-08,25243,793.9839387446218,32.789747699662946,75.27047401607466,906,1832.0208843800679,23.86803252135644,43.671512669602734,50.25623866885928,56.966243767911145
267,72550,Lowell Joint Elementary,Los Angeles,KK-08,20502,233.3762743464021,25.744074738756908,49.94399476662717,1888,948.3402186907813,20.40614144018707,57.29510502488214,44.55202231023796,45.140951352207594
9,75360,El Monte City Elementary,Los Angeles,KK-08,13530,800.5086380493394,30.87791371049698,16.805129051013125,2220,1760.5917805430254,19.574364503133697,50.99149933544445,19.998408245243677,16.036039095841787
223,65540,Nevada City Elementary,Nevada,KK-08,5911,681.696033593349,42.3135778504553,-4.574623459209583,967,1596.1606866647762,14.099373684267887,31.64126333298487,20.67112894189329,25.025588774906463
190,64968,Little Lake City Elementary,Los Angeles,KK-08,9227,586.9935916870503,6.0466970150323505,36.56551352507211,2071,1699.8038533271447,34.535975269379065,49.58903963660376,52.67582258129683,51.950216787459546
244,62593,Rescue Union Elementary,El Dorado,KK-08,2713,900.5689161057044,41.25966743300473,64.6355329046446,990,1965.441739321737,26.784101970890426,48.07438054467028,46.35680748155561,38.34832840842947
320,65038,New Jerusalem Elementary,San Joaquin,KK-08,19418,606.9183936496839,29.62973093920656,48.98566362159994,520,2100.3833029915995,26.233175529312163,74.7355489236191,44.823200050055284,14.443647724262554
277,74290,Big Springs Union Elementary,Siskiyou,KK-08,1490,777.920138499491,42.46418859583645,37.99519356235345,437,2224.4064608198064,27.125259102407938,68.21114792253901,53.5153619685029,50.92610831347879
26,75004,Reeds Creek Elementary,Tehama,KK-08,14292,781.8375204995926,34.05347273552124,55.06120912164393,209,2146.6469466900617,34.97768580344227,48.68060799515237,52.010158200133546,112.7437474542269
371,67768,Gravenstein Union Elementary,Sonoma,KK-08,9268,952.0705362336608,32.00425472343222,-6.703956895618866,2886,1747.2580246712248,22.581940856430617,37.778791589059686,52.864301034683706,27.74604669829282
59,66241,Sundale Union Elementary,Tulare,KK-08,10263,839.321190799455,43.0407738149005,37.16947075515078,677,1184.183958136147,17.649997917615394,31.82555135369106,71.7842148018206,24.719761188282146
287,67436,Rocklin Unified,Placer,KK-08,4924,464.65613129362237,30.37429286427095,56.74114980385288,2012,2177.3188878469155,40.230914521340274,44.00425565905987,65.30729941376771,52.8116585628614
132,65664,Portola Valley Elementary,San Mateo,KK-08,4609,816.4357536343269,45.861608375937685,14.276997244322025,1817,343.1958183657505,23.234785066549925,33.53496445427164,47.99280579162305,62.58894991174711
303,65245,Foresthill Union Elementary,Placer,KK-08,14496,740.2201027109527,52.663693772615694,39.459162029810685,1493,1929.4945240625466,34.94923772871596,61.63220322212197,63.983731027379896,22.42570684689499
38,68595,Knights Ferry Elementary,Stanislaus,KK-08,18150,597.5825428286743,32.72337022066293,42.54919972295323,9,1369.4641589914108,16.13601238112226,72.79348116702053,59.19200750621963,45.641138709079634
31,75355,Cinnabar Elementary,Sonoma,KK-06,6394,559.167444702683,34.45209770545212,72.80124818702491,2093,2121.535914074019,34.666501519672934,34.689133647375925,83.6242890423492,58.048110239409596
374,66571,Forestville Union Elementary,Sonoma,KK-08,5135,938.4793610317536,40.297162891800454,16.042646700978615,1032,1179.1995620490966,33.388694106144,32.64527658601075,19.589747445258276,53.24358777940067
181,65282,Black Butte Union Elementary,Shasta,KK-08,14207,564.0243928531809,43.34997865058708,60.69663573739997,1115,2151.1107747800443,12.463837730657454,42.92682351117384,69.66100763312517,49.43227347494064
2,62279,Pleasant Valley Elementary,Ventura,KK-08,5428,631.0188017539389,44.9660967772673,64.65477686104188,471,2370.11013231301,21.093542796983705,43.42498068521967,45.43955236904637,61.635068705330156
227,65354,Pleasant View Elementary,Tulare,KK-08,10285,564.8783084827187,17.916684058694102,53.60978453231282,1670,577.5284123085546,34.476096927621,76.99544268687355,46.052235753284,79.52166174648193
200,69021,Buellton Union Elementary,Santa Barbara,KK-08,13150,610.4875004613484,42.47752359643902,117.72369675838489,1692,1271.8457435083014,28.84988429088743,53.48175338557422,24.598033543108436,18.158845281825755
48,66623,Campbell Union Elementary,Santa Clara,KK-08,4847,790.1789054091051,36.47773648626733,69.83581576744648,2762,2702.8449046031806,35.475065131640875,59.5252605566446,45.395081668206295,39.28402417178711
1,75239,Gold Trail Union Elementary,El Dorado,KK-08,6245,652.9284973540664,33.48820976214947,16.501080110148273,1352,1753.032924980986,23.13259208682424,39.4746110721498,52.64573007044353,38.34639258984018
369,75066,Bakersfield City Elementary,Kern,KK-08,4160,751.896488316883,41.716116239059154,50.73277851312528,1931,1857.87417347655,21.195464884820915,26.16005064858678,38.15572172687442,44.874164467599336
371,62303,Santa Rita Union Elementary,Monterey,KK-08,19246,692.4906005160451,38.523954579814465,70.99929438326733,949,2507.917540365215,20.928564536996394,21.358552108593603,68.90749957404688,52.64249453659869
263,62445,Savanna Elementary,Orange,KK-06,7304,539.2943573559259,35.53461788413346,74.55640996080524,2889,1775.3577709905069,20.945219220550936,47.105264289917855,50.74044890666576,98.97172499502273
411,72356,Janesville Union Elementary,Lassen,KK-08,9007,966.2639339935674,19.22656586785772,79.52263981010628,2759,1024.6469801043854,22.441332339503795,20.330711382746177,51.059521884158656,34.16841105946766
348,73099,Susanville Elementary,Lassen,KK-08,18869,710.846340712988,41.365050164175834,25.155626075202743,2940,729.1151149944758,29.166493919240022,53.22093812670087,19.254542739354836,59.67039634002158
84,69055,Shaffer Union Elementary,Lassen,KK-08,18144,376.11380468096934,42.62028695910748,47.58397653724664,2214,1661.4336535254881,15.095414636090931,16.976281519725923,47.78548762414327,54.27363116903371
227,70364,Weed Union Elementary,Siskiyou,KK-08,11306,625.9178044252545,25.207759654044562,57.43686904084156,2447,2220.777910341878,15.311349857497897,32.918031312617096,25.444030638367284,66.3578745203339
