focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
1,3,5,1,343,247,13,8,4,2,4,3
6,6,8,1,160,563,9,13,3,2,3,8
5,2,3,1,141,753,7,9,3,2,5,9
5,2,4,0,569,397,8,12,3,2,5,4
1,1,5,1,351,766,6,9,4,2,3,8
4,4,1,1,428,110,7,7,4,2,6,8
6,3,8,0,541,523,11,10,3,4,5,4
6,6,1,0,534,762,5,12,4,3,7,3
6,5,1,1,361,167,7,7,2,2,7,5
3,4,1,1,588,731,11,5,2,3,4,9
2,3,7,0,419,673,11,9,2,4,9,9
5,1,8,0,741,847,8,8,2,3,9,3
4,5,8,0,736,591,12,7,2,4,6,7
2,6,8,0,267,498,10,5,4,3,7,6
6,1,3,1,327,438,9,6,4,2,8,3
1,5,1,1,671,676,11,9,2,3,3,8
5,3,7,0,674,609,6,12,4,3,4,5
3,4,3,1,135,397,7,6,3,4,4,9
5,2,4,1,297,507,9,13,2,2,4,9
6,2,4,1,251,477,12,13,3,3,5,9
4,5,6,0,404,486,6,5,3,2,5,8
3,4,2,0,168,298,10,8,3,3,8,6
4,1,4,1,498,697,7,5,2,3,4,7
1,6,7,1,224,715,6,13,4,3,3,9
5,3,1,0,225,685,12,13,3,2,6,7
3,5,6,1,367,154,13,10,4,2,5,4
6,4,4,1,99,542,11,11,3,4,3,8
4,6,6,1,141,419,13,9,3,4,8,3
4,3,4,1,530,716,10,7,2,2,4,7
5,1,8,0,650,498,7,10,3,4,9,7
3,3,7,1,620,694,12,10,4,3,7,5
1,6,7,1,167,590,7,10,4,3,4,5
6,6,7,0,223,550,9,10,3,4,5,4
2,5,2,0,296,148,10,13,3,4,3,3
4,5,7,0,241,420,5,6,3,3,3,9
3,2,5,0,611,525,8,8,4,2,6,7
6,2,2,0,626,510,12,11,2,3,3,7
6,4,2,0,536,389,7,6,4,4,9,4
4,4,4,1,335,671,8,11,2,3,6,3
1,1,1,0,611,569,9,10,4,3,8,8
6,4,8,1,475,787,10,13,4,4,9,9
1,4,2,1,578,771,11,12,4,4,3,5
2,4,4,1,258,785,6,6,3,2,8,5
5,6,5,1,246,510,11,10,3,3,7,5
1,2,4,1,225,330,5,8,3,2,3,8
5,3,7,1,508,350,10,12,2,2,6,4
4,6,4,1,502,122,10,12,3,4,9,5
3,1,3,1,733,496,13,5,3,4,7,8
6,4,5,1,434,222,11,7,3,4,3,5
4,1,3,0,154,641,8,6,4,3,7,5
5,4,4,1,736,110,13,9,2,2,5,9
2,5,2,1,339,585,11,12,4,2,3,6
6,4,4,0,455,735,6,10,3,2,3,5
2,1,2,1,365,706,7,6,3,2,3,8
6,3,7,1,522,710,9,12,3,3,9,8
5,6,8,0,734,578,10,8,4,3,8,8
2,4,2,0,258,831,10,13,2,4,5,4
1,1,4,1,268,822,7,6,3,2,8,3
