fish_caught,livebait,camper,persons,child,hours,player,religiousness,year,lunch,county,games,f_other,chimpanzee,n_other,age
0,0,0,1,0,21.124,Abel Aguilar,4,1950,65.91500092,San Diego,2,9,11,13,70
0,1,1,1,0,5.732,Jérôme Boateng,4,1950,44.68090057,Tehama,1,9,11,13,63
0,1,0,1,0,1.323,Franck Tabanou,4,1952,59.13040161,Humboldt,1,4,18,6,37
0,1,1,2,1,0.548,Joel Matip,3,1953,27.71319962,Ventura,1,7,18,10,73
1,1,0,1,0,1.695, Pedro León,4,1953,1.503800035,Santa Clara,11,3,18,5,51
0,1,1,4,2,0.493,Thomas Müller,3,1954,77.0089035,Merced,4,3,11,5,64
0,1,0,3,1,0.033,Robin Knoche,2,1954,57.07220078,Stanislaus,2,3,11,5,33
0,1,0,4,3,0.004,Jonathan Schmid,4,1954,45.81819916,San Joaquin,1,7,17,10,58
0,0,1,3,2,0.217,Gary Caldwell,3,1955,81.50650024,San Diego,2,4,7,6,32
1,1,1,1,0,4.031,Peniel Mlapa,5,1955,83.11930084,Kings,1,3,1,5,43
0,1,0,4,1,0.145,Tobias Steffen,4,1955,76.79319763,Kern,1,3,22,5,60
0,1,1,3,2,0.084,Martin Stranzl,4,1956,66.94920349,San Mateo,2,7,9,10,38
1,0,0,3,0,4.91, Bodipo,2,1957,11.04290009,Placer,1,9,9,13,38
2,1,0,3,0,2.292,Stilian Petrov,3,1958,46.04320145,Sacramento,1,4,9,6,51
0,1,1,1,0,16.787,Andrey Arshavin,3,1959,24.3362999,San Diego,4,7,9,10,39
1,1,1,1,0,8.657,Abdou Dampha,4,1959,0.0,Santa Barbara,1,3,9,5,42
0,1,0,4,1,0.046,Adam Johnson,4,1960,87.31639862,Sacramento,1,3,9,5,50
0,1,1,3,2,0.142,Gary Gardner,2,1960,29.49640083,San Luis Obispo,1,4,9,6,42
1,1,1,2,1,0.83,Tomáš Rosický,3,1961,59.21379852,Kern,3,3,9,5,49
0,1,0,3,1,0.888, Juanfran,4,1963,61.41939926,Shasta,1,7,9,10,36
1,1,0,4,1,1.002,Phil Jagielka,1,1964,47.70249939,Santa Barbara,22,3,15,5,51
5,1,1,4,0,6.638,Fabian Giefer,4,1964,51.85189819,Sonoma,1,9,7,13,47
0,1,1,2,1,0.745, Bueno,5,1964,21.08919907,Placer,1,3,9,5,43
