fish_caught,livebait,camper,persons,child,hours
75,0,1,2,2,25.39755511318331
24,0,1,1,3,30.789529391018235
126,1,1,4,2,34.74456868092824
131,0,1,3,0,36.33697414310922
118,0,1,1,0,42.98806706908677
143,0,1,2,3,32.984113450541365
13,0,1,4,1,41.967410385514924
99,0,1,4,0,30.340323022419568
88,0,1,3,3,48.22990179285072
81,0,1,3,0,38.77561761815978
67,1,1,3,1,32.53742175026538
4,1,1,4,2,43.09008040670958
78,0,1,4,2,53.598447911846634
75,1,0,1,0,21.355061314314305
90,0,0,2,2,46.3612570443474
37,1,0,2,2,31.17608922404891
103,0,0,3,1,34.81102133282877
1,1,1,2,3,46.50162884300218
48,0,0,1,1,39.120878860352875
27,1,1,4,1,46.85828582527058
53,0,1,2,2,30.926588562528163
27,0,0,1,1,32.68071645958324
138,1,0,1,1,35.41827767226765
47,0,1,4,1,24.245031332951324
3,0,0,3,1,33.585071140011614
41,1,0,2,2,32.1016425565774
52,1,0,2,2,36.79416760483934
19,0,0,3,1,30.226835545226972
145,0,0,2,3,41.84005714610451
69,1,1,3,1,49.528962004806296
61,0,1,4,1,38.211687107973965
81,1,1,2,3,35.83024227746937
142,0,0,2,3,37.44778510061642
90,1,1,2,1,35.05823582177947
33,1,0,1,0,30.163998128613237
84,0,1,1,1,62.82190462763332
8,0,1,3,0,41.16882590452827
13,0,0,3,1,34.66660725357095
27,0,0,4,3,35.850403515809354
75,1,0,3,2,24.70192123127825
110,0,1,1,1,47.300686268121254
143,0,0,3,0,46.38887474927014
80,0,1,4,0,53.17558044977854
16,1,1,3,2,42.641537413732365
77,1,0,3,0,29.38160424229979
108,0,0,1,3,38.48839311406261
128,1,0,1,2,45.071043322812244
7,0,0,1,0,44.04617135737677
120,0,0,1,0,48.45070583677344
82,1,1,3,1,29.810083257906903
69,0,0,1,3,33.785052030919374
108,0,1,4,0,31.698462723090085
147,1,0,3,2,22.726914913515536
53,0,0,3,3,55.79644399795084
24,0,0,4,2,41.11854096268953
55,0,0,3,2,26.27970154714035
80,0,1,3,1,40.08169124067239
