ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15
3,1957,Bonnie,4.290401189590369,993,1,2,925,57478.781751819086,33.87731657536882,MWR,6.78102850555733,164,14814
47,2006,Isaac,-0.7946054409869578,947,0,1,1449,42694.53674157192,27.77337149877158,MWR,3.4235274230742228,130,9659
13,1996,Debra,7.933371570987218,993,0,2,176,29315.46988341003,27.695641231230343,MWR,4.254233877623407,123,30758
22,1964,Irene,5.060946392455194,943,1,4,725,37371.82851468336,39.572695157359014,MWR,3.496370910879588,139,17980
43,1961,Emily,8.303761866288653,957,0,1,596,20222.20474041881,56.33847039688664,MWR,2.8924069255515286,80,81234
58,1976,Cleo,1.4690198379006238,962,1,4,364,58144.309205668156,22.258872710486656,MWR,5.484142420968495,178,28437
90,1950,Dennis,5.9582873274182875,963,1,1,1235,31571.92374518182,33.81944422935701,MWR,2.156494848805704,105,82604
77,1995,Wilma,6.104526045255283,950,1,5,1478,54675.63143520156,55.70764440372117,MWR,6.148664111794535,120,18744
19,1993,Isabel,7.166803347463247,932,1,5,133,32805.55967418482,36.322342975241995,MWR,-0.5653171326931927,157,76838
19,1956,Isabel,3.926603366193902,963,0,1,1155,26315.371440990057,45.771759450732176,MWR,5.154068143913289,92,49872
89,1991,Humberto,1.6083699530305635,968,1,1,1823,27061.259500848464,47.27702636625155,MWR,-1.5529399285465217,118,87044
58,1980,Isbell,7.706911846380658,954,1,4,715,30325.983886919752,37.456622375803015,MWR,9.994642615876465,89,38061
52,1985,Able,8.791601937724113,926,1,4,1506,47025.66594234805,6.969259332793438,MWR,-0.4285287241957212,97,80235
55,1992,Dora,4.386436475797082,986,0,5,1023,22864.304202845247,13.39906614633222,MWR,6.099273653003331,76,77826
91,1991,Charley,5.863629913354922,986,1,4,1795,33454.02414837942,28.3525258138795,MWR,4.824841369781484,147,38043
24,1960,King,7.476776956051712,988,1,5,751,21558.03311488196,0.8312292725568255,MWR,3.4024500991480533,177,66784
24,2011,Humberto,7.018704649369716,912,0,2,211,42313.958402761265,-1.1854611456957969,MWR,7.594611625616883,153,34993
11,2011,Camille,6.089958135269775,981,0,1,1808,48230.08443919657,71.1755608328147,MWR,2.7713186120566293,92,7303
92,2009,Belle,2.7038327127029786,953,0,1,1820,39017.081855273624,31.191954372950573,MWR,3.4666530945544327,135,81278
69,1991,King,7.8927506486295815,936,1,1,972,57010.940683786794,-0.03391014130568948,MWR,4.8772896492642595,188,17860
13,1968,Bertha,6.626019266673291,1000,1,1,566,38618.862102813495,33.33576478442116,MWR,8.807233144779428,173,71507
12,1960,Andrew,6.08164968178539,967,0,5,1793,34290.537614390814,32.51491665554937,MWR,5.0799379935544255,96,47441
66,1962,Cleo,3.4387222132538584,918,0,1,641,35969.828403467756,37.57208959542805,MWR,6.289722754221474,134,2969
25,1991,Fern,3.70936454490815,960,1,5,823,37534.809685994,34.20043013792881,MWR,3.9711816799672985,169,83187
86,1992,Alex,7.351042407019672,929,1,1,131,43288.35329978673,10.263706977043533,MWR,-0.11015130326972233,190,15151
50,1992,Jerry,2.854164176054889,909,1,3,1010,42303.41357918586,6.640003486036381,MWR,6.449569567060822,129,47348
89,1989,Dora,5.615006212850821,967,0,5,187,36482.357170693314,30.453030280379664,MWR,7.14295614068969,184,75489
3,1963,Dolly,5.767784170451914,994,1,1,657,33655.282549343116,37.95509697374376,MWR,8.736928703402981,90,10047
58,2009,Gloria,3.165897924821992,957,1,2,968,23061.72807099225,33.20620674602236,MWR,5.62977941105528,138,22716
35,1976,Ike,3.5263112511561427,952,0,3,1666,30603.939176617914,45.30237407350174,MWR,5.36222440141176,157,7646
84,1993,Bob,6.2832920296766,916,0,1,682,45472.89151853787,8.112833928802655,MWR,4.997728073978428,135,41594
54,1979,Frederic,1.6664897191462344,936,1,2,950,28030.1124515734,38.10628995691965,MWR,5.6459432100023905,146,1504
33,1999,Irene,2.83131409965483,1002,1,2,1662,47971.88623850485,36.887227769395906,MWR,1.59514717219727,140,52134
13,1984,Andrew,-2.788318413553407,909,1,3,1477,36103.38427718204,39.247832037493694,MWR,1.8207236897336752,184,86808
45,1990,Ivan,2.9620602143655845,916,1,5,76,24968.839156968686,29.59826793495898,MWR,3.256895297738482,113,8053
81,2000,Debra,5.347299408121254,916,0,4,144,43887.930370588874,57.884164811092106,MWR,5.068033991423575,177,1153
52,1992,Erin,7.034007732112284,996,0,3,1719,33351.31884825991,9.17352175278942,MWR,9.783114088187116,80,4051
36,1957,Erin,8.544790609303785,1001,0,4,1027,28146.14735859294,15.893978402978522,MWR,3.6086496766911482,186,57438
9,1974,Danny,-2.747752030644274,968,1,2,812,57677.024487309885,33.47269367760974,MWR,4.762535997729413,164,11023
5,2006,Erin,9.971292130804423,951,0,5,328,34869.569976538405,30.758539597418928,MWR,-2.122329157800184,181,25642
34,2000,Kate,2.8984984079624163,970,0,4,204,28724.734617763894,11.080948987862353,MWR,8.13486599666703,88,8345
13,1967,Florence,4.481094467113653,974,1,2,1645,40208.05573401472,-2.8550551159978568,MWR,3.9133458710500895,98,63666
73,1962,Bertha,0.05365042012204668,995,0,3,1405,55893.84226880154,44.56257884386999,MWR,5.327166085409255,155,79832
70,1990,Able,6.630312539250359,960,0,4,1537,39837.94632750883,28.062451913951694,MWR,6.527531157780107,176,9767
7,1962,Kate,0.29616576047534604,950,1,5,903,29729.392631593797,28.930183221959325,MWR,1.5967162004466946,166,31461
26,1973,Edna,3.629112004264183,991,0,1,965,60610.532684993464,23.911174167483672,MWR,3.8009401614882776,181,33439
39,2006,Cleo,2.0633548822128915,936,1,5,148,39709.78536057774,34.05144077691749,MWR,3.636820663055953,156,2964
33,1956,Lili,1.3787652353357704,955,1,3,217,37959.33011975656,81.94530013843672,MWR,3.0375610360296212,105,75831
40,1976,Babe,2.1405223065909427,929,1,1,640,28699.316411872293,14.291790126116386,MWR,0.4961713134983601,146,79528
40,2007,Ethel,11.449845835738191,951,1,4,1015,46911.35804096888,36.582250054388766,MWR,2.7936249441311927,101,39761
83,1977,Barbara,-1.029052467359679,938,0,1,28,35602.0019980309,14.557185731852709,MWR,9.414639194352791,111,29124
44,1996,Dolly,4.522895001968052,940,0,1,1179,41947.0745726826,57.05357807527602,MWR,3.4143844858277106,94,76817
55,2009,Andrew,-1.5950350409901422,925,1,4,288,53579.12721465074,13.909182789624388,MWR,5.434935725851153,189,19200
57,2011,Helene,2.821831966986436,963,1,4,183,38014.592235939555,38.515209682654195,MWR,6.349705567964374,165,70958
31,2002,Connie,1.8666960325254123,951,0,1,916,31487.964555267543,-15.556890786186706,MWR,3.5468163920038083,103,73029
37,1955,Gustav,-1.3408704383580323,953,0,4,699,23512.327493314362,15.670879402416938,MWR,3.338560633074291,122,3043
48,1980,Charley,4.798552062052337,983,1,4,1116,42786.926533686754,10.134849604706481,MWR,7.716696579637324,124,54325
83,1992,King,10.20109388786453,1001,1,2,453,16253.569917597211,31.57574903421851,MWR,4.916047146031558,123,85704
63,1952,Katrina,2.580061811098706,916,0,1,1022,32086.3715975809,35.666456626708595,uri,-1.760018948295559,135,21259
79,1963,Irene,0.8754735215731069,917,1,4,1461,46819.156348506265,51.12529777819529,MWR,4.3437748080428635,92,28666
7,1992,Andrew,5.075174933555324,975,0,4,884,18405.279012640724,33.00203343803414,MWR,1.6953147104328132,110,34196
18,2012,Floyd,7.12280525014682,918,1,4,1000,30818.97888576614,44.244885296705434,MWR,7.634160927008129,172,68501
11,2003,Alicia,7.782756243193984,1002,1,3,1330,38911.63847904314,-6.255865131312646,MWR,3.051279399666087,129,36186
74,1968,Hazel,8.998641484057112,990,1,3,1727,45546.17626012426,78.2386683136872,MWR,5.022246771867756,188,10218
69,1978,Danny,5.253851185606517,1000,1,4,1457,27012.49080473479,-1.3434745328519853,MWR,8.057640165444559,75,29045
2,1976,Agnes,8.165313219730674,965,1,3,881,33413.52414301798,8.462001895606715,MWR,3.7402217568103984,153,16522
81,1985,Frances,-2.245686430906047,983,1,4,367,23951.28717245027,-2.5158890699302177,MWR,2.7470395159475487,83,79767
0,1962,Jeanne,4.665991177232232,918,0,2,1501,18451.821586306807,62.34140818882888,MWR,0.408078552886014,108,47896
48,1961,Carmen,8.589825885546313,952,1,3,1242,63700.28717359332,48.94378069355063,MWR,2.3587054026935697,159,23069
26,1956,Juan,-1.703608407655798,952,1,3,1030,56691.21793531143,47.938637945894456,MWR,3.7365100638491184,153,68627
24,1992,Barbara,3.1250075810383873,924,1,1,179,51583.29648611131,31.00921239384192,MWR,3.920254596580618,136,53763
81,1959,King,6.379455007273264,985,1,3,1198,15419.831569733044,32.193144722192955,MWR,0.5657846304548331,172,5552
67,1978,Carol,4.751619535531542,973,1,2,1813,41664.8461741975,13.423225146911633,MWR,1.0346866666431422,116,24405
1,1981,Floyd,2.5054792184995867,1001,0,2,1233,54324.332169085304,18.148841973203734,MWR,9.841899730891823,106,62556
35,1966,Barbara,0.5672740703852028,982,0,3,1546,46580.78187759384,15.836066835623031,MWR,4.220997846016862,93,78358
6,1991,Floyd,2.613382087166608,977,0,2,1467,30441.783724143785,31.0479056408656,MWR,6.8963771044531565,109,70145
59,1956,Isaac,3.212442278011489,964,0,3,580,52054.00429102639,17.5785627876901,MWR,3.282469151064761,79,39349
18,1989,Opal,5.530891554540364,909,0,1,454,36894.5036983171,24.739657844931155,MWR,2.411540360207801,139,25463
58,1958,Ethel,7.248859236416385,997,0,2,1685,30175.936576382825,44.742572271069506,MWR,-0.3857636881358877,187,62152
67,2001,Gustav,6.765908748954337,994,1,4,1537,29851.993808403644,36.56949015704001,MWR,0.9422336747199882,142,75582
46,1997,Alicia,0.5950569101498484,917,0,1,32,49521.97725262609,23.00683343195807,MWR,5.231135826476146,121,86530
23,2009,Ginger,3.6895713569655304,980,0,1,668,20008.624889280516,26.755443007515993,MWR,0.6289031263502718,174,48039
89,1984,Claudette,2.7573346459542014,969,0,3,1004,40219.593016956205,26.28988616061312,MWR,6.971770011903286,146,6455
35,2011,Erin,1.4613225773178176,944,1,4,289,65130.96203754421,42.12093250269616,MWR,10.228360820159777,130,71282
24,1998,Helene,4.8351556034700485,955,1,4,1314,46852.38073049692,31.14923965265291,MWR,9.377496678417728,125,17189
30,1950,Elena,4.779098171237843,965,0,1,504,42239.27871204708,49.18737257311011,MWR,4.721781090980257,184,53438
56,2006,Debra,2.1333962209919517,986,1,3,1429,27016.726322881354,40.594316715187325,MWR,3.3474898756648948,187,26478
80,1999,Irene,5.482385314957553,1001,1,2,88,46896.721456607265,57.45427423981364,MWR,3.1807354527702785,129,32008
31,1978,Frances,6.917118526332704,914,1,5,1392,67003.14104102404,52.36544375250274,MWR,9.827265188585713,140,37065
23,2000,Wilma,0.4472317835892179,912,1,4,1017,52967.792727641354,54.753075889467254,MWR,2.0725304978123065,120,82086
9,2008,Erin,1.1990884539530167,994,1,2,152,31126.15372102776,16.14000325553345,MWR,5.50005040232309,174,62286
31,2003,Bob,0.5797276397482634,993,1,5,1331,27401.143651188606,26.29531931572132,MWR,3.8543508881052047,112,35665
74,1965,Ophelia,4.470867492251964,911,1,1,1381,29801.126828378507,27.640305832451688,MWR,5.4748031198701765,89,77091
33,1950,Ivan,1.1694751157767547,948,1,5,1372,73539.1600507778,28.334947470225696,MWR,9.669023455378161,122,3775
