chimpanzee,age,sex,hammer,nuts_opened,seconds,help
22,7,m,G,69,74.64701973483606,N
9,15,m,G,67,61.063635412682444,N
3,4,m,G,34,56.681399045424,N
15,6,f,G,51,64.13483861234236,N
16,7,m,G,64,99.74384460333258,N
16,13,m,G,21,42.43326417409476,N
7,13,m,G,53,87.36253763311119,N
8,11,m,G,53,54.34188497560858,N
14,13,m,L,52,84.80463846646782,N
16,5,f,wood,63,37.52584775202175,N
14,16,m,G,56,67.92062405220409,y
13,12,m,G,53,62.94807963494131,N
12,7,m,G,8,64.62930049038204,N
11,16,m,wood,69,70.36922073994937,N
16,16,f,G,7,33.73387995659499,N
15,15,m,G,39,71.4395512290119,N
14,5,f,G,58,56.01069764936258,N
20,11,m,G,46,37.21918319654412,N
4,12,m,G,11,77.53240981429559,N
14,14,f,L,12,44.216018029523575,N
17,3,m,G,17,60.129986086088124,N
10,5,m,G,6,71.962565729092,N
15,3,m,G,56,33.08156875765905,y
22,16,m,G,76,52.201980571342936,N
16,14,m,G,25,57.37568336966211,N
13,12,f,G,26,98.79866171226885,N
15,6,m,G,39,80.15853148550123,N
19,5,m,G,44,93.98800081867194,N
20,15,m,G,39,86.47469205602587,N
4,6,f,G,66,78.84487617794409,N
7,13,f,G,6,52.568918373476194,N
14,7,m,G,22,75.87776307207305,N
5,8,f,G,72,47.60559369472366,N
16,11,m,G,72,94.18816327925362,y
12,3,m,L,18,70.23607720965823,N
18,9,f,G,17,75.87597470224839,N
20,15,f,wood,64,54.31429639584964,N
11,13,m,G,55,77.94025180266962,y
16,3,m,Q,6,70.88710971291596,N
6,6,m,G,22,59.3025916430679,N
8,7,m,G,71,59.111182488035475,N
14,10,f,G,48,71.17587333580553,N
19,10,m,G,8,107.21323301308402,N
11,8,f,G,66,37.41251698967174,y
21,7,m,G,63,36.06453181205076,N
2,10,m,G,12,74.346805362085,N
4,6,m,G,11,60.8593146013205,N
17,6,m,G,27,72.6741211284382,N
21,8,m,G,76,80.6518856089017,N
15,9,m,G,38,59.637452823683205,N
12,14,m,G,60,51.31595839327687,N
16,15,m,G,75,83.27081347029835,N
10,13,m,G,57,74.8072487402918,y
19,12,f,wood,69,33.944466598267255,N
7,11,m,G,25,29.34607903101513,N
7,6,m,G,63,47.324739736458085,N
17,10,m,G,37,56.66341895167075,N
22,4,m,G,11,72.10175486766516,N
5,4,m,G,7,60.667563061984495,N
6,4,m,G,27,58.92697764348208,N
19,4,f,G,32,74.60531416894213,y
5,13,m,G,17,83.79521096342859,N
16,3,m,Q,22,58.1834901050765,N
15,8,m,G,47,54.37515340116176,y
15,3,f,G,75,73.92169398616018,y
19,8,m,G,73,76.67623563056421,y
7,3,f,G,25,90.4766576573686,N
11,4,m,G,14,43.452787677068414,N
14,11,m,G,69,71.82652479601367,y
19,12,m,G,18,62.9580066693935,N
16,11,m,G,10,65.52658287869771,N
12,14,f,G,27,75.11031335625056,N
18,4,m,G,37,63.952385757363125,N
2,6,m,G,69,90.0080655698753,N
18,16,m,G,74,17.237006625635345,N
2,10,m,G,64,67.50689594350595,N
5,15,m,G,47,37.75471991022605,N
2,15,f,G,61,64.77753991431423,N
6,10,f,G,15,46.50931992737601,N
6,6,m,G,44,90.76093267410448,N
15,14,m,G,4,80.53120743372828,N
19,9,m,G,45,46.072408408618905,N
13,7,m,L,2,84.7008216691939,N
17,5,m,wood,73,95.42839999520412,N
