rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
183,no,48,female,more,1.6790557744007535,0.62733025385513,upper,yes,yes,251,164,40
344,no,51,male,more,1.3363062200558267,1.5739317935014463,lower,yes,yes,75,434,56
441,no,49,female,more,2.7225279207122073,1.1867360842588286,upper,yes,yes,377,138,63
22,no,53,male,more,1.4859944663028006,1.3659237054093605,lower,yes,yes,137,553,13
426,no,64,female,more,2.439402983602548,0.5238304658729145,upper,yes,yes,317,338,62
76,no,52,male,more,1.5092621217752995,0.8552441234328283,upper,yes,yes,261,351,23
367,no,65,female,more,1.1744623987446987,0.9771070948422022,upper,yes,no,247,15,62
286,no,51,female,more,2.376845066466842,1.7947864774595437,upper,yes,no,333,510,24
108,no,44,female,more,1.2769994901541102,1.9101463971277886,upper,yes,yes,174,451,41
128,no,39,female,more,1.8545130227633275,1.7909143880259166,upper,yes,yes,40,401,41
245,yes,50,male,more,2.0121162951416025,1.1303279957553451,upper,no,yes,136,276,40
228,no,72,male,more,0.7399254204489794,1.1773008886203553,lower,yes,yes,367,59,52
205,no,34,male,more,1.7244671542163008,2.4168825298511902,lower,yes,yes,229,406,72
363,no,73,male,more,2.796018799774303,1.088351764416585,lower,yes,yes,35,358,62
304,yes,65,male,single,0.7175323511040919,1.0961443529496935,lower,yes,no,38,209,65
203,no,43,male,more,1.8499642459221672,0.7953428336296231,upper,yes,yes,251,468,10
118,no,50,male,more,1.0478641178650216,0.9079557139079695,upper,yes,yes,143,194,73
420,no,41,male,more,2.193783930268747,1.1989841052623702,upper,yes,yes,19,174,59
408,no,32,female,more,0.6128612724784785,1.939332360231178,upper,yes,yes,98,338,3
65,no,62,male,more,2.3581306573419014,0.9760126613282893,upper,yes,yes,63,440,66
383,no,33,female,more,2.532917481238034,2.375890037443103,upper,yes,yes,231,358,84
37,yes,37,male,more,0.6450271145326312,2.2697243204359507,upper,yes,yes,318,131,76
185,no,56,male,more,1.3759583300454716,0.9394327493690083,lower,no,yes,187,196,71
92,no,51,male,more,3.9910317683312146,1.633850266828751,lower,yes,yes,204,451,37
149,no,56,female,more,-0.23916916947318567,1.5348396134918583,upper,yes,no,60,186,6
455,no,72,male,more,1.7862029372287291,2.182845134220444,lower,yes,yes,309,102,10
30,no,61,female,more,1.350045297687663,1.3559825681588613,upper,yes,no,167,92,37
352,no,36,male,more,1.428234918730488,1.6204553143869582,lower,yes,yes,327,387,91
212,no,64,male,more,3.729526317165086,1.468243521107009,upper,yes,yes,260,87,82
271,no,47,female,more,2.1095857994114646,1.7152480459342037,upper,yes,yes,258,62,62
300,no,55,male,more,1.919690785342379,1.6454457488325358,upper,yes,yes,241,541,15
355,no,55,male,more,1.893278699435644,1.535458387883004,upper,yes,yes,15,30,27
447,yes,36,female,more,2.0156447960149078,1.742199022341321,upper,no,yes,336,239,17
21,yes,33,female,more,0.7481989574372837,0.8405662932721075,upper,yes,yes,43,428,90
407,no,35,male,more,4.64610251489237,0.6927858659275199,upper,yes,yes,165,380,33
170,no,43,female,more,2.790881349603049,1.4652518710255695,upper,yes,yes,286,386,36
384,no,41,female,more,2.0561672494976917,2.180150837157985,lower,yes,no,240,251,35
143,no,49,male,more,2.1689391810541965,2.0077926322663213,upper,no,yes,11,395,11
330,no,47,female,more,1.23073856141486,1.612732166010176,upper,yes,no,243,166,49
28,no,48,female,more,1.1937300520852792,0.8374095824603188,upper,yes,no,21,391,65
113,no,44,male,more,0.36584508787269665,1.278532633321486,lower,yes,yes,57,542,82
88,no,43,female,more,2.74209190515827,1.172099893064313,upper,yes,no,93,209,94
419,yes,52,female,more,1.3324077343197267,1.6256200986394946,lower,yes,yes,229,120,65
238,no,55,male,more,2.7204047837728833,0.5751496224868528,upper,yes,no,375,28,58
45,yes,60,female,more,2.2238346997430423,1.5490594659314219,lower,yes,yes,76,29,25
310,no,68,female,more,1.9164341232786997,1.1719542352245724,upper,yes,yes,35,70,41
285,no,55,male,single,1.979491606367347,0.30276319798335516,lower,yes,yes,35,219,21
180,no,30,male,more,2.064599902207371,2.3424508108786797,upper,yes,yes,345,190,44
229,yes,42,female,more,1.4239221854706368,1.8828871132407017,lower,yes,yes,289,20,34
413,no,61,female,more,3.0650134458359863,2.150206715446867,upper,yes,yes,29,317,53
97,no,46,female,more,1.414830163606847,1.2609246948096333,upper,yes,yes,241,35,60
276,no,36,male,more,0.9507973713835042,1.692019102709136,upper,yes,yes,290,473,42
388,no,55,male,more,1.3005943658272443,0.8643362018119715,upper,yes,no,143,253,19
227,no,33,female,more,1.5115476444704983,1.795635546886976,upper,yes,no,223,228,83
234,no,53,male,more,0.6258653332329245,1.1758571205116197,lower,yes,yes,30,433,86
21,no,57,female,more,0.9180262878549063,1.5234100511621573,upper,yes,no,258,461,40
268,no,33,male,more,3.0647612495995906,1.9678026946397962,upper,yes,yes,263,32,75
173,no,67,male,more,1.5251637618721818,1.5495773611996646,lower,yes,yes,340,101,83
135,yes,31,female,more,3.087737250705832,1.401850704219194,lower,yes,yes,220,451,24
253,no,56,male,more,0.44886930177700335,1.629491438847017,upper,yes,yes,59,79,87
150,no,57,male,more,1.5851211053130578,1.3108792616853557,upper,no,yes,318,513,2
412,yes,37,female,more,0.4444038419086538,0.41186667586822345,upper,yes,yes,72,502,90
193,no,52,male,more,1.3061503632771005,2.5493505416348037,upper,yes,yes,233,408,93
98,no,45,female,more,0.7427047938711695,1.5687846033135378,upper,yes,yes,61,514,74
129,no,38,female,more,1.51258689848362,1.698036679680399,upper,yes,yes,20,474,49
383,no,48,male,more,0.3486932206195663,1.864523349941252,lower,yes,yes,318,487,68
350,no,59,female,more,2.4370306031990174,2.053672664724668,lower,yes,yes,336,104,12
129,no,71,female,more,3.173428806333783,1.3436786735621422,upper,no,yes,168,390,52
7,no,67,male,more,1.4959005178634375,1.118372239819087,lower,yes,yes,20,257,24
382,no,34,male,more,0.9815080283980793,0.7094452709566889,lower,yes,yes,260,348,83
138,no,51,female,more,1.5189889243665564,1.8409916194511204,upper,no,yes,80,488,81
266,yes,57,female,more,-0.2208067142078598,2.024655717977886,lower,yes,yes,58,12,90
231,no,50,male,more,1.0554800802583477,1.3765601287261007,upper,yes,yes,293,172,84
217,no,67,male,more,1.2045476592279605,1.390882195762666,lower,yes,no,307,285,69
184,no,64,male,more,2.4892602637881898,1.9471364669128055,upper,yes,yes,290,287,75
266,no,42,male,more,2.2708748444680364,1.8454356135335557,upper,yes,yes,150,78,72
130,no,54,male,single,1.6965644476725217,1.78411182392915,lower,yes,no,59,9,87
226,no,46,male,more,1.850759966146209,1.5218825518937833,lower,yes,yes,258,406,80
414,no,68,male,more,1.5801809572446186,1.3252912044745273,upper,yes,yes,129,428,32
62,no,47,male,more,0.6777734531171014,1.0913261077660235,upper,yes,yes,203,390,13
162,no,62,male,more,1.6768436351770635,0.7471608497105796,lower,yes,yes,140,502,90
244,no,40,male,more,2.6880541816845094,2.337507334791917,upper,yes,yes,324,377,75
267,no,48,male,more,1.4078370962865616,1.1378592213212098,lower,yes,yes,371,139,31
75,no,45,female,more,1.7724885928598118,1.7055758717595009,lower,yes,yes,111,579,1
365,no,57,female,more,2.6527033341505835,0.9640153217499616,upper,yes,yes,299,143,44
73,yes,29,male,more,1.8243605775548573,1.1306419845468492,upper,yes,yes,37,149,68
190,no,67,female,more,2.0374092903676133,1.7958111227968232,upper,yes,yes,323,170,74
264,no,59,female,more,1.8691758402502563,1.3002809036548313,upper,yes,no,364,435,35
341,no,64,male,more,1.0078226794661842,1.9245316085226107,upper,yes,yes,182,556,5
146,yes,56,male,more,3.0085064942257853,0.619819867588419,upper,no,yes,268,65,10
179,no,38,male,more,2.5916349908082,2.0217082065498038,upper,yes,yes,182,551,68
254,no,46,male,more,1.8388707819260746,1.2778170763394683,lower,yes,yes,95,552,17
441,no,73,male,more,1.2146642833765307,1.1856947771043398,lower,yes,yes,135,148,60
79,yes,41,female,more,1.0854319759150437,0.5386730651885923,lower,yes,yes,279,396,78
338,no,36,male,more,1.80156913889014,0.3758256174619914,upper,yes,yes,98,528,19
379,no,38,female,more,2.952599717552677,1.5520579266991923,upper,yes,no,332,352,44
135,no,55,male,more,0.7619201927293258,1.3419291446897226,upper,yes,yes,289,178,37
417,no,41,male,more,2.370074743904804,1.7782777255697397,lower,yes,yes,83,119,67
313,no,46,male,more,1.3283846944502282,1.0381305067798343,lower,yes,yes,176,515,69
106,yes,68,female,more,0.8141531942263208,0.9736988700017069,upper,no,yes,63,22,47
79,yes,44,male,more,1.30390786394702,1.6964447127904465,upper,no,yes,350,115,79
312,no,35,male,more,0.7494376614951953,1.4559567210111144,upper,yes,yes,342,278,74
344,no,39,female,more,1.7857793480501685,1.4578775482024482,upper,yes,no,288,21,57
84,no,65,female,more,2.6919937661949773,2.083237299453075,upper,yes,no,61,460,21
97,no,53,male,more,1.9546573501396625,0.8624137710209222,upper,yes,yes,84,69,91
46,no,29,male,more,2.1168653594065825,2.668783482010115,upper,yes,yes,215,465,40
223,no,60,male,more,2.840681260882158,2.9326103237610264,upper,yes,yes,181,259,83
138,no,54,female,more,1.2528367182391347,1.62838335943417,lower,yes,yes,163,285,86
364,no,71,male,more,3.1231092893807126,1.5036359888386428,lower,yes,yes,336,155,19
208,no,72,female,more,2.075428140165999,2.3641383694123004,upper,yes,yes,350,548,3
18,no,45,female,more,-0.19926354687838432,1.683662676508341,upper,yes,no,222,402,16
372,no,38,male,single,1.8068893227656502,1.1033036460494825,lower,yes,no,245,72,78
388,yes,73,male,more,1.026616297366516,1.7246290149665584,upper,no,yes,334,437,51
214,no,45,male,more,1.9811129010224358,1.549355986175739,upper,yes,yes,234,388,88
269,no,71,female,more,2.967087347036431,2.1452375830482193,upper,yes,no,146,230,78
112,yes,45,male,single,3.3677066857441487,0.8884652479086206,lower,yes,no,113,223,86
106,no,64,male,more,2.993543310460045,1.2952791155134606,upper,yes,yes,260,280,65
372,no,31,male,more,2.403839843054877,1.2919136441022092,upper,no,yes,365,85,87
330,no,41,female,more,1.818980766693705,0.8143477639525496,upper,yes,yes,101,487,52
461,no,54,male,more,1.7378078956468495,0.6799908568424976,upper,yes,yes,361,342,29
107,no,29,female,more,4.225439411210847,1.3727427531175176,upper,yes,no,350,178,53
337,no,39,female,more,1.9491387709337316,1.9465591902871773,upper,yes,yes,141,74,77
171,no,52,female,more,2.683799311497844,1.4709569180526791,upper,yes,yes,275,502,21
60,no,47,female,more,1.766223511436363,0.7513265364269124,upper,yes,yes,328,476,61
450,no,65,male,more,0.7067990755069291,1.1452817111574403,lower,no,yes,38,544,86
257,no,59,female,more,1.9913195386307674,1.625843817115083,upper,yes,yes,190,121,69
22,no,69,male,more,2.7447216128113547,1.8276866000277745,upper,yes,no,252,138,75
115,no,68,female,more,1.8702366489863713,2.0467244685012913,upper,yes,yes,213,238,36
98,no,40,male,more,2.501577456820591,1.938077206417174,lower,yes,no,24,40,8
409,no,45,male,single,1.6460918941509994,1.685280026377904,lower,yes,no,308,245,3
54,no,49,male,more,1.4932139850787793,1.2333005151241312,lower,yes,yes,202,397,2
126,no,39,male,more,0.4686697626209053,1.6576409980398559,lower,yes,yes,380,423,9
242,no,67,male,more,3.1470515481875623,2.6824600846724955,lower,yes,yes,28,329,22
295,no,56,female,more,0.9683813511214195,0.7762621984638551,upper,yes,yes,167,514,74
255,yes,45,male,single,1.3720136426795604,1.0553687149475464,lower,yes,no,292,25,17
324,yes,50,male,more,2.6458156721958956,0.964288551930105,upper,yes,yes,8,511,81
251,no,37,male,more,1.751774210095345,1.4915850817149965,upper,yes,no,16,287,16
175,no,46,male,more,0.6611122524394115,1.0132456587348015,upper,yes,yes,264,47,23
105,no,70,male,more,0.9881853008058551,1.5798418456789576,upper,yes,yes,266,25,62
285,no,72,male,more,0.6945845064319192,0.7048604522619943,upper,yes,no,231,335,4
35,no,50,male,more,1.8984782341925845,0.6423672094672608,upper,yes,yes,187,415,7
225,no,48,male,more,2.065167895889676,1.2884262265182218,upper,yes,yes,265,173,26
2,no,44,male,more,1.5520210811585082,1.6382622665643207,upper,yes,yes,90,78,64
417,no,72,male,more,1.0631935007889228,2.2940989874810276,upper,yes,yes,292,330,55
261,no,47,male,more,1.2046497783339967,1.744079210703108,lower,yes,yes,90,418,34
425,no,41,female,more,2.635725324874808,0.907872759803941,upper,yes,yes,340,425,57
9,no,62,female,more,1.9935362719831622,1.2422410297207314,upper,yes,yes,166,23,83
237,no,33,male,more,2.3121282461344417,1.947338295885446,upper,yes,yes,145,72,34
403,yes,43,male,more,3.1105926578247365,1.612326318878021,upper,no,yes,78,374,94
160,no,30,female,more,2.5583435588634877,0.5658753429898283,upper,yes,no,162,231,80
6,no,73,male,more,3.0247888478564926,1.669725172349305,upper,yes,yes,10,55,29
10,no,58,male,more,0.9229788733148597,0.2849966447146284,upper,yes,no,95,476,20
381,no,31,male,more,2.579331473972511,-0.03370394192782067,upper,yes,yes,139,302,80
246,no,68,male,more,2.2043507910584,1.8714039681336758,lower,yes,yes,284,130,89
391,no,32,male,more,1.6404559832107661,1.7388553952665287,upper,yes,yes,107,527,68
109,no,55,female,more,1.8650183956119477,1.066939549842207,lower,yes,yes,286,530,88
137,no,41,male,more,2.1019768317301004,0.849150188283356,upper,yes,no,331,117,61
237,no,29,female,more,2.321015113542462,1.8177960697823687,upper,yes,yes,135,557,46
404,no,35,male,more,1.2515110038106063,2.1964809039098787,lower,yes,no,163,298,10
239,yes,60,female,more,1.5923067173629055,1.6548736691854826,upper,no,yes,222,392,55
102,no,63,female,more,1.8380713884252518,1.1522979492107714,upper,yes,yes,192,157,61
434,yes,42,male,more,1.670933732023752,0.5346103338005861,upper,yes,yes,100,538,24
215,no,62,female,more,2.223383088931029,1.6762866731561377,upper,yes,yes,320,438,29
348,yes,62,male,more,1.7591427542780673,1.6177478849534723,upper,no,yes,361,362,28
283,yes,73,female,more,0.737382719647451,0.8189470966775009,upper,yes,yes,368,522,70
272,no,32,female,more,1.5369824065900486,0.7444819385686516,lower,yes,no,323,522,25
27,no,37,male,more,0.6985580331043508,0.917480914000912,upper,yes,yes,149,66,13
251,no,66,male,more,2.131065268793954,1.3087241922141435,upper,yes,yes,80,448,82
225,no,62,female,more,1.5881074982790324,0.9375375769856668,lower,yes,yes,48,367,80
120,no,43,male,more,1.5927184856756273,1.5748217188056566,upper,yes,yes,290,19,49
455,no,62,female,more,0.9799004453243321,2.747205983182316,upper,yes,yes,218,136,28
36,no,64,female,more,0.2371601974055857,1.4686194218478332,upper,yes,yes,82,217,60
333,no,45,male,more,1.2638322239827078,1.0085642337961636,upper,yes,yes,23,541,78
407,yes,32,male,single,1.323747781716727,2.1695276951001694,lower,yes,no,363,15,46
64,yes,72,female,more,2.411535697433569,0.8029086376623676,upper,no,yes,364,66,26
53,no,56,female,more,1.4890994961051716,1.3537775704015331,upper,yes,yes,279,509,50
364,no,31,female,more,2.0134430459043724,1.9246509948820556,upper,yes,yes,191,38,59
147,no,70,female,more,1.341231908920666,2.2212951600459716,upper,yes,no,102,153,75
189,no,38,male,more,2.12107246017867,1.8893738111599356,upper,yes,no,60,515,76
294,yes,71,female,more,1.7218581047683161,1.7555244430353203,lower,yes,yes,182,538,13
263,no,73,male,more,0.9180523484160157,1.5438149265434615,upper,yes,yes,254,194,58
454,yes,47,female,more,0.07991122169635156,1.5069407447949483,upper,yes,yes,109,282,61
461,no,40,male,more,2.9012440315786727,1.3820189866674837,lower,yes,yes,56,511,73
455,no,46,male,more,1.0782414746313367,1.2884328110658565,upper,yes,yes,191,421,13
133,no,39,female,more,1.7566378945958336,1.9845303342938532,upper,yes,yes,378,314,91
439,no,60,male,more,2.3298351360603298,1.3915111556381683,upper,yes,no,299,177,80
102,no,44,male,more,2.087886177927505,0.8069760300630423,upper,yes,yes,290,321,81
124,no,39,male,more,2.65351629135576,1.1926857503321766,lower,yes,no,131,561,33
239,no,65,male,more,1.6282502567654187,1.0174900004339278,upper,yes,no,366,69,34
276,no,43,male,more,1.1459587467148797,2.0435546859884535,upper,yes,yes,142,188,9
