perturbation,factor,pearson_r,p,n
add_features_output,conclusions,0.9061929248807806,0.00030211652393576154,10
add_features_output,Control Variables Similarity Score,0.830539534499922,0.0029247547446364323,10
add_features_output,Model Similarity Score,0.830539534499922,0.0029247547446364323,10
add_features_output,Independent Variables Similarity Score,0.7985957062499247,0.005600668795986405,10
add_features_output,Response Variables Similarity Score,,,10
anonymize_output,conclusions,0.9686201070336468,4.084467349666239e-06,10
anonymize_output,Control Variables Similarity Score,0.6417756193071416,0.04546053912373668,10
anonymize_output,Model Similarity Score,0.5007738410518794,0.14040024589774766,10
anonymize_output,Independent Variables Similarity Score,0.38109643555422185,0.27724037375469945,10
anonymize_output,Response Variables Similarity Score,,,10
noperturb_output,Independent Variables Similarity Score,0.7808688094430305,0.007669728020954241,10
noperturb_output,Control Variables Similarity Score,0.733213220022839,0.015826558356879614,10
noperturb_output,Model Similarity Score,0.7013343843696723,0.023821263670492396,10
noperturb_output,conclusions,0.624695047554424,0.0534929873519546,10
noperturb_output,Response Variables Similarity Score,,,10
replace_with_rvs_output,conclusions,0.9064142115896422,0.00029935817472557255,10
replace_with_rvs_output,Model Similarity Score,0.8232370520571606,0.003430199698295423,10
replace_with_rvs_output,Independent Variables Similarity Score,0.7012760073079518,0.02383802158555902,10
replace_with_rvs_output,Control Variables Similarity Score,0.551406536481325,0.09848124514284892,10
replace_with_rvs_output,Response Variables Similarity Score,,,10
shuffle_names_output,conclusions,0.9456108576893006,3.584229630092306e-05,10
shuffle_names_output,Control Variables Similarity Score,0.44444444444444436,0.19813138032046626,10
shuffle_names_output,Model Similarity Score,0.259259259259259,0.469477454986087,10
shuffle_names_output,Independent Variables Similarity Score,-0.2948459875572349,0.40823068784693417,10
shuffle_names_output,Response Variables Similarity Score,,,10
