perturbation,run,n_pairs,mean_similarity_to_others,std
add_features_output,3,4,4.4,0.28284271247461884
add_features_output,4,4,4.7,0.3829708431025352
add_features_output,0,4,4.75,0.3785938897200182
add_features_output,1,4,4.800000000000001,0.16329931618554536
add_features_output,2,4,4.85,0.2999999999999998
anonymize_output,0,4,3.9499999999999997,0.44347115652166885
anonymize_output,3,4,3.9999999999999996,0.3999999999999999
anonymize_output,1,4,4.0,0.6733003292241385
anonymize_output,2,4,4.0,0.541602560309064
anonymize_output,4,4,4.75,0.1914854215512678
noperturb_output,3,4,4.45,0.19148542155126733
noperturb_output,1,4,4.6,0.163299316185545
noperturb_output,4,4,4.7,0.3829708431025352
noperturb_output,2,4,4.8,0.23094010767585052
noperturb_output,0,4,4.85,0.1914854215512678
replace_with_rvs_output,1,4,4.1,0.529150262212918
replace_with_rvs_output,2,4,4.15,0.5507570547286101
replace_with_rvs_output,0,4,4.2,0.4898979485566357
replace_with_rvs_output,3,4,4.4,0.3265986323710903
replace_with_rvs_output,4,4,4.45,0.41231056256176596
shuffle_names_output,0,4,4.1,0.3464101615137758
shuffle_names_output,2,4,4.199999999999999,0.4618802153517005
shuffle_names_output,1,4,4.25,0.5259911279353167
shuffle_names_output,4,4,4.5,0.11547005383792475
shuffle_names_output,3,4,4.55,0.19148542155126733
