perturbation,subset,mean,ci_low,ci_high,std
add_features_output,diagonal,5.0,5.0,5.0,0.0
noperturb_output,diagonal,4.76,4.487965047736696,5.032034952263303,0.21908902300206665
shuffle_names_output,diagonal,4.159999999999999,3.4067693246606225,4.913230675339376,0.6066300355241241
anonymize_output,diagonal,4.08,3.3226867436721084,4.837313256327892,0.6099180272790763
replace_with_rvs_output,diagonal,4.040000000000001,3.6319475716050467,4.448052428394956,0.3286335345030998
add_features_output,off_diagonal,4.7,4.463944264376608,4.936055735623392,0.32998316455372206
noperturb_output,off_diagonal,4.68,4.486868355221954,4.873131644778045,0.2699794230842211
shuffle_names_output,off_diagonal,4.319999999999999,4.048541140457507,4.591458859542492,0.3794733192202055
replace_with_rvs_output,off_diagonal,4.26,3.9361961726547365,4.583803827345263,0.45264653858047876
anonymize_output,off_diagonal,4.14,3.7522674647837277,4.527732535216272,0.5420127099780758
