perturbation,factor,pearson_r,p,n
add_features_output,conclusions,0.8998269729869619,0.00038975874800972293,10
add_features_output,Model Similarity Score,0.8427009716003843,0.002205253973468242,10
add_features_output,Control Variables Similarity Score,0.16810223724982595,0.6424926251971809,10
add_features_output,Independent Variables Similarity Score,,,10
add_features_output,Response Variables Similarity Score,,,10
anonymize_output,conclusions,0.8034302205918253,0.0051138476777308275,10
anonymize_output,Response Variables Similarity Score,0.5571768205782354,0.09428463051793044,10
anonymize_output,Model Similarity Score,0.2298192798884611,0.5229920742218458,10
anonymize_output,Independent Variables Similarity Score,,,10
anonymize_output,Control Variables Similarity Score,,,10
noperturb_output,conclusions,0.9018549052680759,0.0003600506750094411,10
noperturb_output,Model Similarity Score,0.7337146623711167,0.01571836972284113,10
noperturb_output,Response Variables Similarity Score,0.3830741033100082,0.27454579179725586,10
noperturb_output,Control Variables Similarity Score,0.372391761187575,0.2892701130665491,10
noperturb_output,Independent Variables Similarity Score,,,10
replace_with_rvs_output,conclusions,0.8436624053953343,0.0021544654863773502,10
replace_with_rvs_output,Control Variables Similarity Score,0.7863336509949342,0.006982298238034338,10
replace_with_rvs_output,Model Similarity Score,0.5529077822120788,0.09737822333888049,10
replace_with_rvs_output,Response Variables Similarity Score,0.053503228125481445,0.8832961467632947,10
replace_with_rvs_output,Independent Variables Similarity Score,,,10
shuffle_names_output,conclusions,0.9363745563784953,6.636675471014477e-05,10
shuffle_names_output,Model Similarity Score,0.9221388919541471,0.0001462492683883274,10
shuffle_names_output,Response Variables Similarity Score,0.6388765649999399,0.0467628796211048,10
shuffle_names_output,Control Variables Similarity Score,0.29615285103456124,0.4060573167285518,10
shuffle_names_output,Independent Variables Similarity Score,,,10
