perturbation,run,n_pairs,mean_similarity_to_others,std
add_features_output,1,4,4.15,0.47258156262526085
add_features_output,2,4,4.199999999999999,0.3651483716701107
add_features_output,3,4,4.2,0.3999999999999999
add_features_output,4,4,4.25,0.41231056256176596
add_features_output,0,4,4.300000000000001,0.25819888974716104
anonymize_output,4,4,3.95,0.3415650255319868
anonymize_output,0,4,4.25,0.44347115652166896
anonymize_output,2,4,4.3,0.3464101615137755
anonymize_output,3,4,4.449999999999999,0.2999999999999998
anonymize_output,1,4,4.45,0.09999999999999963
noperturb_output,4,4,3.8000000000000003,0.3651483716701108
noperturb_output,0,4,4.05,0.1914854215512678
noperturb_output,3,4,4.199999999999999,0.7118052168020874
noperturb_output,1,4,4.300000000000001,0.5291502622129179
noperturb_output,2,4,4.35,0.41231056256176596
replace_with_rvs_output,4,4,3.6,0.3265986323710903
replace_with_rvs_output,1,4,4.0,0.5416025603090641
replace_with_rvs_output,2,4,4.2,0.40000000000000013
replace_with_rvs_output,3,4,4.25,0.4999999999999999
replace_with_rvs_output,0,4,4.3500000000000005,0.34156502553198653
shuffle_names_output,4,4,3.45,0.2516611478423582
shuffle_names_output,1,4,3.7,0.2581988897471611
shuffle_names_output,2,4,4.0,0.6928203230275508
shuffle_names_output,3,4,4.05,0.7724420150837643
shuffle_names_output,0,4,4.199999999999999,0.6324555320336758
