perturbation,subset,mean,ci_low,ci_high,std
add_features_output,diagonal,5.0,5.0,5.0,0.0
anonymize_output,diagonal,5.0,5.0,5.0,0.0
noperturb_output,diagonal,5.0,5.0,5.0,0.0
replace_with_rvs_output,diagonal,5.0,5.0,5.0,0.0
shuffle_names_output,diagonal,5.0,5.0,5.0,0.0
anonymize_output,off_diagonal,4.279999999999999,4.025849665804368,4.534150334195631,0.35527766918597936
add_features_output,off_diagonal,4.220000000000001,3.9636221882098694,4.476377811790131,0.3583914681524163
noperturb_output,off_diagonal,4.14,3.7957686843385976,4.484231315661402,0.48120219820316235
replace_with_rvs_output,off_diagonal,4.080000000000001,3.734779037881669,4.425220962118333,0.4825856285561029
shuffle_names_output,off_diagonal,3.88,3.4577306629339013,4.3022693370660985,0.5902918298980974
